,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-100,127,365,492,269,-68,-90,-32,79,471,-138,0,3,0,3,-1,-136,-576,293,-283,33,33,-201,35,-416,-74,40,-201
2022-09-30,312,113,-66,47,-183,-37,33,203,16,375,-83,0,0,0,0,89,6,-5,-146,-151,71,71,-202,0,-282,50,21,-202
2022-06-30,326,119,-80,39,-159,-146,261,157,113,478,-129,0,0,0,0,-77,-206,-3,-130,-133,133,133,-197,-15,-212,10,19,-197
2022-03-31,424.00000,119.00000,6.00000,125.00000,-184.00000,-160.00000,207.00000,-85.00000,-222.00000,327.00000,-138.00000,,36.00000,,36.00000,-10.00000,-112.00000,-25.00000,313.00000,288.00000,-260.00000,-260.00000,-197.00000,-2.00000,-171.00000,27.00000,16.00000,-197.00000
2021-12-31,434,121,-161,-40,187,-32,-4,11,162,556,-145,0,7,0,7,-5,-143,-4,-360,-364,13,13,-198,-17,-566,-154,18,-198
2021-09-30,305,114,-47,67,-58,-14,59,99,86,458,-107,0,30,0,30,22,-55,-30,-107,-137,12,12,-198,-16,-339,45,11,-198
2021-06-30,385,120,-35,85,17,-39,21,-17,-18,452,-128,10,-9,-10,-19,-4,-141,-251,124,-127,20,20,-197,-2,-306,4,19,-197
2021-03-31,371.00000,112.00000,-20.00000,92.00000,-155.00000,-50.00000,118.00000,-141.00000,-228.00000,235.00000,-173.00000,-10.00000,2.00000,,2.00000,-8.00000,-189.00000,-4.00000,326.00000,322.00000,-222.00000,-222.00000,-195.00000,,-95.00000,-44.00000,20.00000,-195.00000
2020-12-31,208,124,74,198,188,3,-117,-87,-13,393,-179,0,250,0,250,-7,64,-1181,-15,-1196,7,7,-196,-24,-1409,-894,21,-196
2020-09-30,352,121,-32,89,52,-24,3,150,181,622,-108,0,-49,4,-45,19,-134,-5,-4,-9,45,45,-196,-53,-213,282,18,-196
2020-06-30,354,117,2,119,29,-34,61,51,107,580,-106,0,-203,-1,-204,-3,-313,517,-536,-19,14,14,-195,-43,-243,31,18,-195
2020-03-31,350.00000,117.00000,-29.00000,88.00000,-194.00000,1.00000,44.00000,102.00000,-47.00000,391.00000,-112.00000,,-60.00000,-3.00000,-63.00000,-27.00000,-202.00000,-3.00000,549.00000,546.00000,46.00000,46.00000,-195.00000,80.00000,477.00000,619.00000,19.00000,-195.00000
2019-12-31,152,124,106,230,108,-14,-9,-216,-131,251,-150,8,0,0,0,-15,-157,31,-34,-3,24,24,-195,0,-174,-56,14,-195
2019-09-30,248,117,-255,-138,-14,22,-29,316,295,405,-142,1332,65,0,65,3,1258,-988,-382,-1370,28,28,-194,-18,-1554,113,13,-194
2019-06-30,292,119,7,126,-10,-18,45,15,32,450,-146,-8,0,0,0,-10,-164,28,-38,-10,5,5,-188,-8,-201,68,16,-188
2019-03-31,285.00000,124.00000,-31.00000,93.00000,-229.00000,12.00000,-16.00000,-75.00000,-308.00000,70.00000,-148.00000,,0.00000,,,-15.00000,-163.00000,,429.00000,429.00000,-213.00000,-213.00000,-192.00000,,24.00000,-49.00000,13.00000,-192.00000
2018-12-31,-82,142,342,484,215,-19,12,0,208,610,-189,0,0,-2,-2,28,-163,-7,-27,-34,-193,-193,-194,-9,-430,12,17,-194
2018-09-30,383,140,-89,51,-56,-29,39,91,45,479,-119,0,0,-3,-3,-2,-124,0,-122,-122,20,20,-194,-2,-298,52,12,-194
2018-06-30,599,112,-447,-335,92,-51,68,-154,-45,219,-138,-28,0,-392,-392,28,-530,592,-175,417,-30,-30,-187,0,200,-113,14,-187
2018-03-31,444.00000,122.00000,-81.00000,41.00000,-175.00000,13.00000,-4.00000,-91.00000,-257.00000,228.00000,-132.00000,,,,,1.00000,-131.00000,,99.00000,99.00000,50.00000,50.00000,-187.00000,,-38.00000,89.00000,16.00000,-187.00000
2017-12-31,417,115,-290,-175,-132,2,58,-101,-29,213,-127,-596,0,-1,-1,305,-419,589,-202,387,10,10,-186,0,211,14,13,-186
2017-09-30,288,126,-28,98,-452,15,65,84,-288,98,-106,0,0,-6,-6,380,268,1,-153,-152,-104,-104,-187,0,-443,-67,17,-187
2017-06-30,283,119,-19,100,-279,5,59,-42,-257,126,-138,4,0,0,0,320,186,30,96,126,-240,-240,-181,0,-295,36,19,-181
2017-03-31,266.00000,121.00000,-99.00000,22.00000,-437.00000,58.00000,11.00000,46.00000,-322.00000,-34.00000,-130.00000,,,,,244.00000,114.00000,-1.00000,191.00000,190.00000,-85.00000,-85.00000,-182.00000,,-77.00000,18.00000,17.00000,-182.00000
2016-12-31,-47,160,435,595,-272,-18,-15,103,-298,250,-131,-377,0,-2,-2,499,-11,89,-39,50,12,12,-183,-144,-265,-66,18,-183
2016-09-30,292,106,-35,71,-49,8,-18,-40,10,373,-127,-6,0,-2,-2,4,-131,-3,-325,-328,83,83,-182,0,-427,-185,15,-182
2016-06-30,280,136,26,162,42,-32,68,46,201,643,-105,3,0,29,29,-22,-95,-75,61,-14,-119,-119,-175,0,-308,221,15,-175
2016-03-31,175.00000,115.00000,-57.00000,58.00000,-201.00000,49.00000,89.00000,-63.00000,-228.00000,5.00000,-144.00000,-18.00000,,,,7.00000,-155.00000,909.00000,-485.00000,424.00000,-34.00000,-34.00000,-176.00000,,214.00000,59.00000,15.00000,-176.00000
2015-12-31,-40,147,264,411,87,-43,265,63,351,722,-164,0,0,0,0,0,-164,22,-159,-137,-285,-285,-177,3,-596,-48,19,-177
2015-09-30,205,118,-57,61,-7,-4,8,-24,122,388,-131,-44,0,-456,-456,1,-630,2,419,421,10,10,-176,-8,247,5,11,-176
2015-06-30,222,138,68,206,33,-65,62,1,-7,421,-110,0,0,0,0,39,-71,-363,133,-230,33,33,-173,0,-370,-55,11,-173
2015-03-31,227.00000,131.00000,22.00000,153.00000,-240.00000,70.00000,92.00000,-92.00000,-220.00000,160.00000,-148.00000,-117.00000,,,,3.00000,-262.00000,429.00000,-19.00000,410.00000,-228.00000,-228.00000,-174.00000,5.00000,13.00000,-94.00000,10.00000,-174.00000
2014-12-31,-293,128,523,651,253,-70,62,0,258,616,-227,0,0,0,0,2,-225,-1,-250,-251,53,53,-174,-3,-375,17,37,-174
2014-09-30,225,140,-69,71,14,95,4,18,227,523,-129,0,0,-6,-6,13,-122,-2,221,219,-330,-330,-175,6,-280,136,0,-175
2014-06-30,295,119,-47,72,59,-26,79,-13,19,386,-129,0,0,0,0,2,-127,677,-868,-191,88,88,-165,7,-261,6,0,-165
2014-03-31,406.00000,116.00000,1.00000,117.00000,-195.00000,-29.00000,-49.00000,-10.00000,-255.00000,268.00000,-97.00000,,,,,-2.00000,-99.00000,-682.00000,986.00000,304.00000,-284.00000,-284.00000,-166.00000,-1.00000,-147.00000,11.00000,,-166.00000
2013-12-31,819,192,-769,-577,63,60,33,68,176,418,-274,0,0,-6,-6,3,-277,-1,-17,-18,25,25,-167,1,-159,-27,34,-167
2013-09-30,326,114,-31,83,-1,-39,36,104,275,684,-125,0,0,0,0,0,-125,-1,-380,-381,42,42,-166,3,-502,38,0,-166
2013-06-30,352,113,44,157,30,11,-83,-34,-142,367,-136,0,0,0,0,-1,-137,-11,297,286,-357,-357,-160,11,-220,10,0,-160
2013-03-31,311.00000,113.00000,-19.00000,94.00000,-142.00000,80.00000,45.00000,-13.00000,-67.00000,338.00000,-102.00000,,,,,,-102.00000,-104.00000,-226.00000,-330.00000,221.00000,221.00000,-160.00000,9.00000,-260.00000,-29.00000,,-160.00000
2012-12-31,-32,146,294,440,30,-75,63,-17,-25,383,-271,6,0,0,0,-52,-317,-750,684,-66,142,142,-158,2,-80,-24,0,-158
2012-09-30,318,108,-12,96,-26,-45,113,76,281,695,-107,0,0,0,0,2,-105,0,-388,-388,22,22,-158,1,-523,75,0,-158
2012-06-30,324,99,-9,90,99,12,31,-50,-74,340,-92,-2674,0,0,0,0,-2766,1727,678,2405,24,24,-153,-1,2275,-174,0,-153
2012-03-31,351.00000,95.00000,-85.00000,10.00000,-168.00000,28.00000,1.00000,-47.00000,-21.00000,340.00000,-63.00000,,,,,6.00000,-57.00000,,-178.00000,-178.00000,-22.00000,-22.00000,-153.00000,-2.00000,-355.00000,-56.00000,,-153.00000
2011-12-31,-133,99,340,439,124,-168,-11,67,20,326,-202,0,0,0,0,-4,-206,499,-500,-1,-79,-79,-152,5,-227,-122,0,-152
2011-09-30,290,95,103,198,61,4,-8,29,135,623,-149,0,0,0,0,6,-143,0,2,2,-159,-159,-156,0,-313,125,0,-156
2011-06-30,342,86,7,93,16,-42,9,-23,-99,336,-140,0,0,0,0,1,-139,397,-344,53,-62,-62,-148,6,-151,53,0,-148
2011-03-31,365.00000,89.00000,-166.00000,-77.00000,-301.00000,81.00000,50.00000,-28.00000,22.00000,310.00000,-103.00000,,,,,4.00000,-99.00000,-946.00000,1031.00000,85.00000,-207.00000,-207.00000,-148.00000,4.00000,-266.00000,-40.00000,,-148.00000
2010-12-31,225,127,-325,-198,184,-116,4,111,-98,-71,-222,0,0,0,0,7,-215,987,-548,439,-119,-119,-149,1,172,-115,0,-149
2010-09-30,337,87,33,120,-41,-68,69,-37,29,486,-105,0,0,0,0,0,-105,0,437,437,-611,-611,-149,1,-322,88,0,-149
2010-06-30,301,91,-26,65,119,-68,47,24,-23,343,-87,0,0,0,0,1,-86,-1,30,29,-44,-44,-144,4,-155,84,0,-144
2010-03-31,417.00000,87.00000,11.00000,98.00000,-203.00000,93.00000,-48.00000,-63.00000,-265.00000,250.00000,-60.00000,,,,,1.00000,-59.00000,,80.00000,80.00000,-74.00000,-74.00000,-142.00000,2.00000,-134.00000,53.00000,,-142.00000
2009-12-31,176,102,-7,95,165,-48,-5,1,142,413,-125,0,0,0,0,6,-119,14,-429,-415,97,97,-143,3,-458,-193,0,-143
2009-09-30,360,93,-58,35,-48,-29,30,46,139,534,-91,0,0,0,0,0,-91,0,-33,-33,-171,-171,-143,0,-347,103,0,-143
2009-06-30,353,105,22,127,-10,-11,-6,16,-29,451,-88,0,0,0,0,1,-87,744,-882,-138,11,11,-130,0,-257,120,0,-130
2009-03-31,319.00000,84.00000,-84.00000,,-182.00000,75.00000,-78.00000,22.00000,-74.00000,245.00000,-73.00000,,,,,,-73.00000,1.00000,,1.00000,7.00000,7.00000,-130.00000,2.00000,-120.00000,49.00000,,-130.00000
