,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,128.903,441.959,153.342,595.301,-56.209,78.384,35.985,760.189,-1036.304,0,0,-35.222,-35.222,0,-1071.526,-38.108,-38.108,0,0,-287.573,0,-325.681,-599.62,107.519,-287.573
2022-09-30,211.739,434.725,116.019,550.744,29.823,-105.614,57.806,820.289,-560.806,-80.342,0,-22.398,-22.398,0,-663.546,-53.447,-53.447,833.685,833.685,-291.169,0,489.069,606.749,101.83,-291.169
2022-06-30,216.242,437.806,110.398,548.204,-26.302,41.972,37.135,801.581,-459.063,-883.668,0,-26.391,-26.391,0,-1369.122,1155.706,1155.706,0,0,-283.048,-10.365,862.293,193.623,104.682,-283.048
2022-03-31,147.69300,439.54400,98.33700,537.88100,-100.72700,58.37500,-104.45100,581.12300,-220.20100,,,-38.55800,-38.55800,,-258.75900,84.24400,84.24400,43.87600,43.87600,-289.66900,-7.36600,-168.91500,158.04200,89.95200,-289.66900
2021-12-31,123.141,430.476,108.221,538.697,109.44,38.601,230.267,892.105,-790.302,0,0,-30.394,-30.394,0,-820.696,-45.994,-45.994,398.271,398.271,-259.455,0,92.822,157.896,96.379,-259.455
2021-09-30,152.026,423.3209,85.802,509.123,-53.984,-31.323,3.597,664.746,-610.995,-158.498,0,-52.138,-52.138,0,-821.631,-2032.269,-41.619,37.594,37.594,-262.362,0,-266.387,-430.357,94.71,-262.362
2021-06-30,68.487,420.6711,209.153,629.824,-39.709,-22.905,-99.114,599.197,-726.132,0,0,-2.595,-2.595,0,-728.727,2436.394,445.744,99.599,99.599,-258.053,-112.614,174.676,50.111,94.335,-258.053
2021-03-31,156.07400,398.95700,103.61100,502.56800,-17.62000,-163.22800,-267.48400,391.15800,-617.33500,,,-18.34900,-18.34900,,-635.68400,647.33200,647.33200,40.03400,40.03400,-263.03900,-11.67300,412.65400,146.10900,78.35000,-263.03900
2020-12-31,50.936,382.17,123.471,505.641,63.516,78.548,129.571,686.148,-575.653,-702.024,0,-62.099,-62.099,0,-1339.776,-138.8083,-138.8083,0,0,-237.756,-45.266,-421.83,-1040.393,79.361,-237.756
2020-09-30,66.831,364.572,173.343,537.915,-23.871,-78.069,-72.584,532.162,-607.18,0,0,3.969,3.969,0,-603.211,-1247.4558,-1998.2458,228.204,228.204,-240.69,-77.785,-2088.517,-2141.053,75.248,-240.69
2020-06-30,133.35,353.037,91.102,444.139,-29.539,18.455,-2.803,574.686,-528.142,0.039,0,-1.341,-1.341,0,-529.444,1391.355,2142.145,1683.106,1683.106,-236.008,-26.266,3562.977,3620.63,75.844,-236.008
2020-03-31,118.95700,339.32900,80.55700,419.88600,15.30600,-15.33500,-22.01300,516.83000,-437.31400,-478.28700,,-38.94000,-38.94000,,-954.54100,-131.18900,-131.18900,132.18300,132.18300,-233.47900,-4.61900,-237.10400,-700.10200,64.49900,-233.47900
2019-12-31,124.835,334.157,72.386,406.543,96.48,-22.951,-1.708,529.67,-460.77,0,40.386,-46.162,-5.776,0,-466.546,658.4848,658.4848,0,0,-210.36,-66.652,381.473,466.48,62.126,-210.36
2019-09-30,120.811,325.087,66.957,392.044,3.331,-70.321,-13.861,498.994,-573.557,0,0,-2.905,-2.905,0,-576.462,-37.257,-37.257,123.846,123.846,-212.752,0,-126.163,-217.159,63.871,-212.752
2019-06-30,143.852,322.462,67.976,390.438,-42.37,28.69,8.633,542.923,-485.886,-34.143,0,-3.063,-3.063,0,-523.092,-179.832,-179.832,348.121,348.121,-208.449,0,-40.16,-18.223,61.519,-208.449
2019-03-31,117.74700,316.17300,73.60400,389.77700,-84.35000,-6.39500,-86.38300,421.14100,-369.68800,,,-8.77900,-8.77900,,-378.46700,-49.49200,-49.49200,1241.02700,1241.02700,-204.60300,,986.93200,1027.91100,49.02300,-204.60300
2018-12-31,110.022,309.873,62,371.873,32.195,-8.38,76.734,558.629,-726.471,-0.502,-74.376,75.778,1.402,0,-725.571,-32.094,-32.094,114.332,114.332,-183.858,0.725,-100.895,-270.8,40.867,-183.858
2018-09-30,124.825,308.874,46.405,355.279,-46.685,-35.354,-62.942,417.162,-628.217,1.808,74.376,-67.924,6.452,0,-619.957,0.768,0.768,290.494,290.494,-185.983,-1.215,104.064,-103.835,47.588,-185.983
2018-06-30,67.618,310.693,72.759,383.452,32.834,51.491,87.658,538.728,-547.321,-830.993,0,13.24,13.24,0,-1365.074,-32.885,-32.885,7.635,7.635,-181.76,0.728,-206.282,-1066.371,49.725,-181.76
2018-03-31,62.89400,311.66700,71.81200,383.47900,-71.27500,-23.66700,-145.46600,300.90700,-364.42900,,,-0.49700,-0.49700,,-364.92600,867.46400,867.46400,25.84700,25.84700,-186.99900,-32.28700,674.02500,617.90900,42.53600,-186.99900
2017-12-31,65.215,296.626,53.625,350.251,40.656,-9.451,79.413,494.879,-462.796,-334.754,0,13.554,13.554,0,-783.996,-71.419,-71.419,355.151,355.151,-157.583,-27.263,98.886,-185.494,45.898,-157.583
2017-09-30,79.9,282.801,66.374,349.175,-50.53,2.865,-38.565,390.51,-336.618,1.128,0,-28.258,-28.258,0,-363.748,662.693,662.693,21.506,21.506,-159.541,-28.033,496.625,532.969,45.654,-159.541
2017-06-30,45.805,258.916,63.444,322.36,-112.236,-17.751,-61.692,306.473,-355.413,-3593.613,-19.152,29.455,10.303,0,-3938.723,-48.659,-48.659,0.128,0.128,-156.29,-8.076,-212.897,-3839.82,45.625,-156.29
2017-03-31,42.06200,228.58600,52.21300,280.79900,-39.66400,50.22500,-75.49000,247.37100,-271.21400,-36.04100,19.15200,-26.25600,-7.10400,,-314.35900,2271.69400,2271.69400,2146.33200,2146.33200,-148.08300,-44.69700,4225.24600,4169.79900,38.32300,-148.08300
2016-12-31,61.75,215.225,51.361,266.586,-27.423,-101.385,-27.718,300.618,-362.9361,0.621,0,0.779,0.779,0,-361.536,-32.045,-32.045,0.036,0.036,-125.312,-0.88,-158.201,-250.294,39.837,-125.312
2016-09-30,51.45,217.509,33.953,251.462,-30.44,39.29,32.725,335.637,525.895,-165.901,0,-2.123,-2.123,0,357.871,-59.728,-59.728,16.504,16.504,-127.457,-21.89,-192.571,526.784,42.346,-127.457
2016-06-30,44.711,217.568,48.056,265.624,-31.055,-35.509,-32.071,278.264,-261.577,0,-14.294,23.058,8.764,0,-252.813,-48.861,-48.861,1.335,1.335,-121.858,0.023,-169.361,-150.881,39.323,-121.858
2016-03-31,-31.11100,206.04200,35.87300,241.91500,-11.31200,-25.78500,-105.97000,104.83400,-191.28300,-1601.32600,14.29400,-10.87500,3.41900,,-1789.19000,-268.33500,-268.33500,16.30400,16.30400,-124.83600,-0.06500,-376.93200,-2070.78900,34.06100,-124.83600
2015-12-31,10.731,148.658,40.335,188.993,-2.581,29.155,35.424,235.148,-280.612,-235.256,0,-9.369,-9.369,493.371,-31.866,1612.835,1612.835,829.6809,829.6809,-230.452,-19.144,2192.92,2365.842,33.868,-230.452
2015-09-30,41.132,136.375,38.422,174.797,-0.22,-8.858,-1.528,214.401,-216.046,0,0,94.217,94.217,14.274,-107.555,-17.393,-17.393,13.29,13.29,-98.041,0.732,-101.412,-0.664,33.969,-98.041
2015-06-30,59.459,131.187,39.833,171.02,-10.991,26.967,-18.016,212.463,-221.342,0,-6.709,440.675,433.966,-511.166,-298.542,-23.61,-23.61,0.181,0.181,-96.349,0.216,-119.562,-200.576,33.993,-96.349
2015-03-31,76.45200,125.41000,35.66900,161.07900,-30.79100,8.93300,-4.72000,232.81100,-188.40200,-10.24700,6.70900,-11.41500,-4.70600,3.52100,-199.83400,-18.65700,-18.65700,16.38400,16.38400,-96.61900,0.09800,-98.79400,-74.20800,30.61300,-96.61900
