,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,2007,2770,-108,2662,-4483,-2581,6144,-526,1745,5624,-1020,0,-10005,9062,-943,-4947,-6911,-318,-835,-1153,-1000,1121,-127,-156,-316,-1551,-127
2022-09-30,3252,2773,-31,2742,0,0,0,-803,-803,5191,4099,0,-8753,-9062,-17815,10972,-2744,3072,193,3265,-1500,-1494,-189,-121,1461,3784,-189
2022-06-30,1642,2856,-238,2618,0,0,0,-1135,-1135,3124,-5381,0,-9316,0,-9316,10377,-4318,1474,293,1767,0,-3,-8,-666,1090,-263,-8
2022-03-31,2807.00000,2891.00000,-812.00000,2079.00000,,,,-2784.00000,-2784.00000,2104.00000,-4651.00000,,-9680.00000,,-9680.00000,10423.00000,-3909.00000,-142.00000,722.00000,580.00000,,-2124.00000,-73.00000,-235.00000,-1852.00000,-3564.00000,-73.00000
2021-12-31,1766,2937,-532,2405,493,-3155,-1166,10119,5317,6809,-3408,0,-9558,16698,7140,-9148,-5416,2653,-291,2362,0,-1736,-16,-78,532,1891,-16
2021-09-30,2386,3081,-807,2274,0,0,0,-4709,-4709,-49,10580,0,-8417,-16698,-25115,10606,-3929,-2343,838,-1505,0,0,-76,-44,-1625,-5714,-76
2021-06-30,2779,3018,532,3550,0,0,0,833,833,7162,-7899,0,-7742,0,-7742,11615,-4026,-1728,822,-906,0,199,-18,-55,-780,2489,-18
2021-03-31,3014.00000,3015.00000,44.00000,3059.00000,,,,-4807.00000,-4807.00000,1266.00000,-6991.00000,,-6907.00000,,-6907.00000,10914.00000,-2984.00000,648.00000,1543.00000,2191.00000,,1537.00000,-76.00000,-35.00000,3617.00000,1759.00000,-76.00000
2020-12-31,2797,3080,513,3593,-1341,-104,42,5670,2406,6693,6662,0,-6887,0,-6887,-4782,-5007,-7916,-303,-8219,-90,-582,-16,210,-8607,-6739,-16
2020-09-30,4018,3162,9,3171,0,0,0,4042,4042,11231,-10943,0,-8575,0,-8575,15035,-4483,-9681,-266,-9947,0,492,-61,-41,-9557,-2784,-61
