,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,225.319,91.592,37.584,129.1759,351.563,335.742,-38.305,316.19,-43.797,-56.8,0,0,0,-100.597,-218.5,30,-188.5,-82.261,-82.261,0,-0.344,-271.105,-11.7,20.588
2022-09-30,248.885,79.031,74.505,153.536,275.468,-267.41,-5.667,396.754,-41.002,-126.373,0,0,0,-167.375,-141.5,485.9998,344.5,-497.07,-497.07,0,-9.945,-162.515,-55.553,34.18
2022-06-30,262.171,80.637,50.573,131.21,-406.736,-106.002,-239.275,154.106,-35.242,2.12,0,0,0,-33.122,432.063,102.689,534.752,-362.539,-362.539,0,0,172.213,266.995,34.017
2022-03-31,217.95200,78.77000,60.27400,139.04400,-818.96900,-32.20100,-469.24900,-112.25300,-31.38700,-35.86400,,,,-67.25100,272.93700,91.50500,364.44200,-413.92600,-413.92600,,-0.33700,-49.82100,-161.25700,32.63100
2021-12-31,225.004,76.94,56.56,133.5,289.763,-46.16,239.018,597.522,-37.075,-57.068,0,0,0,-94.143,724.938,-409.9999,314.938,-532.823,-532.823,0,-17.412,-235.297,241.758,27.986
2021-09-30,234.007,75.892,29.186,105.078,-314.326,82.959,-95.986,243.099,-28.69,-430.058,0,0,0,-458.748,54.812,560.108,614.9201,-393.454,-393.454,0,-0.914,220.552,-50.366,16.453
2021-06-30,196.247,70.995,33.902,104.897,-237.981,72.076,-22.552,278.592,-26.239,-71.267,-0.009,-0.009,-2.281,-99.796,856.938,-212.846,644.0919,-245.968,-245.968,0,-22.872,375.252,627.781,17.885
2021-03-31,184.23900,67.20000,24.76900,91.96900,-468.59300,63.87800,-198.35800,77.85000,-19.52600,-43.72700,0.00900,0.00900,,-63.24400,173.81200,-57.16200,116.65000,-134.69600,-134.69600,,1.46700,-16.57900,-45.09700,17.74700
2020-12-31,209.851,66.142,34.291,100.433,214.45,108.355,-52.391,257.893,-23.406,-8.23,0,0,0,-31.636,-29.188,-144.939,-174.127,-20.484,-20.484,0,-0.263,-194.874,105.759,8.315
2020-09-30,188.817,65.621,29.489,95.11,-309.995,-14.81,128.601,412.528,-18.149,-72.065,52.963,52.963,0,-37.251,-7.187,47.513,40.326,-228.245,-228.245,0,-1.575,-189.494,179.514,11.905
2020-06-30,158.488,63.694,-5.104,58.59,203.633,95.239,165.057,382.135,-18.613,-0.025,0,0,0,-18.638,-206.188,-503.322,-709.51,-7.421,-7.421,0,-1.051,-717.982,-360.89,8.989
2020-03-31,147.06000,65.83000,126.93200,192.76200,156.05200,-48.19500,80.21100,420.03300,-18.25700,-0.46700,,,,-18.72400,-203.69500,346.29900,142.60400,-456.96300,-456.96300,,-0.09200,-314.45100,-123.00100,14.17500
2019-12-31,235.51,69.875,51.258,121.133,276.35,-87.769,14.293,370.936,-26.489,-113.417,0,0,-0.255,-140.161,43.786,596.9679,640.7539,-584.249,-584.249,0,-106.206,-49.701,209.36,14.833
2019-09-30,225.805,68.66,105.692,174.352,-53.572,-95.282,-159.043,241.114,-16.706,-83.934,0,0,0,-100.64,579.562,-797.692,-218.13,5.339,5.339,0,103.867,-108.924,-22.749,15.273
