,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,765.371,101.217,11.631,112.848,146.471,-72.082,1.011,75.4,953.619,-87.578,0,432.81,-581.661,-148.84,-3428.709,-3665.14,499.241,2637.147,3136.388,-600,-600,-221.448,-338.99,1975.95,-735.566,-205.121
2022-09-30,646.596,127.339,103.095,230.434,-80.481,379.025,-38.592,259.952,1136.982,-39.068,0,8045.92,-2088.262,5957.66,300.715,6219.32,492.155,48.484,540.639,-600,-600,-242.7,-6486.69,-6788.75,567.536,-209.146
2022-06-30,217.522,122.276,217.632,339.908,132.445,430.743,66.751,629.939,1187.369,-59.832,0,11781.278,-1955.762,9825.51,77.3039,9842.98,-900.047,-75.856,-975.903,-600,-600,-229.493,-8948.146,-10753.543,276.814,-213.165
2022-03-31,362.17400,83.31100,9.63500,92.94600,450.26800,489.54500,-99.16300,840.65000,1295.77000,-27.91000,,5846.92200,-2388.80200,3458.12000,765.37010,4195.58000,-0.04900,3.26100,3.21200,,,-187.37500,-5233.30400,-5417.46700,73.88300,-156.65700
2021-12-31,457.968,80.763,10.306,91.069,-1.155,147.31,1.736,147.891,696.928,-62.048,0,-3426.51,-747.2961,-4173.81,782.435,-3453.43,-0.05,-56.502,-56.552,0,0,-167.531,2838.444,2614.358,-142.135,-154.719
2021-09-30,495.46,84.364,-5.575,78.789,-268.313,79.38,101.004,-87.929,486.32,-42.706,0,-4580.97,-321.793,-4902.756,3749.661,-1195.798,9.451,12.313,21.764,0,495,-163.038,424.999,778.726,69.244,-141.75
2021-06-30,458.069,79.276,-7.889,71.387,49.584,-19.167,-22.899,7.518,536.974,-13.443,0,-2457.593,440.666,-2016.931,1979.749,-50.625,-0.047,32.278,32.231,0,0,-154.559,-213.541,-335.87,150.479,-141.747
2021-03-31,447.24900,79.80500,13.44000,93.24500,121.98500,359.55900,-27.30100,454.24300,994.73700,-31.01600,,-7743.41700,385.30400,-7358.11300,-1542.61800,-8931.74700,-852.94500,-0.52500,-853.47000,,,-163.33200,8661.05800,7644.25600,-292.75400,-142.04400
2020-12-31,471.14,80.233,162.239,242.472,-115.732,140.909,-74.667,-49.49,664.122,-46.919,0,-3465.88,662.221,-2803.66,-1192.918,-4043.49,-1059.982,13.359,-1046.623,0,0,-154.72,4644.23,3442.88,63.511,-141.908
2020-09-30,372.136,85.51,113.318,198.828,-289.44,62.952,-350.488,-576.976,-6.012,-31.719,0,690.41,697.393,1387.8,-388.822,967.26,-850.616,-6.175,-856.791,0,0,-162.802,192.76,-826.83,134.417,-141.514
2020-06-30,241.054,76.885,281.911,358.796,-97.102,-56.995,79.766,-74.331,525.519,-42.104,0,-11992.037,545.486,-11446.547,-3603.233,-15091.887,-1.302,-6.882,-8.184,0,0,-154.332,14785.508,14622.988,56.623,-141.52
2020-03-31,268.82200,77.66000,212.81400,290.47400,-172.05600,-708.31900,-73.36300,-953.73800,-394.44200,-51.54700,,-1706.15300,639.47000,-1066.68300,-2734.13300,-3852.36300,-753.12300,-3.18300,-756.30600,-373.75000,-373.75000,-164.51400,5403.26200,4108.69200,-138.11300,-143.17000
2019-12-31,493.066,77.272,94.18,171.452,172.707,141.988,151.494,466.189,1130.707,-58.527,0,5305.37,1179.235,6484.605,-1699.404,4726.674,-0.96,-5451.533,-5452.493,-282.21,-282.21,-157.983,-347.451,-6240.137,-382.756,-145.171
2019-09-30,480.081,77.946,43.975,121.921,201.721,-126.203,69.15,144.668,746.67,-36.865,0,-3703.771,931.912,-2771.8589,-610.084,-3418.808,-675.952,902.506,226.554,-299.963,-285.463,-151.312,3429.809,3219.588,547.45,-132.93
2019-06-30,473.26,73.925,102.431,176.356,-380.874,-228.46,26.59,-582.744,66.872,-51.947,0,-1188.856,1156.3779,-32.4781,-767.695,-852.12,-875.442,1008.824,133.382,-401.984,-401.984,-153.334,1211.535,789.599,4.351,-134.442
2019-03-31,482.74200,72.17200,32.18900,104.36100,167.59900,-170.09200,-171.30400,-173.79700,413.30600,-30.71000,,502.30000,183.75010,686.05000,-384.07900,271.26100,-1.13900,-795.81200,-796.95100,-365.62800,-365.62800,-156.96300,296.79600,-1022.74600,-338.17900,-139.59500
2018-12-31,546.219,43.089,138.821,181.91,125.302,-191.154,-112.042,-177.894,550.235,-38.374,0,-1581.451,493.408,-1088.043,-1820.364,-2946.781,-751.4871,3088.268,2336.781,-499.834,-499.834,-157.895,1011.322,2690.374,293.828,-139.002
2018-09-30,526.091,44.597,59.788,104.385,467.085,50.46,-129.646,387.899,1018.375,-22.186,0,146.239,163.374,309.6131,586.315,873.742,772.371,-1929.306,-1156.935,-498.5,-498.5,-161.183,-132.982,-1949.6,-57.483,-143.815
2018-06-30,493.16,45.75,33.646,79.396,-663.038,37.535,90.01,-535.493,37.063,-27.572,0,-534.551,738.058,203.5069,735.583,911.518,-202.178,1613.287,1411.109,-475.096,-475.096,-134.139,-1674.025,-872.151,76.43,-115.247
2018-03-31,352.61000,45.56900,-83.12700,-37.55800,-87.20600,91.21900,165.11400,169.12700,484.17900,-9.54400,,-1056.53100,439.81800,-616.71300,377.72700,-248.53000,495.40200,1451.03000,1946.43200,-720.96600,-720.96600,-129.68600,-1459.65300,-363.87300,-128.22400,-112.31800
2017-12-31,322.403,46.678,400.915,447.5931,192.925,65.267,-312.119,-53.927,716.069,-16.451,0,1227.581,388.572,1616.1528,-384.114,1215.588,-404.1199,-25.669,-429.7889,-224.214,-224.214,-131.128,-1093.89,-1879.021,52.636,-112.236
2017-09-30,355.923,51.029,18.176,69.205,-38.678,-3.349,59.478,17.451,442.579,-12.653,0,-1282.655,723.156,-559.4988,1086.691,514.539,946.4889,-1494.685,-548.196,-224.724,-224.724,-131.882,-29.542,-934.344,22.774,-114.514
2017-06-30,381.053,50.026,26.459,76.485,-149.658,-21.278,50.869,-120.067,337.471,-28.341,0,1921.32,176.976,2098.296,420.85,2490.805,-428.449,1510.351,1081.9019,-224.894,-224.894,-133.192,-3493.576,-2769.76,58.516,-114.086
2017-03-31,348.92700,49.39200,85.20200,134.59400,689.17200,113.33200,-0.20900,802.29500,1285.81600,-21.52100,,-1944.51100,274.37400,-1670.13700,865.65100,-826.00700,-1401.41000,21.66000,-1379.75000,-532.07300,-532.07300,-133.93400,1552.36100,-493.39600,-33.58700,-116.56600
2016-12-31,330.571,49.177,117.009,166.186,-378.274,46.384,-53.546,-385.436,111.321,-42.416,0,5776.998,-1841.444,3935.554,-615.708,3277.43,-692.863,-50.404,-743.267,-37.334,-42.334,-132.116,-2482.687,-3400.404,-11.653,-108.849
2016-09-30,349.984,49.515,32.1,81.615,-113.244,-42.285,145.989,-9.54,422.059,-28.658,0,-2302.797,218.986,-2083.811,-978.631,-3091.1,-104.444,-193.098,-297.542,-350,-350,-127.231,3491.574,2716.801,47.76,-109.863
2016-06-30,336.031,50.19,70.102,120.292,-170.094,18.528,-102.946,-254.512,201.811,-20.312,0,1070.342,573.643,1643.985,-515.496,1108.177,-5.404,-1349.765,-1355.169,-154,-154,-134.446,439.894,-1203.721,106.267,-111.179
2016-03-31,298.52800,51.70900,102.61600,154.32500,-16.31900,-59.08000,70.76600,-4.63300,448.22000,-16.30700,,-1950.83100,346.05500,-1604.77600,-394.19200,-2015.27500,-317.18700,-343.83800,-661.02500,-100.00000,-100.00000,-129.36800,2267.58300,1377.19000,-189.86500,-112.00000
2015-12-31,270.965,47.855,431.919,479.774,49.502,-5.334,-300.339,-256.171,494.568,-39.192,-1932.596,4687.85,6636.478,11324.327,-45.188,9307.352,-8588.166,-2148.512,-10736.678,0,0,-117.135,1170.229,-9683.584,118.336,-93.868
2015-09-30,280.401,41.965,22.624,64.589,297.255,-3.191,50.703,344.767,689.757,-19.349,0,-667.414,339.148,-328.2658,-690.874,-1038.489,-1.283,20.484,19.201,0,0,-111.239,339.616,247.578,-101.154,-93.871
2015-06-30,286.688,42.359,-23.042,19.317,-265.273,18.404,40.581,-206.288,99.717,-13.797,0,2245.639,-464.567,1781.0718,-519.52,1247.755,-321.228,-40.196,-361.424,0,0,-116.914,-885.129,-1363.467,-15.995,-93.647
2015-03-31,241.61300,43.17000,76.36500,119.53500,195.50800,-18.20600,-80.08400,97.21800,458.36600,-9.59800,,179.37600,-1360.09900,-1180.72300,-612.01500,-1802.33600,1498.20300,0.81900,1499.02200,,,-110.99900,-50.55700,1337.46600,-6.50400,-93.63100
2014-12-31,277.549,45.988,90.462,136.45,-120.631,10.46,20.703,-89.468,324.531,-22.761,0,1205.197,400.366,1605.559,-1163.705,419.1,-52.633,28.067,-24.566,0,0,-116.349,-752.999,-893.92,-150.286,-93.081
2014-09-30,275.344,49.445,23.132,72.577,-32.302,-4.005,-6.608,-42.915,305.006,-12.653,0,-4643.534,-1262.237,-5905.768,-898.108,-6816.534,1684.493,2.978,1687.471,0,0,-110.602,4540.864,6117.736,-393.793,-92.984
2014-06-30,284.336,50.735,28.467,79.202,-301.706,-12.725,-140.701,-455.132,-91.594,-21.022,0,266.655,-1614.722,-1348.067,-502.809,-1871.898,1140.9,-68.578,1072.322,0,0,-115.996,1161.484,2117.81,154.318,-92.728
2014-03-31,229.01700,52.56200,74.52100,127.08300,119.22100,27.89300,57.88400,204.99800,561.09800,-16.72500,,-1648.04700,-1454.56800,-3102.61500,-321.69800,-3441.03800,1146.44300,-30.24600,1116.19700,,346.50000,-98.48600,1605.91300,2970.12400,90.18400,-92.40600
2013-12-31,221.422,53.749,86.755,140.504,127.012,-16.414,-43.877,66.721,428.647,-43.599,0,274.673,-328.5772,-53.904,-1543.941,-1641.444,-2.275,14.436,12.161,0,0,-113.787,927.6041,825.978,-386.819,-91.831
2013-09-30,294.479,50.134,46.776,96.91,-589.682,-9.59,95.064,-504.208,-112.819,-42.301,0,629.543,-1259.2089,-629.666,901.335,229.368,-1.759,-61.721,-63.48,0,0,-96.445,628.6269,468.702,585.251,-91.676
2013-06-30,348.466,49.274,13.147,62.421,-424.686,-7.794,-60.309,-492.789,-81.902,-26.992,0,-1250.584,1407.441,156.857,-549.594,-419.729,-253.718,-66.853,-320.571,0,0,-113.01,583.647,150.066,-351.565,-91.054
2013-03-31,274.11300,50.57800,68.13500,118.71300,202.77100,22.15600,80.64500,305.57200,698.39800,-16.67100,,-1174.82500,413.62000,-761.20500,406.10300,-371.77300,796.30000,-699.88900,96.41100,,,-95.55700,-488.02700,-487.17300,-160.54800,-90.78800
2012-12-31,296.193,49.773,87.646,137.419,-399.419,-12.16,4.172,-407.407,26.205,-25.572,0,282.049,540.234,822.283,-2131.147,-1334.436,-352.854,482.328,129.474,0,0,-112.192,1654.636,1671.918,363.687,-90.236
2012-09-30,293.462,51.572,148.18,199.752,-507.085,12.305,-169.286,-664.066,-170.852,-19.055,0,657.723,489.485,1147.208,-798.472,329.681,-720.774,-383.421,-1104.195,0,0,-92.804,1238.267,41.268,200.097,-88.035
2012-06-30,233.38,50.944,78.812,129.756,-194.394,4.598,-67.724,-257.52,105.616,-27.515,0,212.323,188.488,400.8109,-1745.545,-1372.249,-804.187,463.596,-340.591,0,0,-112.361,1798.324,1345.372,78.739,-90.405
2012-03-31,206.46300,52.27200,78.14200,130.41400,162.16100,7.84000,32.13400,202.13500,539.01200,-19.37700,,-1127.08000,496.81200,-630.26790,-1034.20900,-1683.85400,-202.35200,-270.08100,-472.43300,,,-93.81000,1602.78000,1036.53700,-108.30500,-89.04100
2011-12-31,147.74,53.21,196.614,249.824,-99.769,20.062,168.892,89.185,486.749,-31.978,0,2071.819,-519.8845,1551.935,-1765.712,-245.755,-59.789,87.702,27.913,0,0,-111.928,-58.639,-142.654,98.34,-88.54
2011-09-30,183.108,52.404,104.309,156.713,138.525,-10.834,-45.193,82.498,422.319,-24.054,0,428.671,-637.6667,-208.996,7.424,-225.626,-418.879,127.283,-291.596,0,0,-93.223,209.268,-175.551,21.142,-88.454
2011-06-30,322.358,48.396,-73.141,-24.745,-206.196,-20.595,21.703,-205.088,92.525,-5.122,-151.06,65.916,1072.295,1138.211,270.863,1252.892,-802.805,-85.284,-888.089,0,125,-98.407,-133.311,-994.807,350.61,-88.417
2011-03-31,206.27300,43.77000,59.65400,103.42400,378.08800,80.80500,2.06300,460.95600,770.65300,-8.85400,,1.12100,140.96300,142.08400,-545.80900,-412.57900,-528.51100,-442.75100,-971.26200,,,-94.77400,756.51200,-309.52400,48.55000,-84.71800
2010-12-31,204.442,43.395,112.213,155.608,120.211,-78.994,24.977,66.194,426.244,-31.078,150.595,725.402,549.9451,1275.3471,-1173.161,221.703,-1115.241,-291.756,-1406.997,0,0,-94.234,697.714,-803.517,-155.57,-84.178
2010-09-30,192.015,44.706,177.528,222.234,-153.55,-4.391,-35.675,-193.616,220.633,-15.977,62.609,-708.798,409.934,-298.864,261.831,9.694,-292.715,-947.274,-1239.989,0,0,-94.091,1137.192,-196.888,33.439,-84.035
2010-06-30,188.749,45.934,95.888,141.822,-26.839,-3.427,74.866,44.6,375.171,-12.833,0,3.479,39.709,43.1879,261.351,291.668,-853.506,288.211,-565.295,0,0,-93.844,4.517,-654.622,12.217,-83.787
2010-03-31,150.95500,48.32700,124.11900,172.44600,252.32500,-2.66400,80.53700,330.19800,653.59900,-10.57000,,12.03000,-585.46200,-573.43190,536.40400,-47.65500,-252.88000,-571.82700,-824.70700,,,-93.35900,109.44900,-808.61700,-202.67300,-83.30300
2009-12-31,136.818,53.349,184.1609,237.5099,-99.015,27.753,-189.198,-260.46,113.868,-31.303,202.993,-101.07,-168.131,-269.201,-80.567,-178.078,-88.288,-484.763,-573.051,0,0,-93.211,603.1,-63.162,-127.372,-83.155
2009-09-30,127.664,48.618,225.7051,274.3231,233.768,29.156,-3.895,259.029,661.016,-10.009,-144.009,-21.981,776.818,754.837,630.356,1231.473,-1300.56,-25.377,-1325.937,0,0,-92.585,-250.981,-1669.503,222.986,-82.528
2009-06-30,51.188,44.592,268.104,312.696,19.803,-45.264,1.477,-23.984,339.9,-7.405,144.009,90,587.901,677.901,55.542,870.038,-480.785,132.813,-347.972,0,0,-89.779,-775.104,-1212.855,-2.917,-82.279
