,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,76.4,155,420.3,575.2999,-8.3,2,172,-143.1,-19.5,653.6,-117.7,0,-148.8,-12.9,6.1,-6.8,0,-273.3,0,0,0,-300,-300,-63.6,-9,-372.6,20.1,30.2,-63.6
2022-09-30,353.2,157.1,68.2,225.3001,26.7,-11.8,3.2,-46.4,-196.1,373.8,-103.4,0,-458.7,0.3,-1.4,-1.1,-0.1,-563.3,0,0,0,-368.5,-368.5,-64.9,-18.8,-452.2,-658.9,36.3,-64.9
2022-06-30,358.9,160.3,70.5,230.8,-38.4,1.7,137.4,11.9,-24.5,572.5,-143.2,0,-99.8,0.4,-2.9,-2.5,3,-242.5,0,0,0,-399.1,-399.1,-66.7,-13.9,-479.7,-164.7,39.4,-66.7
2022-03-31,492.10000,161.50000,69.30000,230.80000,-64.10000,-37.40000,-5.50000,-44.00000,-363.30000,356.00000,-116.20000,,-455.10000,,-1.80000,-1.80000,,-573.10000,,,,18.20000,18.20000,,-35.90000,-17.70000,-239.20000,38.20000,
2021-12-31,553.6,188,117.8,305.8001,93.1,9.3,-44.8,-34.6,-178.9,697.5,-66.2,0,-183.3,-38.2,20,-18.2,13.2,-254.5,0,0,0,-999.1,-999.1,0,-9.5,-1008.6,-563.8,42.1,0
2021-09-30,587.8,186.1,91.5,277.5999,-215,11,78.9,4.7,-54.8,767.3,-117,0,-292.6,10.4,-8.1,2.3,0,-407.3,0,0,0,-275.8,-275.8,0,-5.9,-281.7,73.3,59,0
2021-06-30,468,187.1,14.2,201.3,60.5,-12.8,-27.4,26.8,-187.6,487.2,-97.1,0,13.1,0,-6.4,-6.4,0,-90.4,0,0,0,-298.1,-298.1,0,-27.3,-325.4,72.4,23.9,0
2021-03-31,770.10000,183.90000,49.20000,233.10000,104.20000,-4.70000,-16.90000,-20.10000,157.60000,1157.60000,-92.80000,,-34.10000,,-5.50000,-5.50000,,-132.40000,-375.00000,,-375.00000,-43.80000,-43.80000,,-31.30000,-450.10000,570.00000,28.70000,
2020-12-31,938.6,185.1,77.9,263,-291.2,-49.1,-22.6,-27.2,-455.2,774.6,-58.4,0,-58.8,-41.1,29.3,-11.8,1,-128,0,0,0,5.3,5.3,0,-6.3,-1,653.6,26.8,0
2020-09-30,703.7,613.2,-382.5,230.7,-481.6,-49.1,106.2,8.2,-148,786.2,-83.3,0,-197.5,0,-7.5,-7.5,3.1,-285.2,-412.2,0,-412.2,21.8,21.8,0,-6.3,-396.7,110.2,27.2,0
2020-06-30,231.6,143.9,52,195.9,-228.7,-87.8,-32.4,76.2,-68.9,370.7,-98.3,0,-11.3,0.1,-13.9,-13.8,0,-123.4,0,0,0,1.9,1.9,0,-18.8,-16.9,233.4,39.8,0
2020-03-31,-316.90000,144.60000,517.60000,662.20000,45.60000,-10.60000,-56.50000,-14.20000,-184.80000,203.80000,-99.60000,,,0.90000,-7.90000,-7.00000,,-106.60000,,,,-73.10000,-73.10000,,-29.70000,-102.80000,-13.90000,17.90000,
2019-12-31,227.3,155.8,92.6,248.4,80.7,-7.4,15.4,-9.3,113.1,569.8,-126.3,0,-21.4,-27.5,11.9,-15.6,11.2,-152.1,-389.8999,0,-389.8999,-44.3,-44.3,0,-15.2,-449.4,-23.6,23.5,0
2019-09-30,221,144.3,89.7,234,-45.3,-12.8,80.8,-6.3,9.4,455.6,-91,0,-152.6,0,3.9,3.9,0,-239.7,-35,0,-35,-74.9,-74.9,0,-5.1,-115,95.7,31.5,0
2019-06-30,190.7,141.6,57.4,199,-41.3,-5.1,-80.2,-1.7,-150.5,253.5,-84.9,0,-653.4,0,-12.5,-12.5,0,-750.8,635,0,635,-190.7,-190.7,0,-29.4,414.9,-83.4,26.5,0
2019-03-31,185.90000,135.50000,103.80000,239.30000,-117.20000,3.40000,-28.80000,12.80000,-266.40000,165.80000,-90.30000,,-46.90000,,-3.30000,-3.30000,,-140.50000,,,,-75.40000,-75.40000,,-27.80000,-103.20000,-78.00000,25.50000,
2018-12-31,158.2,137.6,51.7,189.3,-16.8,-10.1,123.2,42.8,128.1,486.4,-122.2,0,-35,-22.3,14.3,-8,18.3,-146.9,-392.8999,0,-392.8999,-398.3,-398.3,0,-11.7,-802.9,-465.8,20.8,0
2018-09-30,319.1,133.1,-211.5,-78.4,9.3,-4.1,11.4,-115.6,11.2,251.9,-48.5,0,654.5,0,-7,-7,-49.1,549.9,-2,0,-2,-125.6,-125.6,0,-1.3,-128.9,671.2,18.8,0
2018-06-30,234.1,138.6,23.4,162,53.1,-6.1,-31.5,-11.3,-8.7,387.4,-86.6,0,-79.1,0,-5.4,-5.4,49.1,-122,-312.3,0,-312.3,-60.4,-60.4,0,-20.4,-393.1,-140.3,26.2,0
2018-03-31,172.50000,142.80000,65.30000,208.10000,-76.40000,1.40000,-59.80000,-7.60000,-200.90000,179.70000,-72.40000,,,,-1.90000,-1.90000,,-74.30000,12.20000,,12.20000,-46.60000,-46.60000,,-30.60000,-65.00000,45.10000,25.80000,
2017-12-31,690.2,144.7,-527.2,-382.5,116.1,-10,63.2,71.9,257.3,565,-91.8,-0.2,-83.3,-36.2,33.2,-3,0,-178.3,-412.0001,0,-412.0001,-31.6,-31.6,0,-36.7,-480.3,-92.7,23.9,0
2017-09-30,174.3,133.2,51.3,184.5,-38,-5.7,100.5,37.5,37.9,396.7,-75.1,0,-1231.3,0,-7.1,-7.1,0,-1313.5,1087.4,0,1087.4,-8.3,-8.3,0,-60.5,1018.6,109.7,33.1,0
2017-06-30,185.1,127,12.8,139.8,-51,-5.6,7,13.8,-14.4,310.5,-69.1,-1.1,-416.2,0,-5,-5,0,-491.4,210.7,0,210.7,-103.6,-103.6,0,-0.3,106.8,-65.9,25,0
2017-03-31,183.30000,128.30000,47.00000,175.30000,-36.30000,4.90000,1.60000,-19.00000,-132.70000,225.90000,-71.40000,-1.20000,-151.80000,,-21.10000,-21.10000,,-245.50000,70.80000,,70.80000,-121.00000,-121.00000,,-1.70000,-51.90000,-68.10000,27.70000,
