,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-9373,-6310,-3084,-9394,1039,516,-330,211,1252,-17515,482,494,-32,-32,-769,175,5582,0,5582,1274,1274,7537,776,15169,-2086,-539,7537
2022-09-30,3952,2205,172,2377,357,-17,778,-139,1273,7602,-177,-100,1393,1393,170,1286,-2701,0,-2701,7,7,-2504,-320,-5518,3311,126,-2504
2022-06-30,928,2052,3403,5455,-611,-114,-190,85,-1378,5005,-143,-209,37,37,445,130,-2,0,-2,61,61,-2507,-231,-2679,2423,107,-2507
2022-03-31,4493.00000,2053.00000,-491.00000,1562.00000,-785.00000,-385.00000,-258.00000,-157.00000,-1147.00000,4908.00000,-162.00000,-185.00000,-1398.00000,-1398.00000,154.00000,-1591.00000,-2879.00000,,-2879.00000,-1342.00000,-1342.00000,-2526.00000,-225.00000,-6972.00000,-3648.00000,306.00000,-2526.00000
2021-12-31,4045,1979,163,2142,-749,-112,174,237,-1112,5075,-187,-1065,-36,-36,143,-1145,-3752,0,-3752,-56,-56,-2314,-216,-6338,-2436,129,-2314
2021-09-30,3180,2127,1075,3202,590,219,1146,-336,1553,7935,-217,-492,6,6,88,-615,-1201,0,-1201,19,19,-2315,-146,-3643,3636,135,-2315
2021-06-30,769,2200,2921,5121,-296,-62,72,39,-1000,4890,-195,-147,14,14,86,-242,-3461,0,-3461,63,63,-2310,-176,-5884,-1209,159,-2310
2021-03-31,3555.00000,2215.00000,83.00000,2298.00000,-866.00000,-187.00000,236.00000,-350.00000,-976.00000,4877.00000,-188.00000,-198.00000,-5.00000,-5.00000,49.00000,-342.00000,,,,-716.00000,-716.00000,-2322.00000,-136.00000,-3174.00000,1306.00000,269.00000,-2322.00000
2020-12-31,38,2065,3301,5366,-355,153,-389,316,-550,4854,-279,-400,47,47,5,-627,-1269,0,-1269,-196,-196,-2101,-129,-3695,559,136,-2101
2020-09-30,2313,2292,203,2495,-31,111,1437,7,1022,5830,-217,-880,20,20,-72,-1149,-651,0,-651,12,12,-2100,-75,-2814,1873,162,-2100
2020-06-30,-739,1555,1872,3427,482,-197,-559,662,401,3089,-177,-38318,1384,1384,1459,-35652,-763,0,-763,46,46,-1752,-101,-2570,-35125,236,-1752
2020-03-31,3010.00000,559.00000,150.00000,709.00000,-1025.00000,-107.00000,1025.00000,12.00000,96.00000,3815.00000,-125.00000,-12.00000,13.00000,13.00000,-5.00000,-129.00000,,,,-631.00000,-631.00000,-1763.00000,-28.00000,-2422.00000,1218.00000,219.00000,-1763.00000
2019-12-31,2801,509,535,1044,133,170,-397,-185,-570,3275,-163,-659,40,40,167,-615,28417,0,28417,0,0,-1595,-220,26602,29276,79,-1595
2019-09-30,1884,503,1156,1659,-111,-113,860,283,1012,4555,-154,-36,1568,1568,0,1378,1533,-306,1227,-3,-3,-1591,-74,-441,5476,75,-1591
2019-06-30,741,502,2589,3091,220,-160,-460,-135,-1355,2477,-128,-120,108,108,0,-140,-4,-193,-197,-2,-2,-1592,-279,-2070,275,87,-1592
2019-03-31,2456.00000,503.00000,553.00000,1056.00000,-316.00000,-128.00000,94.00000,-145.00000,-495.00000,3017.00000,-107.00000,-320.00000,400.00000,400.00000,,-27.00000,,-3200.00000,-3200.00000,-616.00000,-616.00000,-1588.00000,21.00000,-5383.00000,-2392.00000,189.00000,-1588.00000
2018-12-31,-1826,442,4014,4456,215,141,-147,-121,762,3392,-123,-195,35,35,0,-283,-1014,699,-315,-2051,-2051,-1451,-8,-3825,-726,70,-1451
2018-09-30,2747,435,225,660,-1,-176,869,425,1117,4524,-282,-140,-541,-541,0,-963,3955,-509,3446,-1007,-1007,-1461,-62,916,4468,75,-1461
2018-06-30,1983,443,1125,1568,-124,-120,-179,-262,-685,2866,-114,-29,830,830,0,687,-3006,3144,138,-7514,-7514,-1531,-71,-8978,-5460,85,-1531
2018-03-31,2783.00000,445.00000,144.00000,589.00000,-681.00000,-71.00000,191.00000,-166.00000,-727.00000,2645.00000,-119.00000,-372.00000,44.00000,44.00000,,-447.00000,-7.00000,-33.00000,-40.00000,-1369.00000,-1369.00000,-1137.00000,37.00000,-2509.00000,-296.00000,191.00000,-1137.00000
2017-12-31,52,369,2137,2506,-228,212,-19,61,26,2584,-182,-128,511,511,0,201,-7,-400,-407,-465,-465,-1030,-26,-1928,857,77,-1030
2017-09-30,1631,379,504,883,4,-120,974,-101,757,3271,-126,-80,97,97,0,-109,-5,400,395,60,60,-1026,-239,-810,2358,71,-1026
2017-06-30,1915,379,162,541,-133,-70,-264,14,-453,2003,-126,-37,481,481,0,318,-7,0,-7,59,59,-1024,-8,-980,1348,76,-1024
2017-03-31,1711.00000,374.00000,254.00000,628.00000,-34.00000,71.00000,-266.00000,-8.00000,-237.00000,2102.00000,-95.00000,-63.00000,-526.00000,-526.00000,,-684.00000,-6.00000,23.00000,17.00000,-810.00000,-810.00000,-1027.00000,26.00000,-1794.00000,-360.00000,141.00000,-1027.00000
2016-12-31,1391,328,249,577,58,-66,-212,-207,-427,1541,-114,-108,-15,-15,118,-119,-148,383,235,-1752,-1752,-933,-52,-2502,-1118,75,-933
2016-09-30,1598,304,251,555,65,28,-1064,272,-699,1454,-113,-62,-24,-24,0,-199,-1,-494,-495,35,35,-933,22,-1371,-109,69,-933
2016-06-30,1610,289,237,526,-275,-19,47,29,-218,1918,-131,-2559,-1608,-1608,0,-4298,5766,94,5860,-3716,-3716,-927,-53,1164,-1229,71,-927
2016-03-31,1354.00000,268.00000,461.00000,729.00000,81.00000,19.00000,42.00000,-97.00000,45.00000,2128.00000,-121.00000,-28.00000,-1309.00000,-1309.00000,,-1458.00000,,-6.00000,-6.00000,-332.00000,-332.00000,-924.00000,43.00000,-1219.00000,-843.00000,138.00000,-924.00000
2015-12-31,1517,261,53,314,-234,12,175,179,132,1963,-145,-170,18,18,0,-297,-3,-354,-357,-1212,-1212,-840,-22,-2431,-824,53,-840
2015-09-30,1239,227,185,412,-254,-286,919,125,504,2155,-127,0,872,872,0,745,1,760,761,-976,-976,-850,9,-1056,1823,55,-850
2015-06-30,1366,190,78,268,-44,-85,221,106,198,1832,-115,-11546,-850,-850,0,-12511,16644,-569,16075,-4948,-4948,-818,-140,10169,-506,55,-818
2015-03-31,1022.00000,158.00000,246.00000,404.00000,-544.00000,-75.00000,188.00000,590.00000,159.00000,1585.00000,-145.00000,-736.00000,8.00000,8.00000,,-873.00000,,144.00000,144.00000,-295.00000,-295.00000,-786.00000,7.00000,-930.00000,-442.00000,119.00000,-786.00000
2014-12-31,-810,193,571,764,-267,-223,-192,150,-532,-578,-153,-50,17,17,2700,2514,-17,124,107,-245,-245,-674,-70,-882,629,43,-674
2014-09-30,506,192,602,794,-25,-77,216,372,486,1786,-180,-555,1151,1151,-2700,-2284,0,50,50,38,38,-673,-134,-719,-1367,44,-673
2014-06-30,1098,202,64,266,-47,47,395,-42,353,1717,-142,-17,-200,-200,0,-359,0,248,248,18,18,-673,-8,-415,946,48,-673
