,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1468,1048,-231,817,116,-141,1358,2110,4628,-855,-318,0,0,0,235,-938,0,-1564,-1564,-408,-408,-791,-86,-2849,839,102,-791
2022-09-30,1395,1047,-776,271,1111,-401,-680,-781,778,-515,-78,-60,0,0,-102,-755,0,2070,2070,-616,-616,-794,-43,617,614,106,-794
2022-06-30,1338,999,-791,208,-1346,-446,-637,-4,1286,-479,-41,53,0,0,-151,-618,-2,-23,-25,-1036,-1036,-798,-23,-1882,-1273,109,-798
2022-03-31,1126.00000,1014.00000,-858.00000,156.00000,556.00000,-587.00000,-550.00000,-897.00000,476.00000,-439.00000,-50.00000,35.00000,,,-64.00000,-518.00000,,6.00000,6.00000,-743.00000,-743.00000,-745.00000,-263.00000,-1745.00000,-1813.00000,103.00000,-745.00000
2021-12-31,771,1144,461,1605,-173,220,462,1001,3161,-954,-170,-277,0,0,176,-1225,374,-72,302,-327,-327,-745,-804,-1574,356,99,-745
2021-09-30,1473,1158,-559,599,-690,76,-449,95,1932,-433,-78,0,0,0,133,-378,-259,10,-249,-993,-993,-751,-70,-2063,-575,116,-751
2021-06-30,1088,1132,-192,940,1092,-20,-300,-499,1326,-360,-28,25,0,0,20,-343,-21,-38,-59,-632,-632,-756,-128,-1575,-528,143,-756
2021-03-31,813.00000,1123.00000,-121.00000,1002.00000,-799.00000,-113.00000,-560.00000,-934.00000,723.00000,-387.00000,-32.00000,1043.00000,,,-42.00000,582.00000,-286.00000,-13.00000,-299.00000,-375.00000,-375.00000,-705.00000,-165.00000,-1544.00000,-253.00000,84.00000,-705.00000
2020-12-31,215,1153,-76,1077,751,523,-886,-412,1370,-623,-176,-438,0,0,428,-809,-1025,19,-1006,-6,-6,-706,-86,-1804,-1199,77,-706
2020-09-30,185,1164,-136,1028,-596,439,253,625,1622,-389,-30,2341,0,0,174,2096,1,-15,-14,-4,-4,-688,-18,-724,3026,118,-688
