,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-1709,-324,-400,-724,-1871,-66,-507,-1922,-4355,318,208,871,-27981,20509,-7472,7172,1097,-301,-5329,-5630,0,0,700,8114,3184,-74,-137,700
2022-09-30,653,106,167,273,498,-149,150,784,1710,-137,-17,1,825,-1209,-384,-1187,-1724,936,-1178,-242,0,0,-228,115,-355,-369,30,-700
2022-06-30,562,109,201,310,-16,29,70,86,958,-86,-52,-872,13113,-7308,5805,-2551,2244,223,6646,6869,0,0,-242,-9441,-2814,388,28,230
2022-03-31,494.00000,109.00000,32.00000,141.00000,1389.00000,186.00000,287.00000,1052.00000,1687.00000,-95.00000,-139.00000,,14043.00000,-11992.00000,2051.00000,-3434.00000,-1617.00000,-858.00000,-139.00000,-997.00000,,,-230.00000,1212.00000,-15.00000,55.00000,79.00000,-230.00000
2021-12-31,663,-22,212,190,728,140,-329,489,1342,-77,-171,-1,-369,-1073,-1442,-3952,-5643,428,3,431,-316,-316,-243,4210,4082,-219,20,654
2021-09-30,704,128,-3,125,354,38,60,410,1239,-53,-101,-296,-1793,-13,-1806,-457,-2713,-928,-210,-1138,-550,-550,-210,3300,1402,-72,21,-654
2021-06-30,709,121,-23,98,-436,-8,-33,-318,489,-87,-91,0,1778,-125,1653,1235,2710,-2435,96,-2339,-347,-347,-229,-121,-3036,163,24,215
2021-03-31,694.00000,122.00000,-343.00000,-221.00000,-665.00000,-155.00000,265.00000,-839.00000,-366.00000,-45.00000,-18.00000,,-788.00000,-1298.00000,-2086.00000,-173.00000,-2322.00000,-106.00000,-82.00000,-188.00000,-180.00000,-180.00000,-215.00000,3246.00000,2663.00000,-25.00000,55.00000,-215.00000
2020-12-31,604,134,105,239,-2268,12,-411,-2487,-1644,-45,-8,-4,-2111,91,-2020,1768,-309,-117,56,-61,0,0,-229,2394,2104,151,23,0
2020-09-30,580,127,-194,-67,-749,-68,85,-450,63,-139,-6,0,-3042,727,-2315,3558,1098,-1186,-69,-1255,0,346,-212,-265,-1386,-225,23,0
2020-06-30,197,113,521,634,698,122,-337,688,1519,-76,-4,0,-21924,511,-21413,2983,-18510,-19,-4701,-4720,0,0,-227,21877,16930,-61,24,190
2020-03-31,46.00000,118.00000,1091.00000,1209.00000,-258.00000,-54.00000,-192.00000,-822.00000,433.00000,-65.00000,-26.00000,,-4369.00000,-1206.00000,-5575.00000,-8515.00000,-14181.00000,1080.00000,4896.00000,5976.00000,,,-190.00000,7966.00000,13752.00000,4.00000,53.00000,-190.00000
2019-12-31,734,183,-304,-121,-205,-29,734,766,1379,-44,0,0,710,65,775,-201,530,563,-3651,-3088,-300,-300,-207,1703,-1892,17,23,546
2019-09-30,550,91,330,421,-148,-14,-927,-1334,-363,-51,0,0,122,-1189,-1067,-41,-1159,-1399,3786,2387,-350,-108,-220,-40,2019,497,25,-238
2019-06-30,453,109,236,345,-417,-46,-23,-524,274,-60,-26,0,199,518,717,322,953,204,-2742,-2538,-200,-200,-183,1709,-1212,15,30,-165
2019-03-31,775.00000,89.00000,-397.00000,-308.00000,-106.00000,60.00000,236.00000,67.00000,534.00000,-59.00000,,1210.00000,-1643.00000,-486.00000,-2129.00000,-143.00000,-1121.00000,286.00000,1113.00000,1399.00000,-913.00000,-913.00000,-143.00000,312.00000,655.00000,68.00000,54.00000,-143.00000
2018-12-31,456,85,263,348,7,1,-72,125,929,-12,0,-23,-396,-927,-1323,-1882,-3240,-110,-932,-1042,-400,-400,-158,4492,2892,581,21,347
2018-09-30,434,49,103,152,43,-20,-9,48,634,8,-32,0,207,-90,117,-1478,-1385,166,1070,1236,-500,-500,-146,209,799,48,26,-124
2018-06-30,602,133,-118,15,-46,225,65,411,1028,-42,-26,0,111,-192,-81,470,321,-461,847,386,-235,-235,-126,-1360,-1335,14,35,-111
