,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-11-30,360.3,104,1.1,105.1,-22,-136,-143.8,321.6,-25.6,0,0,-132.9,-132.9,-3,-161.5,0,39.2,39.2,0,0,-284.7,4.1,-241.4,-81.3,15.3,-284.7
2022-08-31,379.20000,103.00000,21.30000,124.30000,-59.50000,-18.60000,-139.20000,364.30000,-30.60000,,,1259.30000,1259.30000,-5.60000,1223.10000,,-505.90000,-505.90000,,,-284.60000,-19.20000,-809.70000,777.70000,14.40000,-284.60000
2022-05-31,296.4,107.6,21.8,129.4,-122.8,-64.2,-88.6,337.2,-33.3,0,0,-219.199,-219.199,-0.3,-252.8,0,-520.9,-520.9,-145.2,-145.2,-284.7,4.9,-945.9,-861.5,13.6,-284.7
2022-02-28,430.7,106.5,10.8,117.3,166.6,-60.1,64.9,612.9,-34.7,0,0,-678.3999,-678.3999,-3.6,-716.7,0,496,496,0,0,-238.5,12,269.5,165.7,12.8,-238.5
2021-11-30,332.1,106,12.6,118.6,-291.4,-113.6,-280.9,169.8,-34.2,-24.9,0,-364.6001,-364.6001,-5.4,-429.1,0,137.3,137.3,0,0,-238.3,9.8,-91.2,-350.5,14,-238.3
2021-08-31,333.60000,102.70000,20.20000,122.90000,-27.30000,-14.50000,-70.90000,385.60000,-30.40000,,,9.40000,9.40000,-1.30000,-22.30000,,32.10000,32.10000,,,-238.10000,-5.70000,-211.70000,151.60000,12.40000,-238.10000
2021-05-31,263,104.2,-4,100.2,55.9,-70.4,26.5,389.7,-31.5,0,0,176.2998,176.2998,-5.1,139.7,0,-458.1,-458.1,-79.7,-79.7,-238.2,17.5,-758.5,-229.1,14.4,-238.2
2021-02-28,350.5,103.2,19.5,122.7,-120.8,-55.3,-33.3,439.9,-32.3,-19.5,0,-55.9001,-55.9001,-2.2,-109.9,0,845,845,-47.2,-47.2,-223.8,10.5,584.5,914.5,12.6,-223.8
2020-11-30,272.4,105.4,10.7,116.1,-140,-73.6,-172.8,215.7,-30.1,0,0,-223.2,-223.2,-0.8,-254.1,0,87.5,87.5,0,0,-223.5,56.4,-79.6,-118,12.2,-223.5
2020-08-31,211.60000,106.40000,12.10000,118.50000,-66.20000,6.70000,-115.10000,215.00000,-20.70000,,,-215.00000,-215.00000,-0.60000,-236.30000,,-132.10000,-132.10000,-28.80000,-28.80000,-223.20000,1.30000,-382.80000,-404.10000,13.30000,-223.20000
2020-05-31,220.7,108.8,7.5,116.3,54.9,-25.3,51.2,388.2,-35.1,0.2,0,444,444,-1.6,407.5,0,-987.1,-987.1,0,0,-222.6,1.3,-1208.4,-412.7,10.9,-222.6
2020-02-29,354.5,107.1,9.7,116.8,56.2,-27.4,16.8,488.1,-32,-6.3,0,-158.499,-158.499,-4,-200.8,0,575.6,575.6,0,0,-222.5,12.1,365.2,652.5,12.7,-222.5
2019-11-30,258.7,111.8,14.5,126.3,-45.3,-95,-115.2,269.8,-33.5,0,0,56.5,56.5,-2.5,20.5,0,-24.8,-24.8,0,0,-222.3,15.3,-231.8,58.5,13.3,-222.3
