,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-1420,-448,-529,-977,-1404,1123,-281,-2678,141,0,235,-55,5100,5045,7058,12479,-5326,-174,-5500,2,2,659,-3964,-8803,998,-68,569
2022-09-30,636,121,185,306,184,1874,2058,3000,-85,0,-1,208,-185,23,946,883,1865,-3500,-1635,0,0,-243,-359,-2237,1646,16,-209
2022-06-30,364,260,359,619,322,-3181,-2859,-1876,-5,0,-91,216,-4356,-4140,-5212,-9448,4465,3726,8191,-2,-2,-218,-69,7902,-3422,19,-195
2022-03-31,420.00000,67.00000,-15.00000,52.00000,898.00000,184.00000,1082.00000,1554.00000,-51.00000,,-143.00000,-369.00000,-559.00000,-928.00000,-2792.00000,-3914.00000,-1004.00000,-52.00000,-1056.00000,,,-198.00000,4392.00000,3138.00000,778.00000,33.00000,-165.00000
2021-12-31,530,172,-657,-485,462,598,1060,1105,-65,0,-151,-27,-1100,-1127,-6156,-7499,4,86,90,-200,-200,-193,2139,1836,-4558,12,-168
2021-09-30,530,136,-9,127,301,322,623,1280,-27,0,-14,112,-242,-130,-1113,-1284,1,-57,-56,0,-250,-200,1585,1079,1075,12,-167
2021-06-30,648,165,-85,80,944,-1092,-148,580,-22,0,0,-93,222,129,-738,-631,-1353,-7,-1360,0,296,-191,-713,-1968,-2019,13,-168
2021-03-31,611.00000,152.00000,-41.00000,111.00000,-622.00000,-790.00000,-1412.00000,-690.00000,-10.00000,,,-2.00000,-1680.00000,-1682.00000,620.00000,-1072.00000,-5.00000,-176.00000,-181.00000,-95.00000,-95.00000,-199.00000,4164.00000,3689.00000,1927.00000,22.00000,-167.00000
2020-12-31,456,159,151,310,687,-587,100,866,-119,0,0,22,-559,-537,19,-637,-764,4,-760,0,0,-193,4241,3288,3517,14,-168
2020-09-30,314,103,395,498,82,-236,-154,658,54,0,0,147,151,298,1748,2100,-71,-25,-96,0,0,-196,-696,-988,1770,11,-168
