,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,253,112,389,501,123,-963,-840,-86,-37,0,0,-195,523,328,878,1169,-7244,-798,-8042,0,395,-190,10142,2305,3388,2,-168
2020-03-31,34.00000,204.00000,487.00000,691.00000,-860.00000,-1192.00000,-2052.00000,-1327.00000,-16.00000,,-3.00000,17.00000,-961.00000,-944.00000,-7805.00000,-8768.00000,2300.00000,780.00000,3080.00000,-270.00000,-270.00000,-191.00000,8148.00000,10767.00000,672.00000,21.00000,-168.00000
2019-12-31,450,193,208,401,25,-149,-124,727,-48,0,0,-139,832,693,-2734,-2089,1249,-804,445,-400,37,-175,599,906,-456,-3,-158
2019-09-30,449,165,78,243,-226,-73,-299,393,-37,0,0,28,300,328,-789,-498,1249,-367,882,-500,-500,-180,710,912,807,12,-162
2019-06-30,453,141,91,232,-587,7,-580,105,-25,0,0,-19,44,25,183,183,-253,761,508,-120,-119,-163,85,311,599,12,-148
2019-03-31,439.00000,134.00000,90.00000,224.00000,116.00000,-307.00000,-191.00000,472.00000,15.00000,,-129.00000,-19.00000,-238.00000,-257.00000,-1100.00000,-1471.00000,-4252.00000,-638.00000,-4890.00000,-200.00000,92.00000,-164.00000,4323.00000,-639.00000,-1638.00000,20.00000,-149.00000
2018-12-31,465,132,147,279,151,-335,-184,560,-75,191,0,-6,431,425,-2555,-2014,496,-1322,-826,-300,-3,-134,2500,1537,83,1,-127
2018-09-30,443,114,93,207,-105,-753,-858,-208,-63,-59,-533,-28,289,261,-1296,-1690,3254,-703,2551,-400,-400,-129,2,2024,126,12,-129
2018-06-30,425,121,128,249,-61,98,37,711,-62,-75,0,28,-166,-138,-1980,-2255,916,-741,175,-150,146,-114,1343,1550,6,10,-107
2018-03-31,388.00000,122.00000,77.00000,199.00000,41.00000,76.00000,117.00000,704.00000,-32.00000,-57.00000,,50.00000,-46.00000,4.00000,-1033.00000,-1118.00000,3000.00000,-2104.00000,896.00000,-175.00000,-175.00000,-108.00000,628.00000,1241.00000,827.00000,18.00000,-108.00000
2017-12-31,666,116,-41,75,20,-328,-308,433,-138,-49,0,95,127,222,-95,-60,2005,-2889,-884,-335,-335,-96,1854,539,912,13,-89
2017-09-30,348,113,59,172,63,330,393,913,-51,-55,0,146,-305,-159,-1774,-2039,249,-476,-227,-225,-225,-90,-379,-921,-2047,8,-90
2017-06-30,318,134,-32,102,-10,-726,-736,-316,-50,-44,0,-82,463,381,-1029,-742,1361,-1422,-61,-130,-130,-78,1501,1232,174,9,-71
2017-03-31,320.00000,124.00000,146.00000,270.00000,160.00000,103.00000,263.00000,853.00000,-14.00000,-39.00000,,88.00000,-398.00000,-310.00000,-780.00000,-1143.00000,-1003.00000,-505.00000,-1508.00000,-130.00000,-130.00000,-72.00000,2289.00000,579.00000,289.00000,18.00000,-72.00000
2016-12-31,282,122,98,220,-120,-90,-210,292,-94,-39,0,281,-413,-132,-2362,-2627,3199,-1303,1896,-180,-180,-69,1477,3124,789,8,-62
2016-09-30,297,132,127,259,-16,-46,-62,494,-22,-41,0,7,-1314,-1307,-1692,-3062,152,-82,70,-250,-250,-62,2070,1828,-740,4,-62
2016-06-30,243,134,184,318,-108,-123,-231,330,-14,-40,0,-193,-414,-607,-2655,-3316,3243,-2037,1206,0,0,-71,3651,4786,1800,7,-64
2016-03-31,223.00000,127.00000,103.00000,230.00000,-5.00000,-74.00000,-79.00000,374.00000,-5.00000,-45.00000,,-178.00000,320.00000,142.00000,-2413.00000,-2321.00000,121.00000,582.00000,703.00000,,,-53.00000,67.00000,717.00000,-1230.00000,4.00000,-53.00000
2015-12-31,221,125,295,420,74,-317,-243,398,-64,-36,0,7,99,106,-1715,-1709,5742,-3722,2020,0,0,-53,673,2640,1329,2,-53
2015-09-30,220,120,72,192,15,-111,-96,316,-14,-50,0,-177,1767,1590,-752,774,248,-3392,-3144,-250,-250,-60,1251,-2203,-1113,7,-53
2015-06-30,190,126,102,228,-38,37,-1,417,-21,-45,0,429,-1195,-766,-2398,-3230,-3,-888,-891,-250,-3,-53,1625,678,-2135,9,-53
2015-03-31,209.00000,117.00000,42.00000,159.00000,-33.00000,-237.00000,-270.00000,98.00000,-7.00000,-47.00000,,-245.00000,-250.00000,-495.00000,-1191.00000,-1740.00000,-3.00000,145.00000,142.00000,,,-55.00000,3283.00000,3370.00000,1728.00000,6.00000,-55.00000
2014-12-31,197,83,177,260,5,-279,-274,183,-119,-54,0,-78,321,243,-2937,-2867,2584,-1368,1216,-334,-334,-55,2244,3071,387,24,-55
2014-09-30,189,129,83,212,-46,-169,-215,186,-11,-36,0,17,191,208,-1958,-1797,331,-2611,-2280,0,0,-383,1807,-856,-2467,10,-383
2014-06-30,313,112,-237,-125,-52,185,133,321,-1,-40,0,-10,173,163,-696,-574,331,3477,3808,0,0,-343,-708,2757,2504,0,-343
2014-03-31,166.00000,108.00000,174.00000,282.00000,45.00000,207.00000,252.00000,700.00000,-7.00000,-40.00000,,-66.00000,-3426.00000,-3492.00000,-1497.00000,-5036.00000,-3.00000,3989.00000,3986.00000,,,-25.00000,470.00000,4431.00000,95.00000,19.00000,-25.00000
2013-12-31,152,116,-4557,-4441,-339,43,608,1013,-17,129,0,-990,1785,-934,-1849,-2671,-372,3618,1017,0,0,-374,-1750,1833,175,-24,811
2013-09-30,144,117,228,345,122,-370,-248,241,-36,-54,0,-60,-3888,-3948,-678,-4716,333,52,385,0,0,-383,2569,2571,-1904,24,-383
2013-06-30,-4365,-320,4329,4009,217,327,668,-319,90,-75,309,1050,2103,86,3605,4015,39,2420,1857,0,0,-278,-6371,-1642,2054,0,-428
2012-12-31,137,-9,0,-9,0,0,-501,-765,-71,0,-309,0,0,5108,-1775,2953,0,-3852,556,0,0,-150,1851,-1595,593,0,0
2011-12-31,506,573,0,573,0,0,377,2479,-101,0,0,0,0,-2041,108,-2034,0,702,-3104,0,0,0,733,-1669,-1224,0,0
