,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-482.48,216.63,47.166,263.7961,62.969,4.779,81.606,169.981,455.2839,236.6,-155.415,0,0,-224.137,-224.137,215.134,-164.418,-304.733,-304.733,0,0,-7.176,-311.909,-239.727,24.64
2022-09-30,-295.394,202.103,23.214,225.3169,199.427,-1.64,29.386,-54.573,152.322,82.245,-1302.139,0,0,0,0,-208.281,-1510.42,733.2769,733.2769,2.71,2.71,-24.336,711.651,-716.524,26.083
2022-06-30,-509.321,195.856,41.263,237.119,-52.588,-12.607,9.579,427.192,534.3881,262.186,-161.019,0,0,0,0,0.297,-160.722,-333.4439,-333.4439,0,0,-1.622,-335.066,-233.602,30.048
2022-03-31,-982.71400,195.46400,198.61400,394.07800,618.85300,-24.14100,-136.76700,-214.73300,217.62500,-371.01100,-165.28400,,,,240.00000,4.94000,79.65600,1137.73100,1137.73100,2.55700,2.55700,-218.74000,921.54800,630.19300,32.79200
2021-12-31,-1572.721,197.632,817.935,1015.567,-180.108,-10.805,137.012,142.09,241.4961,-315.658,-213.313,0,0,0,325,-7.76,103.927,32.4189,32.4189,1107.447,1107.447,-791.304,348.562,136.831,35.103
2021-09-30,-845.885,188.527,36.443,224.97,-571.77,-16.72,-11.191,454.845,-49.3811,-670.296,-230.049,0,0,0,-180,2.293,-407.756,112.404,112.404,2.052,2.052,-31.728,82.728,-995.324,39.922
2021-06-30,-717.789,188.637,1.1061,189.7431,-405.472,-7.605,19.579,280.152,-101.998,-630.044,-173.131,0,0,0,-180,-3.818,-356.949,52.155,52.155,-0.016,-0.016,-3.039,49.1,-937.893,22.451
2021-03-31,-1370.19200,183.80800,628.57790,812.38590,-2.64800,-2.35100,6.62600,-331.17300,-294.20500,-852.01100,-136.35000,,,,-205.00000,-1.91600,-343.26600,291.27600,291.27600,1559.50100,1559.50100,-652.94900,1197.82800,2.55100,26.60100
2020-12-31,-738.933,174.411,79.703,254.114,42.9,-2.202,-32.955,-146.729,-152.7979,-637.617,-73.403,0,0,31.52,31.52,-31.864,-73.747,846.319,846.319,822.614,822.614,-16.565,1652.368,944.271,30.288
2020-09-30,-677.366,185.833,41.418,227.251,-9.995,0.761,-357.983,204.665,-140.1311,-590.246,-147.665,0,0,-31.52,-31.52,29.134,-150.051,581.498,581.498,278.616,278.616,-24.221,835.893,96.262,25.862
2020-06-30,-715.243,184.18,15.87,200.05,21.001,2.738,111.304,-816.534,-760.486,-1275.679,-115.322,0,0,28.606,28.606,-26.955,-113.671,1928.452,1928.452,441.935,441.935,-81.909,2288.478,899.688,22.389
2020-03-31,-1880.97200,195.19500,1655.04000,1850.23500,-23.10900,9.25800,258.21500,-142.77600,-21.96400,-52.70100,-610.15500,,,-28.60600,-28.60600,0.86800,-637.89300,1826.34000,1826.34000,4.10000,4.10000,-27.96800,1802.47200,1107.38500,32.75800
2019-12-31,121.297,164.605,24.063,188.668,-1.363,-1.474,27.89,42.069,65.598,375.563,-1021.185,0,0,0.556,0.556,-48.35,-1068.979,545.9189,545.9189,13.734,13.734,-20.619,539.034,-154.382,12.985
2019-09-30,450.584,156.026,27.677,183.703,2.38,-3.339,-4.835,-269.638,-228.466,405.821,-202.097,0,0,-0.845,-0.845,1.281,-201.661,-73.739,-73.739,-142.954,-142.954,-0.134,-216.827,-12.667,25.42
2019-06-30,240.19,156.757,31.438,188.195,-12.942,-0.846,8.224,121.119,85.366,513.751,-199.329,0,0,0.289,0.289,3.499,-195.541,-203.0259,-203.0259,3.549,3.549,-3.516,-202.993,115.217,29.651
2019-03-31,118.15700,169.71400,-3.06200,166.65200,-2.17900,-0.49600,-89.91400,379.53100,242.66100,527.47000,-214.55900,,,,,0.54800,-214.01100,46.41090,46.41090,-192.25200,-192.25200,-26.76100,-172.60200,140.85700,26.99900
2018-12-31,154.634,146.818,25.803,172.6211,-10.237,5.185,103.384,-48.516,27.815,355.07,-205.118,0,0,-1.719,-1.719,0.256,-206.581,-69.232,-69.232,-199.1289,-199.1289,-2.738,-271.099,-122.61,27.186
2018-09-30,470.378,145.312,31.393,176.7049,-3.562,-2.815,-0.642,-255.756,-180.783,466.3,-110.244,0,0,0,0,0.254,-109.99,-280.6021,-280.6021,7.616,7.616,-1.87,-274.856,81.454,28.962
2018-06-30,226.676,140.296,36.507,176.803,-3.705,-12.785,-9.518,207.427,239.561,643.04,-1107.56,0,0,0,0,65.048,-1042.512,500.4031,500.4031,-186.935,-186.935,-10.737,302.731,-96.741,31.733
2018-03-31,103.15500,134.54600,30.16700,164.71300,1.61800,1.36300,13.16300,329.92900,342.89300,610.76100,-143.87400,,,,,0.24900,-143.62500,38.05200,38.05200,-257.54400,-257.54400,-122.08600,-341.57800,125.55800,28.10200
2017-12-31,98.797,135.527,39.614,175.1411,14.479,-3.206,10.091,-41.059,-32.329,241.609,-242.7,0,0,-0.439,-0.439,3.01,-240.129,-310.9351,-310.9351,1.969,1.969,-39.228,-348.194,-346.714,23.375
2017-09-30,400.692,137.339,32.925,170.264,-11.73,-3.109,-6.173,-206.844,-131.049,439.907,-64.249,0,0,0,0,0,-64.249,-85.291,-85.291,14.85,14.85,-1.628,-72.069,303.589,21.444
2017-06-30,198.473,127.025,28.177,155.202,-2.642,-5.63,-17.294,165.739,131.112,484.787,-947.488,0,0,-35.255,-35.255,0,-982.743,524.9681,524.9681,3.747,3.747,-31.233,497.482,-0.474,24.017
2017-03-31,61.91000,121.59300,20.11800,141.71100,14.94300,-5.18400,27.42300,213.46200,231.32300,434.94400,-117.77700,,,,,,-117.77700,-229.23700,-229.23700,9.46600,9.46600,-5.95400,-225.72500,91.44200,18.20300
2016-12-31,72.232,118.269,42.784,161.053,-9.697,-0.051,-8.306,-42.642,-57.957,175.328,-176.155,0,0,-2.654,-2.654,0.131,-178.678,10.1651,10.1651,1.954,1.954,-35.853,-23.734,-27.084,18.125
2016-09-30,342.378,115.098,16.062,131.16,5.049,0.541,13.416,-168.472,-132.817,340.721,-151.037,0,0,-0.171,-0.171,0,-151.208,-177.9551,-177.9551,3.036,3.036,-5.127,-180.046,9.467,16.84
2016-06-30,145.246,107.582,43.215,150.797,-15.293,-5.314,-13.615,189.491,121.899,417.942,-632.872,0,0,-32.962,-32.962,0,-665.834,263.415,263.415,1.031,1.031,-25.457,238.989,-8.903,16.204
2016-03-31,73.22900,104.68600,4.03000,108.71600,-1.04200,-4.36000,2.75000,143.23100,148.15100,330.09600,-132.02700,,,-1.16700,-1.16700,,-133.19400,-104.24800,-104.24800,-46.85100,-46.85100,-6.87300,-157.97200,38.93000,15.24500
2015-12-31,38.312,122.474,28.299,150.773,-5.24,-6.017,5.114,-100.157,-118.646,68.792,-791.176,0,0,-87.441,-87.441,2.832,-875.785,800.901,800.901,-97.231,-97.231,-10.92,692.75,-114.243,14.352
2015-09-30,251.787,113.144,8.543,121.687,-5.194,4.855,-10.799,-94.578,-111.783,261.691,-125.752,-0.75,0,1.09,1.09,0,-125.412,-81.582,-81.582,4.937,4.937,-2.412,-79.057,57.222,13.691
2015-06-30,158.494,110.184,-33.327,76.857,-5.843,-3.166,-29.583,151.602,161.554,396.905,-131.925,0,0,0,0,0,-131.925,-216.674,-216.674,3.233,3.233,-0.003,-213.444,51.536,2.161
2015-03-31,-21.45600,104.53300,32.18700,136.72000,1.47400,-0.08000,-17.45500,251.06800,199.52600,314.79000,-73.13100,,,,,,-73.13100,-253.19100,-253.19100,51.79000,51.79000,-3.66000,-205.06100,36.59800,12.00500
2014-12-31,-25.648,91.571,37.264,128.835,0.42,7.287,-12.136,-111.646,-168.31,-65.123,-99.803,0,-826.686,-5.334,-5.334,0,-931.823,1065.14,1065.14,2.776,2.776,-42.015,1025.901,28.955,5.066
2014-09-30,203.278,72.078,-1.361,70.717,1.209,1.303,-2.871,-104.644,-92.379,181.616,-77.271,0,0,0,0,0,-77.271,-38.969,-38.969,-1.922,-1.922,-71.068,-111.959,-7.614,4.472
2014-06-30,113.279,71.52,5.016,76.536,-9.145,-4.46,23.165,74.126,101.159,290.974,-41.256,0,0,0,0,0,-41.256,-170.539,-170.539,-77.337,-77.337,-3.119,-250.995,-1.277,3.244
2014-03-31,51.69200,69.70800,2.78700,72.49500,0.26000,-4.39100,-7.19800,111.84400,103.94700,228.13400,-746.31000,,,,,,-746.31000,526.32600,526.32600,0.34000,0.34000,-0.19700,526.46900,8.29300,1.83500
2013-12-31,36.407,64.968,-7.056,57.912,-0.543,2.186,-11.771,-38.658,-17.381,76.938,-41.517,0,0,-17.569,-17.569,0,-59.086,-19.3142,-19.3142,1.649,1.649,-0.68,-18.345,-0.493,1.792
2013-09-30,172.894,64.197,10.06,74.257,-1.347,-0.472,1.459,-110.657,-101.588,145.563,-76.745,0,0,0,0,0,-76.745,-78.2439,-78.2439,1.268,1.268,-17.722,-94.698,-25.88,1.927
2013-06-30,-8.915,60.466,23.461,83.927,-2.983,-3.138,29.401,78.995,95.673,170.685,-673.868,0,0,0,0,0,-673.868,537.697,537.697,0,0,-32.875,504.822,1.639,0.603
2013-03-31,-97.50000,55.48000,34.95000,90.43000,1.67500,-2.61000,-11.42700,109.83400,89.16500,82.09500,-85.15200,,,,,,-85.15200,-428.13500,-428.13500,473.01700,473.01700,-6.12400,38.75800,35.70100,18.75300
2012-12-31,1.047,55.349,8.677,48.563,0.057,3.494,12.165,-28.312,-43.013,22.067,-73.985,0,0,0,0,0,-73.985,74.461,74.465,0,0,-45.735,28.72,-23.188,4.665
2012-09-30,128.188,55.039,-1.473,53.566,-3.368,-5.389,-1.65,-67.667,-61.019,120.735,-54.882,0,0,0,0,0,-54.882,-62.318,-62.318,0,0,-0.542,-62.86,2.993,0.165
2012-06-30,36.031,53.272,5.86,59.132,-1.453,1.888,-3.691,27.346,2.191,97.354,-150.64,0,0,0,0,0,-150.64,55.824,55.824,0,0,-0.81,55.014,1.728,0.165
2012-03-31,3.28400,52.47000,2.39900,54.86900,0.17200,-3.44000,-8.05200,79.44500,100.28100,158.43400,-24.33300,,,,,,-24.33300,-126.77100,-126.77100,,,-2.28300,-129.05400,5.04700,0.16500
2011-12-31,-1.89,51.52,-1.127,51.52,-0.28,-3.471,15.928,23.908,-15.73,33.45,-67.47,0,0,0,0,0,-67.47,-166.584,46.32,0,0,-1.2,45.12,11.08,1.211
2011-09-30,110.19,55.72,0,55.72,0,0,0,0,-79.35,89.33,-19.97,0,0,0,0,0,-19.97,0,-81.2,0,0,-0.51,-81.7,-12.34,0
2011-06-30,29.17,52.05,0,52.05,0,0,0,0,17.21,97.95,-77.45,0,0,0,0,0,-77.45,0,-9.31,0,0,-0.2,-9.53,10.97,0
2011-03-31,-10.62000,51.75000,,51.75000,,,,,98.07000,136.26000,-19.90000,,0.00000,,0.00000,,-19.90000,,-122.39000,,0.00000,0.18000,-122.20000,-5.84000,
2010-12-31,22.98,191.91,0,191.91,0,0,0,0,205.99,430.42,-977.46,0,0,0,0,0,-977.46,0,645.87,0,0,-93.94,551.93,4.89,0
