,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,408,-1500,2527,1027,0,0,0,-1748,-1748,-313,-1817,-39,-39,0,-1856,2128,172,2300,0,0,-382,-75,1843,-324,-49,-360
2022-09-30,561,506,-1857,-1351,0,0,0,-119,-119,-909,-1179,-94,-94,625,-648,71,573,644,-1,-1,-359,-33,251,-1307,17,-359
2022-06-30,659,501,-58,443,0,0,0,-345,-345,757,-1157,-96,-96,8,-1245,300,-1291,-991,-250,-250,-384,1672,47,-443,15,-362
2022-03-31,657.00000,493.00000,416.00000,909.00000,,,,41.00000,41.00000,1607.00000,-1204.00000,-85.00000,-85.00000,-1.00000,-1290.00000,2975.00000,-720.00000,2255.00000,-223.00000,-223.00000,-349.00000,-45.00000,1638.00000,1955.00000,17.00000,-349.00000
2021-12-31,712,479,-1596,-1117,-599,-87,263,1727,1266,861,-1371,-417,-417,-264,-2052,-1393,-86,-1479,-300,-300,-372,3014,863,-326,15,-350
2021-09-30,-632,471,1163,1634,0,0,0,-276,-276,726,-1182,-51,-51,365,-868,824,415,1239,-1,-1,-356,-203,679,536,14,-347
2021-06-30,455,463,162,625,0,0,0,-327,-327,753,-1243,-50,-50,6,-1287,-156,652,496,4,4,-365,-10,125,-407,17,-333
2021-03-31,928.00000,442.00000,212.00000,654.00000,,,,-80.00000,-80.00000,1502.00000,-1181.00000,-115.00000,-115.00000,-5.00000,-1301.00000,-991.00000,932.00000,-59.00000,-37.00000,-37.00000,-337.00000,26.00000,-407.00000,-207.00000,17.00000,-301.00000
2020-12-31,432,424,442,866,-328,-35,74,47,-336,962,-1366,-423,-423,-73,-1862,-1360,112,-1248,0,1,-352,-64,-1663,-2561,14,-302
2020-09-30,421,418,51,469,0,0,0,-288,-288,602,-1098,-89,-89,748,-439,-542,0,-542,-504,-505,-341,-164,-1552,-1384,21,-305
2020-06-30,2305,412,-2897,-2485,0,0,0,-111,-111,-291,-1188,-54,-54,5277,4035,1903,-3998,-2095,-5,886,-333,270,-1272,2476,14,-298
2020-03-31,947.00000,412.00000,-176.00000,236.00000,,,,135.00000,135.00000,1318.00000,-1005.00000,-86.00000,-86.00000,-90.00000,-1181.00000,186.00000,2127.00000,2313.00000,-46.00000,-46.00000,-305.00000,152.00000,2114.00000,2237.00000,22.00000,-269.00000
