,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2056,307,-67,240,654,654,2950,-679,196,1140,0,1140,769,1426,-1548,-1548,124,124,-3706,-42,-5172,-608,83,-3706
2022-09-30,2822,307,-274,33,667,667,3522,-276,-23,-352,0,-352,-393,-1044,-850,-850,-147,-147,-100,-31,-1128,1151,84,-100
2022-06-30,1900,322,1159,1481,542,542,3923,-253,-1,-256,0,-256,-781,-1291,1433,1433,-461,-461,-1904,-43,-975,1295,102,-1904
2022-03-31,2793.00000,324.00000,-26.00000,298.00000,-2468.00000,-2468.00000,623.00000,-201.00000,213.00000,488.00000,,488.00000,-354.00000,146.00000,7.00000,7.00000,-97.00000,-97.00000,-1906.00000,-979.00000,-2975.00000,-2344.00000,87.00000,-1906.00000
2021-12-31,2450,341,-554,-213,1157,1157,3394,-596,-4525,467,0,467,-30,-4684,1417,1417,202,202,-1815,1,-195,-1617,101,-1815
2021-09-30,2475,362,263,625,606,606,3706,-241,185,182,0,182,40,166,16,16,151,151,-1814,18,-1629,2113,88,-1814
2021-06-30,2624,383,-57,326,939,939,3889,-217,1756,471,0,471,24,2034,-3749,-3749,159,159,-1813,77,-5326,704,90,-1813
2021-03-31,2255.00000,366.00000,392.00000,758.00000,-1377.00000,-1377.00000,1636.00000,-205.00000,-2.00000,-91.00000,,-91.00000,17.00000,-281.00000,2544.00000,2544.00000,79.00000,79.00000,-1810.00000,-449.00000,364.00000,1374.00000,58.00000,-1810.00000
2020-12-31,1474,430,128,558,1592,1592,3624,-385,80,5821,0,5821,79,5595,-10783,-10783,108,108,-3525,157,-14043,-4590,38,-3525
2020-09-30,1740,358,512,870,824,824,3434,-179,-5,76,0,76,3,-105,-550,-550,70,70,-1761,169,-2072,1348,52,-1761
2020-06-30,1759,381,47,428,43,43,2230,-188,10,-4190,-1603,-5793,88,-5883,1741,1741,32,32,-1761,223,235,-3524,41,-1761
2020-03-31,2795.00000,367.00000,-837.00000,-470.00000,-1769.00000,-1769.00000,556.00000,-236.00000,-948.00000,-1455.00000,1603.00000,148.00000,-48.00000,-1084.00000,7730.00000,7730.00000,319.00000,319.00000,,-239.00000,7810.00000,6824.00000,-5.00000,
2019-12-31,2065,400,-10,390,245,245,2700,-814,-3,-4704,5412,708,34,-75,277,277,-324,-324,-3426,-194,-3667,-1051,55,-3426
2019-09-30,2589,363,-463,-100,781,781,3270,462,-22,0,1101,1101,-80,1461,-2358,-2358,320,320,-1710,-157,-3905,800,58,-1710
2019-06-30,2628,327,-64,263,822,822,3713,-363,-27,-932,460,-472,-41,-903,-364,-364,120,120,-1709,100,-1853,883,48,-1709
2019-03-31,1703.00000,275.00000,292.00000,567.00000,-1482.00000,-1482.00000,788.00000,-361.00000,-5061.00000,932.00000,,932.00000,31.00000,-4459.00000,604.00000,604.00000,-207.00000,-207.00000,,24.00000,421.00000,-3470.00000,40.00000,
2018-12-31,927,279,333,612,398,398,1937,-349,-657,2918,0,2918,-93,1819,-822,-822,269,269,-3323,-88,-3964,-144,58,-3323
2018-09-30,1818,254,377,631,555,555,3004,-325,-6951,9103,0,9103,27,1854,-1787,-1787,12,12,-1659,-114,-3548,1072,46,-1659
2018-06-30,2331,283,340,623,-881,-881,2073,-395,7887,-6543,0,-6543,-16,933,-1192,-1192,-267,-267,-1662,2,-3119,-142,49,-1662
2018-03-31,1400.00000,270.00000,255.00000,525.00000,-1312.00000,-1312.00000,613.00000,-231.00000,-180.00000,1710.00000,,1710.00000,22.00000,1321.00000,806.00000,806.00000,-450.00000,-450.00000,,-72.00000,284.00000,1918.00000,72.00000,
2017-12-31,-2717,334,-1331,-997,4893,4893,1179,-520,-2240,-602,758,156,21,-2583,-1420,-1420,-320,-320,-3155,-53,-4948,-6426,52,-3155
2017-09-30,1444,297,762,1059,17,17,2520,-332,717,0,948,948,139,1472,-1201,-1201,-487,-487,-1581,-27,-3296,810,53,-1581
