,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-30,0,0,0,0,0,0,0,0,-295,0,0,0,0,0,0,0,466,0,0,0,0,0,0,-221,-21,0
2022-03-31,0.00000,,,,,,,,295.00000,,,,,,,,-466.00000,,,,,,,221.00000,21.00000,
2021-12-31,1191,3540,1358,4898,-445,45,-3652,-2931,3158,-1710,-54,-39,0,-1254,-1254,-1877,-4934,1211,176,1387,-1030,-1030,3314,3671,1747,1107
2021-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-30,0,0,0,0,0,0,0,0,-628,0,0,0,0,0,0,0,1123,0,0,0,0,0,0,-2842,-2381,0
2021-03-31,0.00000,,,,,,,,628.00000,,,,,,,,-1123.00000,,,,,,,2842.00000,2381.00000,
2020-12-31,2916,3481,102,3583,-235,-24,-2563,-2790,3709,-779,-38,-441,0,-3103,-3103,138,-4223,1847,51,1898,-1251,-1251,222,869,323,1031
2020-09-30,-158,-1710,-785,-2495,-34,-37,1105,1183,-1470,198,21,105,0,2580,2580,-16,2888,-188,-141,-329,712,712,9,392,1779,-473
2020-06-30,158,1710,785,2495,34,37,-1105,-1183,1470,-198,-21,-105,0,-2580,-2580,16,-2888,188,141,329,-712,-712,-9,-392,-1779,473
2020-03-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,-328,2753,2624,5377,-275,-20,-428,-961,4088,-923,-1823,-207,0,80,80,4,-2869,254,-62,192,-652,-652,-96,-556,663,808
2019-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,3284,2355,-884,1471,-157,110,-72,476,5231,-1283,-1964,524,1249,-4401,-3152,863,-5012,2075,941,3016,1898,1898,-2720,2194,2689,681
