,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,693,572,33,605,40,-18,-186,-30,11,1404,-470,0,-4,-4,-156,-630,-6,0,-6,-35,-35,-628,-34,-703,71,-628
2022-09-30,595,570,-16,554,154,-57,-152,-78,-187,915,-853,0,0,0,-20,-873,555,0,555,-160,-160,-629,498,264,306,-629
2022-06-30,653,562,158,720,-363,-74,444,100,248,1564,-372,0,4,4,67,-301,-361,0,-361,-172,-172,-605,-56,-1194,69,-605
2022-03-31,684.00000,557.00000,167.00000,724.00000,-51.00000,-34.00000,55.00000,-53.00000,-330.00000,1084.00000,-407.00000,,,,36.00000,-371.00000,-865.00000,,-865.00000,-1.00000,-1.00000,-642.00000,-4.00000,-1512.00000,-799.00000,-642.00000
2021-12-31,654,562,68,630,-146,-113,25,41,-31,1268,-10,0,-417,-417,33,-394,637,0,637,0,0,-615,-28,-6,868,-615
2021-09-30,511,547,180,727,11,-38,217,-168,-62,1129,-1867,0,4,4,63,-1800,-346,0,-346,0,0,-616,-57,-1019,-1690,-616
2021-06-30,-740,541,1433,1974,-8,-4,119,3,284,1438,-278,0,0,0,37,-241,-5,0,-5,0,0,-613,-33,-651,546,-613
2021-03-31,1425.00000,563.00000,125.00000,688.00000,-122.00000,-47.00000,26.00000,161.00000,-249.00000,1873.00000,-267.00000,,413.00000,413.00000,-16.00000,130.00000,-1158.00000,,-1158.00000,,,-599.00000,-32.00000,-1789.00000,214.00000,-599.00000
2020-12-31,623,569,-44,525,-150,-25,88,47,49,1268,713,0,-907,-907,59,-135,-5,0,-5,0,0,-598,-22,-625,510,-598
2020-09-30,472,571,183,754,-97,13,75,-31,-185,1050,-404,0,0,0,-131,-535,282,0,282,0,0,-591,-55,-364,153,-591
2020-06-30,-624,567,1069,1636,113,-31,18,33,306,1339,-523,0,0,0,-53,-576,-541,0,-541,0,0,-601,-20,-1162,-396,-601
2020-03-31,-291.00000,597.00000,872.00000,1469.00000,222.00000,59.00000,-200.00000,-81.00000,-261.00000,893.00000,-440.00000,,907.00000,907.00000,-132.00000,335.00000,156.00000,,156.00000,-50.00000,-50.00000,-572.00000,-21.00000,-487.00000,733.00000,-572.00000
2019-12-31,627,683,147,830,-126,32,68,93,207,1627,-628,1527,0,0,-3,896,-2003,0,-2003,0,0,-528,-54,-2585,-59,-528
2019-09-30,517,599,122,721,-55,45,-11,-73,-175,1023,-541,0,0,0,-274,-815,395,0,395,0,0,-583,1,-187,19,-583
2019-06-30,528,598,94,692,86,-21,-66,55,248,1463,-528,0,0,0,-453,-981,11,0,11,0,0,-583,67,-505,-21,-583
2019-03-31,567.00000,614.00000,-89.00000,525.00000,193.00000,-52.00000,-189.00000,-21.00000,-507.00000,635.00000,-570.00000,,,,-244.00000,-814.00000,-1591.00000,,-1591.00000,-2.00000,-2.00000,-469.00000,-846.00000,-2908.00000,-3061.00000,-469.00000
2018-12-31,502,605,217,822,-112,-23,48,491,583,1668,-613,-5,-10,-10,-126,-754,-456,0,-456,-23,-23,-514,22,-971,-229,-475
2018-09-30,1005,590,-543,47,-49,32,50,-199,-70,907,-772,3003,26,26,-139,2118,626,0,626,0,0,-506,37,157,3213,-467
2018-06-30,-130,595,757,1352,-10,21,63,-16,242,1494,-728,0,-41,-41,62,-707,-365,0,-365,0,0,-499,63,-801,-16,-460
2018-03-31,542.00000,602.00000,96.00000,698.00000,126.00000,-15.00000,-140.00000,-87.00000,-356.00000,974.00000,-726.00000,,25.00000,25.00000,-24.00000,-725.00000,355.00000,,355.00000,-250.00000,-250.00000,-333.00000,19.00000,-209.00000,37.00000,-294.00000
2017-12-31,-992,580,1666,2246,-252,-4,135,1,11,1294,-957,0,-7,-7,69,-895,-332,0,-332,-250,-60,-335,40,-687,-294,-296
2017-09-30,387,577,140,717,-11,7,-3,215,94,1141,-848,0,-9,-9,-41,-898,-70,0,-70,0,-1017,-330,1258,-159,102,-291
2017-06-30,383,592,153,745,80,-58,-24,40,159,1280,-672,0,-7,-7,-281,-960,-1189,0,-1189,0,1247,-325,-30,-297,32,-286
2017-03-31,445.00000,573.00000,165.00000,738.00000,105.00000,-35.00000,-35.00000,-136.00000,-266.00000,886.00000,-597.00000,,,,-53.00000,-650.00000,-605.00000,,-605.00000,,,-328.00000,395.00000,-538.00000,-301.00000,-289.00000
2016-12-31,215,571,563,1134,-133,-19,190,-346,-137,1255,-693,-1,35,35,81,-578,-781,0,-781,0,0,-325,801,-305,370,-286
2016-09-30,-183,564,815,1379,-55,19,98,48,1,1158,-609,1402,0,0,40,833,-697,0,-697,0,0,-325,-791,-1813,177,-286
2016-06-30,375,568,215,783,-35,3,28,89,195,1295,-436,0,0,0,-300,-736,-227,0,-227,0,0,-326,-1,-554,5,-287
2016-03-31,314.00000,565.00000,412.00000,977.00000,116.00000,46.00000,-172.00000,-9.00000,-178.00000,1050.00000,-1147.00000,,,,3.00000,-1144.00000,274.00000,,274.00000,,,-320.00000,81.00000,35.00000,-54.00000,-283.00000
2015-12-31,-736,1746,457,2203,78,32,110,-96,233,1806,-1063,0,0,0,79,-984,-1188,0,-1188,37,1578,-1149,-10,-769,50,-1149
2015-09-30,183,630,405,1035,-62,36,-42,45,-104,969,-1049,0,0,0,71,-978,-156,0,-156,1264,1264,-1087,7,28,16,-1087
2015-06-30,342,584,167,751,150,-40,19,55,282,1282,-1063,0,0,0,94,-969,-287,0,-287,931,931,-1050,-4,-410,-96,-1050
2015-03-31,419.00000,550.00000,351.00000,901.00000,216.00000,6.00000,-241.00000,183.00000,75.00000,1256.00000,-2761.00000,,,,-14.00000,-2775.00000,831.00000,,831.00000,1626.00000,1626.00000,-972.00000,-17.00000,1468.00000,-56.00000,-972.00000
2014-12-31,566,534,215,749,-107,-1,89,-107,-180,975,-2183,961,0,0,32,-1190,4958,0,4958,0,0,-978,-3920,60,-157,-978
2014-09-30,779,532,117,649,-71,-5,27,39,-30,1289,-1068,0,0,0,-245,-1313,878,0,878,0,0,-959,219,138,109,-959
2014-06-30,497,513,134,647,-84,-34,23,-55,44,1085,-874,-1,0,0,-13,-888,-71,0,-71,-43,-43,-932,693,-353,-150,-932
2014-03-31,601.00000,506.00000,30.00000,536.00000,178.00000,10.00000,-140.00000,19.00000,8.00000,1118.00000,-875.00000,-960.00000,,,16.00000,-1819.00000,1007.00000,,1007.00000,-149.00000,-149.00000,-904.00000,672.00000,626.00000,-85.00000,-904.00000
2013-12-31,704,489,71,560,-257,4,196,-185,-79,1330,-683,0,-490,-490,104,-1069,332,0,332,-174,-174,-898,270,-470,-218,-898
2013-09-30,551,478,98,576,119,-7,-51,90,102,1058,-880,0,-1,-1,-55,-936,545,0,545,-332,-332,-876,332,-331,-201,-876
2013-06-30,781,454,-74,380,0,-37,-29,-70,-256,967,-1003,0,0,0,2,-1001,183,0,183,-51,-51,-781,608,-41,-89,-781
