,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-167.631,158.524,68.604,227.128,545.495,832.752,844.209,903.706,-141.219,0.684,-218.421,-17.851,-17.851,-48.156,-424.963,100.171,100.171,0.077,0.077,-68.369,31.879,656.183,23.871
2022-09-30,397.403,121.931,45.796,167.727,-569.182,-1178.319,-1184.211,-619.081,-75.709,-0.635,1.084,-23.977,-23.977,-15.755,-114.992,-5.083,-5.083,9.647,9.647,-42.148,-37.584,-909.965,24.437
2022-06-30,228.377,141.902,57.373,199.275,-287.565,-527.271,-78.514,349.138,-67.753,-6.129,-25.892,-19.584,-19.584,-10.425,-129.783,-6.545,-6.545,15.144,15.144,-71.193,-62.594,-8.863,12.5
2022-03-31,-48.95600,123.11000,67.77700,190.88700,-152.72500,972.51000,1056.36900,1198.30000,-62.52500,,-13.96200,-25.91100,-25.91100,-12.55500,-114.95300,-12.08400,-12.08400,10.90700,10.90700,-73.86400,-75.04100,987.22700,49.24100
2021-12-31,-162.471,137.055,99.061,236.1161,204.894,485.058,682.226,755.871,-48.82,-0.419,-364.657,-45.504,-45.504,4.197,-455.203,-16.874,-16.874,0.511,0.511,-34.626,-50.989,254.595,129.172
2021-09-30,86.867,131.466,-6.789,124.677,-546.762,-614.712,-356.836,-145.292,-45.848,4.51,-11.967,-2.542,-2.542,-5.617,-61.464,385.053,385.053,451.654,451.654,-15.855,820.852,585.56,27.318
2021-06-30,-210.46,130.729,15.547,146.276,-165.204,766.949,1159.599,1095.415,-34.303,-11.191,-1.495,-26.913,-26.913,13.499,-60.403,4.893,4.893,2.289,2.289,-22.73,-15.548,1030.18,12.83
2021-03-31,-322.72200,128.69300,-20.40100,108.29200,21.86100,306.18700,289.00400,74.57400,-23.76300,,-6.13200,54.80200,54.80200,-14.79900,10.10800,421.05000,421.05000,25.79400,25.79400,-29.82700,417.01700,471.01800,40.01700
2020-12-31,-463.826,137.951,-13.63,124.321,84.386,294.686,213.02,-126.485,-26.71,-8.863,-3.8,13.736,13.736,26.107,0.47,-7.882,-7.882,12.555,12.555,-16.227,-11.554,-87.052,9.924
2020-09-30,-542.458,135.99,73.841,209.831,43.123,126.174,-236.56,-566.543,-44.527,5.594,0.188,2.07,2.07,2.784,-33.891,-6.75,-6.75,6.686,6.686,-100.398,-100.462,-666.874,56.695
2020-06-30,-610.584,144.067,26.04,170.107,135.166,-222.732,-578.9139,-1022.035,-57.946,-5.388,-4.963,-2.366,-2.366,2.393,-68.27,1177.624,1177.624,4.95,4.95,-102.898,1079.676,18.654,38.538
2020-03-31,-210.92200,147.76200,12.92400,160.68600,227.91300,770.20200,681.91090,631.67500,-84.56300,-0.20600,-32.50800,-5.67900,-5.67900,0.58500,-122.37100,413.38600,413.38600,6.45600,6.45600,-37.42000,382.42200,807.46900,11.73200
2019-12-31,-136.639,148.945,31.75,180.6949,232.273,332.947,383.628,436.861,-97.744,-19.308,-126.996,-22.538,-22.538,-21.057,-287.643,530.02,530.02,0.864,0.864,-62.385,468.499,665.448,11.861
2019-09-30,193.972,151.631,28.321,179.952,-135.49,-619.45,-625.148,-260.401,-89.882,-2.339,-20.48,-5.811,-5.811,-3.191,-121.703,-8.512,-8.512,3.041,3.041,-36.229,-41.7,-476.185,11.998
2019-06-30,116.12,131.684,22.701,154.385,-165.938,-327.939,-443.082,-175.727,-78.804,-20.614,-77.713,-28.931,-28.931,9.278,-196.784,-8.359,-8.359,10.199,10.199,-28.259,-26.419,-399.213,11.721
2019-03-31,-55.24100,116.14900,13.20500,129.35400,-90.63700,527.33900,391.78700,469.05000,-57.13600,,-9.88200,,,-17.85200,-84.87000,-13.01600,-13.01600,,,-58.47500,-71.49100,305.98900,13.20500
2018-12-31,-135.185,138.915,8.164,147.0791,410.443,411.512,660.982,686.01,-76.119,-2.455,-21.94,-3.917,-3.917,-13.622,-118.053,-7.754,-7.754,6.121,6.121,-77.709,-79.342,468.405,11.267
2018-09-30,183.197,124.681,60.364,185.0449,-316.856,-675.784,-620.273,-264.25,-63.073,-5.555,-5.032,-4.379,-4.379,13.578,-64.461,-18.446,-18.446,5.593,5.593,-33.752,-46.605,-390.515,11.369
2018-06-30,83.356,115.423,12.076,127.499,-175.936,-349.866,-466.055,-255.672,-55.516,-1.706,-73.034,-38.201,-38.201,-57.212,-225.669,-50.3389,-50.3389,10.854,10.854,-49.934,-89.419,-648.47,12.076
2018-03-31,-41.02800,107.81600,10.87000,118.68600,-53.08000,692.43600,691.67400,775.49800,-45.12500,-25.91400,-20.22200,,,2.53500,-88.72600,534.80990,534.80990,,,-130.66000,404.15000,1119.96100,10.87000
2017-12-31,-173.781,153.056,-32.72,120.336,261.733,53.407,252.497,205.288,-53.936,-6.082,-29.137,-3.013,-3.013,0.081,-92.087,-24.648,-24.648,6.323,6.323,-83.095,-101.42,23.853,18.834
2017-09-30,148.77,119.188,32.07,151.258,-112.678,-717.486,-670.9899,-386.475,-55.892,-2.817,-2.19,-3.948,-3.948,1.288,-63.559,-6.637,-6.637,12.117,12.117,-6.978,-1.498,-415.897,7.82
2017-06-30,80.555,95.87,8.165,104.035,-275.517,-194.138,-148.4851,42.972,-69.726,-1.473,-11.919,-7.601,-7.601,-6.194,-96.913,-7.815,-7.815,11.001,11.001,-22.284,-19.098,-10.708,8.165
2017-03-31,-47.77000,100.59500,7.93600,108.53100,-6.55800,648.52400,698.56600,761.73700,-58.88100,-0.60500,-4.70000,-10.60800,-10.60800,-0.23300,-75.02700,-10.84300,-10.84300,21.62800,21.62800,-15.85200,-5.06700,701.99900,7.93600
2016-12-31,-92.971,113.181,38.687,151.868,199.215,322.111,420.076,479.223,-54.087,-6.234,-98.559,-10.294,-10.294,2.871,-166.303,259.534,259.534,14.623,14.623,-65.245,208.912,488.134,7.486
2016-09-30,132.761,107.486,29.346,136.832,-173.673,-595.266,-660.802,-391.459,-40.86,0,9.253,-5.12,-5.12,-4.037,-40.764,-8.095,-8.095,4.933,4.933,-37.444,-40.606,-472.393,8.093
