,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2016-06-30,36.461,98.032,7.211,105.243,-154.792,-101.129,-148.127,-6.423,-48.199,0,-78.94,-8.343,-8.343,1.816,-133.666,-4.055,-4.055,0.064,0.064,-11.814,-15.805,-187.182,8.221
2016-03-31,-55.95400,97.54600,7.22500,104.77100,-16.87800,406.36500,468.58100,517.39800,-30.68100,,-43.37800,-5.16500,-5.16500,-6.52000,-85.74400,-9.76400,-9.76400,0.67900,0.67900,-44.20400,-53.28900,396.15600,8.92300
2015-12-31,-73.837,127.986,28.909,156.895,164.871,191.615,239.154,322.778,-44.985,-12.267,-2.409,-4.868,-4.868,0.668,-63.861,16.617,16.617,1.595,1.595,-28.885,-10.673,241.742,7.767
2015-09-30,104.382,101.727,15.645,117.372,-110.048,-564.385,-587.557,-377.4,-30.162,0,-18.127,-6.107,-6.107,-8.787,-63.183,-5.74,-5.74,1.67,1.67,2.984,-1.086,-464.436,8.032
2015-06-30,20.212,91.228,2.279,93.507,-74.358,-50.026,-101.984,14.815,-37.979,0,-53.365,-7.11,-7.11,-14.904,-113.358,-8.488,-8.488,13.015,13.015,-12.574,-8.047,-80.839,8.065
2015-03-31,-66.52600,87.18500,13.86800,101.05300,-47.70000,352.87200,316.70800,347.66100,-29.36500,,-15.87900,-3.91300,-3.91300,-1.42600,-50.58300,-8.68200,-8.68200,,,-15.63300,-24.31500,224.62900,9.49700
2014-12-31,-216.002,249.035,8.962,257.997,179.349,139.084,256.7,298.695,-41.339,-3.35,-161.716,-8.276,-8.276,-10.482,-225.163,-8.632,-8.632,7.655,7.655,-24.305,-25.282,23.729,7.498
2014-09-30,115.827,101.199,1.18,102.379,-67.177,-490.123,-564.793,-346.835,-31.86,0,-24.009,-9.812,-9.812,-5.833,-71.514,-229.242,-229.242,2.405,2.405,-6.109,-232.946,-683.386,8.963
2014-06-30,25.822,81.583,5.393,86.976,-48.548,-167.497,-139.348,-26.302,-41.865,0,-12.884,-0.689,-0.689,-2.509,-57.947,505.99,505.99,3.818,3.818,-20.857,488.951,412.544,12.55
2014-03-31,-30.09700,87.32500,-0.10000,87.22500,-77.98000,349.39300,309.48000,366.60800,-24.52300,,-11.63400,-0.82300,-0.82300,-0.55400,-37.53400,-6.50400,-6.50400,7.91900,7.91900,-6.16700,-4.75200,329.95800,10.01800
2013-12-31,-81.261,116.119,23.123,139.242,140.905,116.037,110.347,166.823,-31.291,0.017,-67.119,-2.123,-2.123,-14.546,-115.062,0.535,0.535,4.517,4.517,-55.768,-50.716,-3.394,5.191
2013-09-30,50.418,97.717,36.752,134.469,76,-486.561,-303.052,-115.809,-26.892,0,-2.652,-4.473,-4.473,12.269,-21.748,33.066,33.066,7.144,7.144,-10.521,29.689,-82.682,9.105
2013-06-30,59.015,87.939,-28.09,59.849,-119.415,5.049,-5.93,109.887,-51.015,0,-23.427,-1.069,-1.069,73.405,-2.106,-9.612,-9.612,51.117,51.117,-0.715,40.79,138.845,7.814
2013-03-31,-64.18700,87.33500,-3.10300,84.23200,-63.14600,291.09700,249.72400,270.46000,-25.67000,-0.01700,-0.33900,-1.96300,-1.96300,9.35300,-18.63600,-7.40700,-7.40700,22.33200,22.33200,-1.70400,13.22100,245.36000,6.30500
2012-12-31,-165.405,176.182,10.686,186.868,165.994,165.06,256.596,278.059,-31.439,-0.009,-4.385,-0.576,-0.576,0.422,-35.987,-10.735,-10.735,0.217,0.217,-14.182,-24.7,217.384,9.468
2012-09-30,68.176,89.218,1.802,91.02,-82.969,-340.869,-380.285,-221.089,-29.587,-3.084,-3.163,-0.354,-0.354,6.941,-29.247,9.751,9.751,0.067,0.067,-1.272,8.546,-221.368,9.676
2012-06-30,5.56,97.737,3.891,101.628,-76.97,-24.685,-61.725,45.356,-34.768,-1.467,-68.093,-1.994,-1.994,-0.065,-106.387,21.305,21.305,0.451,0.451,-4.963,16.793,-66.373,8.94
2012-03-31,-70.22800,83.11600,1.20500,84.32100,-26.37400,222.15900,250.57200,264.77200,-28.01700,-10.00200,,-0.86400,-0.86400,6.71300,-32.17000,-7.25700,-7.25700,0.40800,0.40800,-13.68100,-20.53000,227.15900,8.97900
2011-12-31,-95.696,108.621,8.893,117.514,84.585,23.954,143.038,163.246,-37.927,-2.473,-13.966,-9.303,-9.303,-0.953,-64.622,-8.712,-8.712,-0.505,-0.505,-15.954,-25.171,61.68,9.489
2011-09-30,63.021,86.635,0.663,87.298,-16.159,-200.872,-314.616,-160.206,-24.922,-0.015,-5.595,6.85,6.85,-6.622,-30.304,-7.458,-7.458,0.128,0.128,-1.809,-9.139,-221.387,8.364
2011-06-30,16.614,80.164,-3.383,76.781,-99.819,-80.656,-88.498,4.897,-26.44,0.004,-12.615,-5.44,-5.44,11.592,-32.899,-9.514,-9.514,59.735,59.735,-14.92,35.301,16.774,7.485
2011-03-31,-54.34200,80.65700,-10.91400,69.74300,-48.41400,182.85500,112.36700,127.76800,-18.21100,-0.10700,-7.28900,-0.48600,-0.48600,1.90100,-24.19200,-6.32300,-6.32300,19.83900,19.83900,-58.88600,-45.37000,94.42800,24.70700
2010-12-31,-115.691,127.539,-12.035,115.504,148.822,81.991,144.999,144.812,-26.413,-0.419,-69.201,-2.683,-2.683,13.905,-84.811,-6.584,-6.584,4.114,4.114,-15.833,-18.303,37.142,6.863
2010-09-30,61.825,73.273,10.755,84.028,-89.744,-279.238,-300.426,-154.573,-19.083,-0.008,-5.412,-0.775,-0.775,5.725,-19.553,-9.7101,-9.7101,0.272,0.272,-2.339,-11.777,-144.312,12.734
2010-06-30,-31.219,66.838,25.514,92.352,-108.933,47.628,17.645,78.778,-16.999,5.838,-10,0,0,0.742,-20.419,182.148,182.148,2.091,-37.909,-5.998,138.241,174.731,10.376
2010-03-31,-122.95100,65.45300,34.23600,99.68900,45.27400,128.79500,112.76300,89.50100,-13.08300,-7.20100,576.14400,,,21.91000,577.77000,-46.01800,-46.01800,0.59600,0.59600,-13.65300,-59.07500,588.24200,22.42200
2009-12-31,1.059,57.824,-54.757,3.067,138.315,48.251,-21.432,-17.306,-10.413,0,-4.561,0,0,139.152,124.178,-117.422,-117.422,-1.553,0,-8.844,-126.266,-21.134,6.664
2009-09-30,79.172,40.682,-1.564,39.118,-68.291,-363.55,-382.435,-264.145,-14.765,-20.1,0.492,-16.645,-16.645,38.519,-12.499,70.368,70.368,0,0,-7.907,62.461,-211.741,3.486
2009-06-30,-26.808,39.917,2.901,42.818,-26.29,1.51,120.779,136.789,-15.127,-6.903,-2.978,2.913,2.913,1.1,-20.995,-33.33,-33.33,0,0,-0.259,-33.589,112.726,3.449
2009-03-31,-103.15700,46.39100,1.08700,47.47800,-16.12600,265.29500,257.61600,201.93700,-23.96200,-0.86000,-2.66000,12.91100,12.91100,1.36800,-13.20300,-22.67000,-22.67000,-4.25000,-4.25000,-0.04200,-26.96200,157.44400,3.07600
