,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-303,201,-70,131,336,1268,-300,1142,970,141,0,-302,-286,-588,0,-447,0,0,-349,-349,-254,30,-573,-50,-228
2022-09-30,-683,194,246,440,-947,3351,154,2289,2046,-124,0,696,-1715,-1019,0,-1143,0,0,-659,-659,-258,34,-883,20,-232
2022-06-30,-1024,216,984,1200,149,2154,-424,1497,1673,-98,0,398,-1305,-907,-114,-1119,0,0,-645,-645,-263,-10,-918,-364,-236
2022-03-31,646.00000,236.00000,28.00000,264.00000,-168.00000,271.00000,-673.00000,-478.00000,432.00000,-130.00000,,,997.00000,997.00000,114.00000,981.00000,,,-785.00000,-785.00000,-256.00000,-5.00000,-1046.00000,367.00000,-230.00000
2021-12-31,791,269,-231,38,516,-211,-581,42,871,-59,1946,3163,-4825,-1662,-4,221,-14,-14,-857,-857,-262,-42,-1175,-83,-235
2021-09-30,531,246,-286,-40,-1212,2547,-363,838,1329,-89,0,-1087,1622,535,0,446,0,0,-1203,-1403,-271,-69,-1743,32,-241
2021-06-30,1631,309,-652,-343,-42,864,-566,240,1528,-136,-1,1941,-1734,207,-740,-670,0,0,-483,-483,-275,-84,-842,16,-245
2021-03-31,-1387.00000,258.00000,3277.00000,3535.00000,-1325.00000,850.00000,-466.00000,-760.00000,1388.00000,-61.00000,-3480.00000,,3310.00000,3310.00000,744.00000,513.00000,-422.00000,-422.00000,-463.00000,-713.00000,-191.00000,-154.00000,-1480.00000,421.00000,-164.00000
2020-12-31,2624,185,-1527,-1342,18,-83,-283,37,1319,-73,0,-3356,1231,-2125,0,-2198,1189,1189,9,9,-194,-118,886,7,-168
2020-09-30,1153,181,-361,-180,-57,1088,166,323,1296,-69,0,962,-1178,-216,0,-285,0,0,-914,-914,-195,-79,-1188,-177,-169
2020-06-30,1250,162,-431,-269,-25,475,189,868,1849,-101,1,439,-1365,-926,0,-1026,0,0,-363,-363,-199,-52,-614,209,-172
2020-03-31,549.00000,154.00000,912.00000,1066.00000,50.00000,-926.00000,260.00000,-588.00000,1027.00000,-65.00000,,-1916.00000,2049.00000,133.00000,,68.00000,,,-406.00000,-694.00000,-188.00000,-213.00000,-1095.00000,0.00000,-159.00000
2019-12-31,1773,165,-746,-581,246,-549,112,42,1234,-140,0,718,-150,568,0,428,0,0,-777,-1617,-205,-89,-1911,-249,-163
2019-09-30,931,159,197,356,-251,417,285,546,1833,-120,0,-1296,-677,-1973,0,-2093,-1,-1,-550,572,-197,-126,248,-12,-166
2019-06-30,851,160,10,170,-114,740,-155,327,1348,-93,0,405,-1144,-739,-47,-879,175,175,-283,-283,-196,-117,-421,48,-166
2019-03-31,1292.00000,157.00000,-486.00000,-329.00000,140.00000,-315.00000,-377.00000,-249.00000,714.00000,-80.00000,-18.00000,-552.00000,340.00000,-212.00000,47.00000,-263.00000,,,-5.00000,-5.00000,-189.00000,-205.00000,-399.00000,52.00000,-158.00000
2018-12-31,-542,135,1557,1692,-527,509,427,207,1357,-82,-548,665,1277,1942,-575,737,1,1,-1234,-1619,-196,-241,-2055,39,-159
2018-09-30,979,128,-53,75,-331,686,259,674,1728,-67,0,-153,-932,-1085,7,-1145,0,0,-186,-186,-199,-227,-612,-29,-160
2018-06-30,717,126,181,307,-124,757,234,440,1464,-66,-5,1021,-1002,19,-8,-60,-401,-401,-550,-551,-192,-221,-1365,39,-163
2018-03-31,1006.00000,122.00000,308.00000,430.00000,-70.00000,-568.00000,-361.00000,-810.00000,626.00000,-62.00000,-5.00000,-1533.00000,376.00000,-1157.00000,-27.00000,-1251.00000,498.00000,498.00000,-260.00000,298.00000,-161.00000,-177.00000,458.00000,-167.00000,-132.00000
2017-12-31,1614,250,-181,69,942,-1036,-318,-583,1100,-83,0,353,-408,-55,-2,-140,0,0,-644,-644,-163,-226,-1033,-73,-134
2017-09-30,666,120,70,190,-1239,1539,549,1010,1866,-70,0,115,-1037,-922,-135,-1127,0,0,-167,-167,-163,-201,-531,208,-134
2017-06-30,579,119,82,201,-37,327,-253,-289,491,-72,0,570,-278,292,117,337,0,0,-352,-352,-164,-272,-788,40,-135
2017-03-31,695.00000,119.00000,37.00000,156.00000,-8.00000,-65.00000,-205.00000,6.00000,857.00000,-74.00000,-1356.00000,1572.00000,-412.00000,1160.00000,-10.00000,-280.00000,,,-197.00000,-197.00000,-151.00000,-223.00000,-571.00000,6.00000,-122.00000
2016-12-31,840,97,165,262,350,-525,-63,149,1251,-123,0,-2540,786,-1754,9,-1868,1235,1235,-142,-142,-151,-278,664,47,-122
2016-09-30,520,97,149,246,-509,879,42,618,1384,-70,0,763,-1506,-743,-21,-834,0,0,-199,-199,-153,-255,-607,-57,-124
2016-06-30,271,97,160,257,-118,385,-1,116,644,-68,0,688,-520,168,-20,80,0,0,-406,-406,-154,-249,-809,-85,-125
