,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,164,380,27,407,296,103,-292,88,664,-921,0,0,9,-912,294,-153,141,304,304,-154,-7,284,36,6,-154
2022-09-30,453,374,65,439,-109,-95,-3,-195,727,-899,-5,-5,-2,-906,144,200,344,12,12,-153,-5,198,19,6,-153
2022-06-30,209,355,32,387,-70,-80,-179,-134,484,-770,-3,-3,1,-772,524,-80,444,12,12,-155,-6,295,7,8,-155
2022-03-31,253.00000,350.00000,27.00000,377.00000,-117.00000,72.00000,-20.00000,-253.00000,388.00000,-790.00000,-5.00000,-5.00000,15.00000,-780.00000,,555.00000,555.00000,5.00000,5.00000,-153.00000,-16.00000,391.00000,-1.00000,4.00000,-153.00000
2021-12-31,126,343,9,352,138,2,-181,-17,469,-891,-6,-6,15,-882,553,-8,545,11,24,-143,-3,423,10,5,-143
2021-09-30,426,330,72,402,-120,-68,-2,-81,756,-865,-12,-12,-9,-886,13,122,135,39,26,-142,-11,8,-122,6,-142
2021-06-30,208,327,29,356,-87,-59,-29,-87,471,-879,7,7,1,-871,973,-458,515,133,133,-143,-10,495,95,5,-143
2021-03-31,235.00000,300.00000,25.00000,325.00000,-5.00000,54.00000,-460.00000,-603.00000,-35.00000,-888.00000,-2.00000,-2.00000,1.00000,-889.00000,437.00000,399.00000,836.00000,125.00000,125.00000,-142.00000,-24.00000,795.00000,-129.00000,6.00000,-142.00000
2020-12-31,116,289,21,310,66,36,-248,-36,398,-1354,-7,-7,13,-1348,563,218,781,439,439,-128,-9,1083,133,5,-128
2020-09-30,369,298,50,348,48,-42,-146,-91,635,-661,-2,-2,-3,-666,0,152,152,10,10,-125,-1,36,5,5,-125
2020-06-30,244,297,41,338,-156,-42,-57,-166,404,-613,-17,-17,-1,-631,798,-495,303,14,14,-123,-7,187,-40,5,-123
2020-03-31,148.00000,291.00000,25.00000,316.00000,-5.00000,23.00000,-35.00000,-191.00000,290.00000,-671.00000,-15.00000,-15.00000,2.00000,-684.00000,380.00000,175.00000,555.00000,13.00000,13.00000,-124.00000,-23.00000,421.00000,27.00000,6.00000,-124.00000
2019-12-31,95,285,20,305,69,-6,-34,105,502,-655,12,12,6,-637,376,-104,272,14,14,-123,-7,156,21,5,-123
2019-09-30,366,279,88,367,56,-54,25,62,789,-637,-7,-7,0,-644,450,-454,-4,17,17,-119,-6,-112,33,5,-119
2019-06-30,180,263,19,282,-50,-31,45,27,492,-585,2,2,-4,-587,0,199,199,18,18,-118,0,99,4,4,-118
2019-03-31,193.00000,273.00000,32.00000,305.00000,4.00000,81.00000,-3.00000,-103.00000,387.00000,-565.00000,-3.00000,-3.00000,1.00000,-567.00000,121.00000,202.00000,323.00000,19.00000,19.00000,-118.00000,-33.00000,191.00000,11.00000,6.00000,-118.00000
2018-12-31,69,267,6,273,105,43,-103,119,484,-619,-3,-3,5,-617,180,76,256,18,18,-118,-8,148,15,5,-118
2018-09-30,359,264,125,389,41,-50,119,108,866,-591,-6,-6,7,-590,-199,15,-184,16,16,-113,1,-280,-4,5,-113
2018-06-30,240,263,50,313,-144,-22,70,0,562,-537,-3,-3,8,-532,530,-454,76,23,23,-113,-9,-23,7,4,-113
