,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-03-31,153.00000,259.00000,27.00000,286.00000,-26.00000,68.00000,-25.00000,-183.00000,258.00000,-591.00000,-4.00000,-4.00000,-2.00000,-597.00000,,475.00000,475.00000,17.00000,17.00000,-113.00000,-19.00000,360.00000,21.00000,6.00000,-113.00000
2017-12-31,-59,234,170,404,6,37,-46,129,471,-620,-4,-4,4,-620,240,38,278,0,0,-112,-6,160,11,5,-112
2017-09-30,290,248,189,437,-5,-34,43,59,784,-527,-3,-3,5,-525,300,-446,-146,0,0,-108,-1,-255,4,4,-108
2017-06-30,194,245,124,369,-98,-46,19,-30,532,-517,-3,-3,0,-520,124,-22,102,0,0,-108,-4,-10,2,4,-108
2017-03-31,104.00000,247.00000,49.00000,296.00000,44.00000,60.00000,26.00000,-65.00000,331.00000,-531.00000,-6.00000,-6.00000,-2.00000,-539.00000,,356.00000,356.00000,-24.00000,-24.00000,-109.00000,-16.00000,207.00000,-1.00000,4.00000,-109.00000
2016-12-31,33,240,15,255,63,24,61,257,558,-594,-5,-5,-8,-607,241,-50,191,-51,-51,-108,-8,24,-25,0,-108
2016-09-30,371,237,228,465,-23,-36,-22,-38,796,-513,-4,-4,1,-516,0,-170,-170,0,0,-105,0,-275,5,5,-105
2016-06-30,148,228,93,321,-166,-32,51,-51,414,-507,-4,-4,-14,-525,20,197,217,0,0,-104,-2,111,0,6,-104
2016-03-31,107.00000,240.00000,40.00000,280.00000,55.00000,55.00000,71.00000,-35.00000,349.00000,-517.00000,-5.00000,-5.00000,12.00000,-510.00000,-260.00000,280.00000,20.00000,,,-105.00000,-33.00000,-118.00000,-279.00000,6.00000,-105.00000
2015-12-31,30,227,46,273,154,9,-7,188,489,-607,-3,-3,-4,-614,942,-482,460,0,0,-105,-10,345,220,4,-105
2015-09-30,345,224,196,420,9,-48,-11,-9,761,-488,-4,-4,5,-487,0,-103,-103,0,0,-101,0,-204,70,6,-101
2015-06-30,151,222,72,294,-32,-50,25,26,469,-440,-2,-2,6,-436,135,-69,66,0,0,-101,-2,-37,-4,6,-101
2015-03-31,110.00000,223.00000,63.00000,286.00000,-48.00000,75.00000,80.00000,-73.00000,312.00000,-434.00000,-5.00000,-5.00000,,-439.00000,,241.00000,241.00000,,,-101.00000,-12.00000,128.00000,1.00000,8.00000,-101.00000
2014-12-31,49,201,75,276,15,37,-53,52,362,-521,-3,-3,19,-505,295,-39,256,0,0,-100,-21,135,-8,5,-100
2014-09-30,295,205,187,392,78,-69,-171,-137,549,-429,-4,-4,-9,-442,0,-40,-40,0,0,-99,-1,-140,-33,5,-99
2014-06-30,150,202,88,290,24,-67,-28,-18,415,-457,-3,-3,3,-457,69,93,162,0,0,-98,-2,62,20,6,-98
2014-03-31,98.00000,205.00000,87.00000,292.00000,-86.00000,102.00000,-1.00000,-150.00000,239.00000,-452.00000,-4.00000,-4.00000,143.00000,-313.00000,-163.00000,332.00000,169.00000,,,-99.00000,,70.00000,-4.00000,9.00000,-99.00000
2013-12-31,38,197,118,315,28,53,52,17,379,-447,-5,-5,-238,-690,-121,368,247,0,0,-98,-2,147,-164,8,-98
2013-09-30,304,189,246,435,4,-70,-133,-189,546,-377,-5,-5,-14,-396,0,-25,-25,0,0,-99,-7,-131,19,5,-99
2013-06-30,96,183,39,222,3,-50,19,50,389,-314,-5,-5,-15,-334,0,25,25,0,0,-98,7,-66,-11,5,-98
2013-03-31,-143.00000,192.00000,277.00000,469.00000,-95.00000,127.00000,110.00000,56.00000,379.00000,-286.00000,-3.00000,-3.00000,-14.00000,-303.00000,,,,,,-99.00000,,-99.00000,-23.00000,9.00000,-99.00000
2012-12-31,-1155,194,1233,1427,51,29,3,107,378,-336,-4,-4,-8,-348,-6,-5,-11,0,0,-99,-9,-119,-89,6,-99
2012-09-30,374,179,203,382,-5,-76,-134,-205,551,-281,-4,-4,-64,-349,128,-25,103,0,0,-99,-6,-2,200,11,-99
2012-06-30,210,182,46,228,-109,-60,-4,-59,378,-254,-4,-4,-44,-302,0,-96,-96,0,0,-98,2,-192,-116,4,-98
2012-03-31,-403.00000,181.00000,550.00000,731.00000,93.00000,79.00000,74.00000,60.00000,383.00000,-283.00000,-7.00000,-7.00000,-21.00000,-311.00000,,-22.00000,-22.00000,,,-92.00000,1.00000,-113.00000,-41.00000,8.00000,-92.00000
2011-12-31,26,53,218,271,70,5,-123,17,313,-190,-5,-5,-102,-297,-5,-102,-107,16,16,-97,-95,-283,-274,17,-97
2011-09-30,287,207,292,499,107,-89,-100,-122,666,-262,-4,-4,9,-257,0,-187,-187,17,17,-95,0,-265,144,0,-95
2011-06-30,139,210,152,362,-71,-80,-95,-162,339,-238,-8,-8,8,-238,-150,-67,-217,15,15,-94,0,-296,-195,0,-94
2011-03-31,74.00000,209.00000,-38.00000,171.00000,94.00000,135.00000,228.00000,315.00000,560.00000,-253.00000,-4.00000,-4.00000,1.00000,-256.00000,,-125.00000,-125.00000,17.00000,17.00000,-95.00000,-73.00000,-276.00000,28.00000,,-95.00000
2010-12-31,54,180,-4,176,-43,34,-3,89,327,-322,-3,-3,5,-320,-204,204,0,20,20,-93,3,-70,-63,0,-93
2010-09-30,-164,225,782,1007,-118,-69,82,-126,725,-212,-4,-4,0,-216,-106,-165,-271,17,-35,-95,-6,-407,102,0,-95
2010-06-30,155,206,105,311,-76,-40,-63,-88,391,-237,-4,-4,-2,-243,0,60,60,23,23,-95,10,-2,146,0,-95
2010-03-31,106.00000,212.00000,39.00000,251.00000,40.00000,148.00000,-16.00000,31.00000,380.00000,-312.00000,-4.00000,-4.00000,-1.00000,-317.00000,,-220.00000,-220.00000,20.00000,20.00000,-93.00000,-32.00000,-325.00000,-262.00000,,-93.00000
2009-12-31,82,173,-37,136,-38,74,-75,82,271,-438,1,1,1,-436,-132,415,283,17,17,-93,17,224,59,0,-93
2009-09-30,229,217,254,471,58,-120,226,131,825,-461,-3,-3,1,-463,-250,-280,-530,570,570,-86,-4,-50,312,0,-86
2009-06-30,168,204,40,244,-14,-76,-68,-69,355,-454,4,4,0,-450,423,-282,141,19,19,-90,-28,42,-53,0,-90
2009-03-31,145.00000,192.00000,-19.00000,173.00000,130.00000,185.00000,100.00000,199.00000,516.00000,-427.00000,-5.00000,-5.00000,,-432.00000,349.00000,-177.00000,172.00000,28.00000,28.00000,-90.00000,18.00000,128.00000,212.00000,,-90.00000
