,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,245.6,44.7,-7.4,37.3,103.1,-21.1,-22.2,5.4,19,301.9,-41.5,0,0,0,0.1,-41.4,0,0,-91.8,-91.8,-176.9,0,-268.7,-1.4,2.8,-176.9
2022-09-30,284.6,44.1,2.8,46.9,-13.6,-26.3,-14.6,-36.1,-73.6,257.9,-44.4,0,0,0,-0.1,-44.5,50,50,-93.3,-93.3,-177.5,0,-220.8,-16.4,1.4,-177.5
2022-06-30,287.1,43.9,0.5,44.4,-39.4,-74.2,1.9,-1.5,-180.3,151.2,-43.4,0,0,0,-0.5,-43.9,140,140,-47.4,-47.4,-178.5,0,-85.9,13.7,1.5,-178.5
2022-03-31,269.60000,43.90000,5.70000,49.60000,-169.90000,-76.40000,56.80000,60.80000,-89.20000,230.00000,-33.10000,,,,-0.10000,-33.20000,-25.00000,-25.00000,3.90000,3.90000,-178.40000,,-199.50000,-2.00000,1.50000,-178.40000
2021-12-31,231.2,43.6,-13,30.6,47,-123,-23.8,-24.1,-105.4,156.4,-41.2,0,0,0,-0.3,-41.5,25,25,7.2,7.2,-161.1,0,-128.9,-14.3,1.3,-161.1
2021-09-30,243.5,42.8,4.1,46.9,-44.2,-77.1,20.8,-14.5,-123,167.4,-45.5,0,0,0,-0.1,-45.6,-40,-40,10.8,10.8,-161,0,-190.2,-71.3,1.4,-161
2021-06-30,239.7,42.3,1.1,43.4,-55.9,-20.5,21,-22.5,-111.6,171.5,-31.5,0,0,0,0,-31.5,0,0,7,7,-160.8,0,-153.8,-12.1,1.4,-160.8
2021-03-31,210.60000,42.00000,1.10000,43.10000,-82.10000,31.10000,8.10000,16.40000,21.10000,274.80000,-30.00000,,,,0.10000,-29.90000,,,6.60000,6.60000,-160.80000,,-154.20000,88.20000,1.50000,-160.80000
2020-12-31,196.1,42,2.2,44.2,69.1,13.2,-3.4,-20,80.7,321,-42.6,0,0,0,-0.3,-42.9,0,0,2.7,2.7,-373.2,0,-370.5,-86.1,1.4,-373.2
2020-09-30,221.5,41.1,4.8,45.9,48.4,63.6,16.3,-9.8,21.6,289,-30,0,0,0,-0.1,-30.1,0,0,12,12,-143.4,0,-131.4,130.3,1.4,-143.4
2020-06-30,238.9,40.7,4.1,44.8,-45.8,-51.4,-18,8.7,-33,250.7,-38.2,0,0,0,1.2,-37,-50,-50,18.9,18.9,-143.2,0,-174.3,40.8,1.3,-143.2
