,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1912,439,-164,275,-21,25,-560,262,-259,1928,-693,0,0,0,-115,-808,3944,3944,-4206,-4206,-766,25,-1003,117,43,-766
2022-09-30,1778,293,602,895,917,318,312,-135,460,3133,-405,0,0,0,7,-398,0,0,-1338,-1338,-739,-3,-2080,655,61,-739
2022-06-30,309,343,558,901,-874,-287,-307,1221,121,1331,-304,0,0,0,-28,-332,17,17,-356,-356,-744,-24,-1107,-108,80,-744
2022-03-31,1733.00000,329.00000,-357.00000,-28.00000,-564.00000,-163.00000,1829.00000,-2094.00000,-295.00000,1410.00000,-268.00000,,,,17.00000,-251.00000,,,-2000.00000,-2000.00000,-767.00000,-113.00000,-2880.00000,-1721.00000,54.00000,-767.00000
2021-12-31,2049,365,23,388,304,-78,-751,2366,1831,4268,-607,0,0,0,65,-542,0,0,-2087,-2087,-762,0,-2849,877,38,-762
2021-09-30,614,329,1401,1730,344,216,-90,-899,-407,1937,-316,0,0,0,86,-230,-500,-500,-500,-500,-718,-7,-1725,-18,62,-718
2021-06-30,1815,334,-92,242,-397,137,-280,19,-789,1268,-318,0,0,0,98,-220,0,0,-500,-500,-721,-15,-1236,-188,80,-721
2021-03-31,1837.00000,336.00000,146.00000,482.00000,-236.00000,289.00000,1023.00000,-1948.00000,-571.00000,1748.00000,-281.00000,,,,112.00000,-169.00000,,,-1000.00000,-1000.00000,-739.00000,-67.00000,-1806.00000,-227.00000,47.00000,-739.00000
2020-12-31,1792,363,-1126,-763,502,-252,-619,1224,778,1807,-722,0,0,0,-271,-993,-500,-500,0,0,-728,-11,-1239,-425,39,-728
2020-09-30,1698,319,122,441,355,228,56,-483,-259,1880,-408,0,0,0,23,-385,0,0,-85,-85,-672,-8,-765,730,67,-672
2020-06-30,1626,307,201,508,57,18,-1703,1370,48,2182,-343,0,0,0,6,-337,-19,-19,-259,-259,-671,-29,-978,867,73,-671
2020-03-31,1717.00000,301.00000,42.00000,343.00000,-555.00000,80.00000,1894.00000,-1332.00000,254.00000,2314.00000,-293.00000,,,,-2.00000,-295.00000,,,-756.00000,-756.00000,-693.00000,-96.00000,-1545.00000,474.00000,42.00000,-693.00000
2019-12-31,1498,322,253,575,47,-145,-1622,1171,-583,1490,-643,0,0,0,205,-438,-900,-900,-490,-490,-675,-12,-2077,-1025,31,-675
2019-09-30,1608,302,54,356,162,125,287,181,526,2490,-308,0,0,0,13,-295,0,0,-210,-210,-621,8,-823,1372,54,-621
2019-06-30,1420,288,67,355,287,-314,-507,558,-107,1668,-249,0,0,0,-2,-251,0,-400,-219,-219,-622,0,-1241,176,67,-622
