,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-01-31,876,696,108,804,0,3618,-2013,227,1786,3466,-1201,0,0,-1201,1610,-2104,-494,1,1,-497,0,-990,1275,43,-497
2022-10-31,712,675,409,1084,0,-1797,560,-26,-1197,599,-1800,0,15,-1785,965,559,1524,-4,-4,-497,0,1023,-163,55,-497
2022-07-31,183,650,207,857,0,-237,776,-93,307,1347,-1569,0,-1,-1570,-65,600,535,111,111,-418,0,228,5,39,-418
2022-04-30,1009.00000,679.00000,250.00000,929.00000,,-1181.00000,-1560.00000,-86.00000,-3332.00000,-1394.00000,-950.00000,,2.00000,-948.00000,-48.00000,945.00000,897.00000,-2930.00000,-2930.00000,-424.00000,,-2457.00000,-4799.00000,83.00000,-424.00000
2022-01-31,1544,690,379,1069,0,1056,-656,39,415,3028,-1057,0,-7,-1064,937,0,937,-2311,-2311,-432,0,-1806,158,41,-432
2021-10-31,1488,652,150,802,0,-3699,3595,-120,-115,2175,-1137,0,19,-1118,-40,0,-40,-2192,-2192,-440,0,-2672,-1615,49,-440
2021-07-31,1817,633,69,702,0,-720,894,8,-236,2283,-795,0,-12,-807,-51,0,-51,-1537,-1537,-336,0,-1924,-448,59,-336
2021-04-30,2097.00000,667.00000,-116.00000,551.00000,,114.00000,-1205.00000,-5.00000,-1509.00000,1139.00000,-528.00000,356.00000,7.00000,-165.00000,-21.00000,,-21.00000,-1308.00000,-1308.00000,-340.00000,,-1669.00000,-695.00000,79.00000,-340.00000
2021-01-31,1380,637,-209,428,0,2059,-1362,37,1673,3481,-625,0,19,-606,-20,0,-20,1,1,-341,0,-360,2515,39,-341
2020-10-31,1014,603,645,1248,0,-3836,3492,-160,-334,1928,-578,0,-5,-583,-2269,0,-2269,-24,-24,-340,0,-2633,-1288,57,-340
2020-07-31,1690,604,128,732,0,-292,1075,-25,1410,3832,-659,0,1,-658,-109,0,-109,-17,-17,-330,0,-456,2718,55,-330
2020-04-30,284.00000,641.00000,50.00000,691.00000,,408.00000,-280.00000,11.00000,309.00000,1284.00000,-745.00000,,1.00000,-744.00000,2463.00000,,2463.00000,-682.00000,-682.00000,-332.00000,,1449.00000,1989.00000,49.00000,-332.00000
2020-01-31,834,699,6,705,0,2404,-1333,28,1419,2958,-590,0,6,-584,-283,0,-283,-148,-148,-335,0,-766,1608,31,-335
2019-10-31,714,638,133,771,0,-2274,2204,-74,-138,1347,-990,0,14,-976,-15,0,-15,-706,-706,-337,0,-1058,-687,30,-337
2019-07-31,938,623,119,742,0,-63,671,47,809,2489,-734,0,-1,-735,-1013,0,-1013,70,70,-328,0,-1271,483,40,-328
2019-04-30,795.00000,644.00000,112.00000,756.00000,,438.00000,-1402.00000,17.00000,-1228.00000,323.00000,-650.00000,,1.00000,-649.00000,981.00000,,981.00000,-708.00000,-708.00000,-330.00000,,-57.00000,-383.00000,46.00000,-330.00000
2019-01-31,798,648,90,738,0,2896,-2171,-159,813,2349,-597,0,0,-597,-13,-490,-503,-184,-184,-334,0,-1021,731,26,-334
2018-10-31,622,592,156,748,0,-3281,2956,-141,-470,900,-993,0,12,-981,-13,490,477,-415,-415,-336,0,-274,-355,35,-336
2018-07-31,799,603,168,771,0,-460,946,-25,640,2210,-1018,0,-2,-1020,-243,0,-243,-496,-496,-331,0,-1070,120,29,-331
2018-04-30,718.00000,631.00000,131.00000,762.00000,,-55.00000,-604.00000,26.00000,-966.00000,514.00000,-823.00000,,5.00000,-818.00000,-12.00000,,-12.00000,-933.00000,-933.00000,-334.00000,,-1279.00000,-1583.00000,42.00000,-334.00000
2018-01-31,1087,667,-191,476,0,1929,-1428,-68,877,2440,-480,-518,7,-991,-1099,0,-1099,-95,-95,-337,0,-1531,-82,31,-337
2017-10-31,478,643,414,1057,0,-2329,2403,-159,34,1569,-841,0,18,-823,263,0,263,-237,-237,-338,0,-312,434,38,-338
2017-07-31,671,585,56,641,0,-271,1047,49,309,1621,-708,0,-71,-779,-607,0,-607,-293,-293,-331,0,-1231,-389,27,-331
2017-04-30,678.00000,581.00000,44.00000,625.00000,,323.00000,-715.00000,22.00000,2.00000,1305.00000,-473.00000,,-9.00000,-482.00000,-10.00000,,-10.00000,-313.00000,-313.00000,-332.00000,,-655.00000,168.00000,16.00000,-332.00000
2017-01-31,814,632,-20,612,0,1748,-998,70,1137,2563,-340,0,5,-335,-24,-89,-113,-497,-497,-337,0,-947,1281,28,-337
2016-10-31,608,570,220,790,0,-1426,1439,-145,-5,1393,-491,0,22,-469,-16,89,73,-901,-901,-345,0,-1173,-249,18,-345
2016-07-31,680,570,148,718,0,-171,417,32,-157,1241,-388,0,-2,-390,-1748,0,-1748,-1329,-1329,-330,0,-3407,-2556,32,-330
2016-04-30,632.00000,546.00000,255.00000,801.00000,,142.00000,-1024.00000,99.00000,-1186.00000,247.00000,-282.00000,,3.00000,-279.00000,1116.00000,,1116.00000,-758.00000,-758.00000,-336.00000,,22.00000,-10.00000,35.00000,-336.00000
2016-01-31,1426,562,-885,-323,0,1780,-1837,126,1016,2119,-302,1867,12,1577,-13,0,-13,-1269,-1269,-345,0,-1627,2069,31,-345
2015-10-31,549,561,-117,444,0,-2114,2158,-61,-17,976,-411,0,-26,-437,-18,0,-18,-934,-934,-352,0,-1304,-765,30,-352
2015-07-31,753,550,19,569,0,-162,74,18,-70,1252,-351,8,17,-326,-40,0,-40,-580,-580,-332,0,-952,-26,28,-332
2015-04-30,635.00000,540.00000,875.00000,1415.00000,,180.00000,-757.00000,138.00000,-439.00000,1611.00000,-346.00000,,40.00000,-306.00000,-14.00000,,-14.00000,-400.00000,-400.00000,-333.00000,,-747.00000,558.00000,26.00000,-333.00000
2015-01-31,-2640,545,3760,4305,0,1674,-717,-207,750,2415,-413,-2,-95,-510,-17,-385,-402,259,259,-331,0,-474,1430,10,-331
2014-10-31,351,535,-45,490,0,-2056,1838,-87,-305,536,-441,2,5,-434,-23,196,173,33,33,-329,0,-123,-23,21,-329
2014-07-31,235,538,253,791,736,-502,-318,52,-32,994,-371,70,-143,-444,-15,-197,-212,29,29,-273,0,-456,88,20,-273
