,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-883,-195,-93,-288,69,-27,-83,-41,-1212,118,41,219,-305,-86,-48,25,-42,-42,617,617,285,-5135,-4275,-3738,-76,285
2022-09-30,294,63,4,67,6,21,-156,-129,232,-41,0,184,83,267,-7,219,0,0,-1,-1,-99,1672,1572,981,27,-99
2022-06-30,306,65,45,110,-36,-2,-3,-41,375,-42,-41,71,146,217,12,146,-79,-79,-149,-149,-97,2660,2335,2338,24,-97
2022-03-31,283.00000,67.00000,44.00000,111.00000,-39.00000,8.00000,242.00000,211.00000,605.00000,-35.00000,,-474.00000,76.00000,-398.00000,43.00000,-390.00000,121.00000,121.00000,-467.00000,-467.00000,-89.00000,803.00000,368.00000,419.00000,25.00000,-89.00000
2021-12-31,259,81,59,140,-38,-13,36,-15,384,-50,0,-87,19,-68,-3,-121,0,0,-49,-49,-90,1769,1630,1748,24,-90
2021-09-30,289,66,88,154,8,5,-224,-211,232,-32,0,-64,106,42,-17,-7,22,22,-475,-475,-91,941,397,544,23,-91
2021-06-30,341,68,-45,23,18,-21,-288,-291,73,-39,190,-42,132,90,-66,175,-435,-435,-231,-231,-88,-19,-773,-456,24,-88
2021-03-31,298.00000,63.00000,-15.00000,48.00000,6.00000,12.00000,30.00000,48.00000,394.00000,-42.00000,-2430.00000,-255.00000,28.00000,-227.00000,-1.00000,-2700.00000,435.00000,435.00000,-162.00000,-162.00000,-81.00000,-28.00000,164.00000,-2319.00000,19.00000,-81.00000
2020-12-31,225,53,78,131,-58,23,114,79,435,-60,0,78,52,130,-35,35,1881,1881,0,0,-81,518,2318,3138,23,-81
2020-09-30,264,51,5,56,18,12,-354,-324,-4,-60,0,-103,138,35,13,-12,0,0,-33,-33,-81,0,-114,-124,24,-81
2020-06-30,241,50,9,59,47,-58,152,141,441,-42,0,-57,120,63,-12,9,-272,-272,-17,-17,-80,-393,-762,-303,23,-80
2020-03-31,203.00000,48.00000,34.00000,82.00000,-174.00000,28.00000,241.00000,95.00000,380.00000,-26.00000,-157.00000,-92.00000,114.00000,22.00000,7.00000,-154.00000,730.00000,730.00000,-122.00000,-122.00000,-78.00000,-62.00000,468.00000,682.00000,17.00000,-78.00000
2019-12-31,203,47,66,113,-35,-13,71,23,339,-39,11,-369,125,-244,-11,-283,0,0,25,25,-77,-1691,-1743,-1858,22,-77
2019-09-30,150,47,13,60,13,1,-123,-109,101,-25,0,-382,429,47,10,32,0,0,-149,-149,-78,71,-156,-30,21,-78
2019-06-30,174,48,40,88,30,-71,-35,-76,186,-43,0,-39,0,-39,-7,-89,-300,-300,-39,-39,-77,145,-271,-176,20,-77
2019-03-31,247.00000,48.00000,-72.00000,-24.00000,-50.00000,34.00000,130.00000,114.00000,337.00000,-20.00000,-85.00000,37.00000,,37.00000,-6.00000,-74.00000,-235.00000,-235.00000,,,-73.00000,6.00000,-302.00000,-47.00000,16.00000,-73.00000
