,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,3959,653,-125,528,86,238,-81,-1075,3574,-705,-74,-55,344,289,0,-490,0,991,991,-2002,-2002,-2231,249,-2993,144,145,-2231
2022-09-30,3963.00000,663.00000,-26.00000,637.00000,-740.00000,-893.00000,-454.00000,-592.00000,4070.00000,-885.00000,-2.00000,55.00000,,55.00000,,-832.00000,-1877.00000,4437.00000,2560.00000,-4000.00000,-4000.00000,-2255.00000,188.00000,-3507.00000,-504.00000,105.00000,-2255.00000
2022-06-30,3058,722,-14,708,222,5,-504,-195,3713,-681,0,0,-1,-1,0,-682,433,-1284,-851,-1250,-1250,-2262,205,-4158,-1312,130,-2262
2022-03-31,3367,690,-30,660,-272,-412,-47,-815,3246,-745,-1032,0,1,1,0,-1776,1146,-2759,-1613,-1249,-1249,-2155,585,-4432,-3018,130,-2155
2021-12-31,4242,684,-15,669,368,-431,94,201,5121,-614,-349,0,3,3,0,-960,489,3011,3500,-4754,-4754,-2171,567,-2858,1174,152,-2171
2021-09-30,4126.00000,711.00000,100.00000,811.00000,-1012.00000,-409.00000,-178.00000,-338.00000,4643.00000,-1006.00000,,,,,,-1006.00000,-26.00000,882.00000,856.00000,-2750.00000,-2750.00000,-2182.00000,648.00000,-3428.00000,82.00000,116.00000,-2182.00000
2021-06-30,2908,710,50,760,262,90,-277,417,4121,-712,-34,-55,10,-45,0,-791,1890,48,1938,-3000,-3000,-2197,174,-3085,281,142,-2197
2021-03-31,3249,683,-169,514,-142,-182,-78,335,4087,-655,0,0,-10,-10,0,-665,-669,37,-632,-3001,-3001,-2011,369,-5275,-1934,144,-2011
2020-12-31,3887,671,627,1298,363,-80,16,169,5424,-549,0,0,0,0,0,-549,-1766,150,-1616,-3008,-3008,-2025,208,-6441,-1451,165,-2025
2020-09-30,4308.00000,671.00000,270.00000,941.00000,-825.00000,-137.00000,-30.00000,-550.00000,4739.00000,-829.00000,,,,,,-829.00000,-25.00000,-3568.00000,-3593.00000,-2000.00000,-2000.00000,-2030.00000,893.00000,-6730.00000,-2789.00000,89.00000,-2030.00000
