,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-07-31,407.237,112.176,23.626,135.802,-305.29,265.819,-28.929,5.602,548.641,-205.62,0,0,-205.62,-175.334,87.8,-87.534,-199.537,-199.537,-77.051,2.419,-361.703,-18.682,9.373,-77.051
2018-04-30,364.85200,109.33500,23.79200,133.12700,12.35600,5.04300,3.11800,50.66900,548.64800,-163.99900,,,-163.99900,99.16500,-237.20000,-138.03500,-150.00100,-150.00100,-77.65700,-2.42700,-368.12000,16.52900,12.40600,-77.65700
2018-01-31,712.155,105.66,-167.545,-61.885,-8.273,43.81,-34.196,8.958,659.228,-157.417,0,0,-157.417,-0.749,-119.7,-120.449,-280.977,-280.977,-69.997,10.861,-460.562,41.249,9.375,-69.997
2017-10-31,252.533,100.955,40.36,141.315,-134.705,92.027,27.765,-37.198,356.65,-173.904,0,0,-173.904,-1.343,34.4,33.057,-134.999,-134.999,-70.595,1.81,-170.727,12.019,8.109,-70.595
2017-07-31,294.783,99.03,14.378,113.408,-162.929,235.444,-32.123,-132.423,275.768,-170.319,0,0,-170.319,-0.309,47.8,47.491,-74.981,-74.981,-71.045,1.282,-97.253,8.196,7.907,-71.045
2017-04-30,279.48900,98.58600,24.07200,122.65800,-42.45600,56.63000,-12.48500,108.31500,510.46200,-143.38800,,,-143.38800,-150.71900,-22.80000,-173.51900,-88.75500,-88.75500,-71.29400,-15.44400,-349.01200,18.06200,8.93200,-71.29400
2017-01-31,414.176,97.545,19.297,116.842,233.548,-382.782,5.381,-50.391,480.627,-149.37,0,0,-149.37,-1.836,37.5,35.664,-311.058,-311.058,-68.886,0.702,-343.578,-12.321,9.291,-68.886
2016-10-31,235.315,95.444,-2.324,93.12,-213.774,225.492,3.919,2.645,331.08,-136.18,0,0,-136.18,-0.486,116,115.514,-224.908,-224.908,-70.088,-0.215,-179.697,15.203,8.188,-70.088
2016-07-31,306.518,94.618,11.374,105.992,-195.158,269.034,-17.91,-23.129,389.381,-166.741,0,0,-166.741,-0.319,66,65.681,-223.547,-223.547,-70.853,3.425,-225.294,-2.654,9.235,-70.853
2016-04-30,295.12400,92.32400,17.35400,109.67800,3.47600,-55.26700,-16.93600,-0.84900,403.95300,-98.64500,,,-98.64500,-0.49700,20.00000,19.50300,-230.96100,-230.96100,-71.30800,7.19800,-275.56800,29.74000,10.25300,-71.30800
2016-01-31,376.175,89.144,81.476,170.62,27.272,29.757,-0.069,35.779,582.574,-117.31,0,0,-117.31,-0.281,-137,-137.281,-290.202,-290.202,-63.159,0.811,-489.831,-24.567,9.657,-63.159
2015-10-31,253.321,88.553,-17.376,71.177,-70.48,-57.735,5.861,-100.367,224.131,-139.279,0,0,-139.279,47.705,215,262.705,-275.077,-275.077,-63.965,-6.526,-82.863,1.989,9.248,-63.965
2015-07-31,282.349,87.582,-6.741,80.841,-189.69,93.492,-18.8,-148.419,214.771,-147.028,0,0,-147.028,-25.259,173,147.741,-199.68,-199.68,-65.167,4.772,-112.334,-44.591,9.517,-65.167
2015-04-30,253.23500,87.15200,1.43700,88.58900,-57.10300,40.12300,-12.52300,28.38600,370.21000,-99.76600,,,-99.76600,-25.34600,,-25.34600,-534.65400,-534.65400,-66.03700,0.88600,-625.15100,-354.70700,10.12500,-66.03700
2015-01-31,355.371,86.594,40.486,127.08,5.743,-3.344,4.221,3.893,486.344,-84.75,0,0,-84.75,-26.553,0,-26.553,0,0,0,-11.373,-37.926,363.668,9.64,0
2014-10-31,236.316,86.261,15.684,101.945,-3.412,-3.872,-0.607,15.362,353.623,-96.227,0,0,-96.227,-25.242,-190,-215.242,0,0,0,1.527,-213.715,43.681,9.378,0
2014-07-31,251.26,85.34,-9.051,76.289,-184.354,166.743,-5.523,-92.085,235.464,-106.737,0,0,-106.737,-25.238,-100,-125.238,0,0,0,2.655,-122.583,6.144,9.568,0
2014-04-30,222.39800,84.15800,-18.96400,65.19400,-51.53600,-62.36100,-24.69400,-36.13200,251.46000,-83.98500,,,-83.98500,-1.43400,290.00000,288.56600,-800.09500,-800.09500,,4.81800,-506.71100,-339.23600,8.75200,0.00000
2014-01-31,322.173,85.165,-50.767,34.398,42.547,40.048,-10.516,95.919,452.49,193.05,0,0,193.05,-0.231,-106,-106.231,-200.078,-200.078,0,0.618,-305.691,339.849,4.589,0
2013-10-31,237.385,84.435,-0.973,83.462,-54.076,7.749,18.917,-44.387,276.46,-134.76,0,0,-134.76,-0.2241,54,53.7758,-199.993,-199.993,0,1.014,-145.203,-3.503,5.529,0
2013-07-31,245.475,82.744,0.289,83.033,-117.003,127.372,-1.646,8.381,336.889,-158.691,0,0,-158.691,-0.22,35,34.7801,-199.981,-199.981,0,0.697,-164.504,13.694,5.533,0
2013-04-30,220.08300,80.49300,10.69500,91.18800,-16.41100,-138.22700,-13.90200,-164.04500,147.22600,-149.57700,,,-149.57700,177.86110,-113.90000,63.96110,-20.00000,-20.00000,,-26.89300,17.06800,14.71700,5.31000,
2013-01-31,317.422,80.513,-25.71,54.803,-65.333,63.302,-7.682,68.241,440.466,-117.354,0,0,-117.354,-0.229,-251.8,-252.029,-75.017,-75.017,0,2.163,-324.883,-1.771,6.307,0
2012-10-31,207.685,76.138,10.314,86.452,-186.078,62.218,13.824,23.257,317.394,-148.92,0,0,-148.92,-0.18,133.4,133.22,-296.442,-296.442,0,3.171,-160.051,8.423,5.133,0
2012-07-31,214.14,73.989,-5.411,68.578,-146.497,150.742,-7.745,-101.865,180.853,-157.824,0,0,-157.824,22.356,-42.9,-20.544,0,0,0,-0.858,-21.402,1.627,5.465,0
2012-04-30,213.41500,72.27100,-10.49200,61.77900,6.49900,-82.22700,4.08500,-82.55500,192.63900,-145.73800,,,-145.73800,-0.20200,263.10000,262.89800,-300.00000,-300.00000,,-3.39500,-40.49700,6.40400,4.75900,
2012-01-31,292.51,70.637,-3.931,66.706,59.44,-59.894,-3.676,86.765,445.981,-151.465,0,0,-151.465,-0.243,-103.0999,-103.3429,-186.597,-186.597,0,2.97,-286.97,7.546,4.281,0
2011-10-31,171.164,68.9,8.308,77.208,-128.263,-2.354,6.131,-42.312,206.06,-144.72,0,0,-144.72,-0.347,-58.2,-58.547,0,0,0,2.737,-55.81,5.53,4.171,0
2011-07-31,146.042,68.385,85.277,153.662,-217.394,192.612,-4.818,-124.837,174.867,-126.059,0,0,-126.059,-884.21,346,-538.21,0,0,0,-0.011,-538.221,-489.413,3.279,0
2011-04-30,156.96900,67.48600,17.21900,84.70500,-5.27500,-25.92200,-32.38600,-18.10200,223.57200,-91.59100,,,-91.59100,-27.15100,,-27.15100,,,,0.18700,-26.96400,105.01700,3.51900,
2011-01-31,222.546,65.188,21.838,87.026,115.094,-23.509,16.169,111.316,420.888,-160.572,0,0,-160.572,-0.526,0,-0.526,5.35,5.35,0,-5.6,-0.776,259.54,4.336,0
2010-10-31,128.12,63.583,48.351,111.934,-147.314,32.957,-10.687,-115.564,124.49,-95.861,0,0,-95.861,-72.517,0,-72.517,-0.653,-0.653,0,1.026,-72.144,-43.515,3.254,0
2010-07-31,141.195,62.904,-0.863,62.041,-134.413,150.93,-3.304,-15.142,188.094,-71.774,0,0,-71.774,-57.674,0,-57.674,-0.515,-0.515,0,0.581,-57.608,58.712,3.387,0
2010-04-30,135.99600,63.25200,11.83500,75.08700,-85.17600,-36.95400,-13.52900,-119.87100,91.21200,-90.74000,,,-90.74000,-0.46300,,-0.46300,-4.18200,-4.18200,,4.80600,0.16100,0.63300,4.97900,
2010-01-31,87.197,62.726,32.147,94.873,162.745,-56.818,-4.212,99.626,281.696,-61.869,0,0,-61.869,-777.339,0,-777.339,443.415,443.415,0,-0.846,-334.77,-114.943,8.046,0
2009-10-31,75.649,62.977,31.897,94.874,-126.731,48.889,1.303,-23.261,147.262,-79.194,0,0,-79.194,-6.386,0,-6.386,-0.353,-0.353,-239.731,0.046,-246.424,-178.356,3.143,-239.731
2009-07-31,93.59,66.537,6.894,73.431,-97.222,103.4,-2.58,-32.049,134.972,-55.31,0,0,-55.31,0.544,0,0.544,0.323,0.323,0,0.262,1.129,80.791,3.168,0
2009-04-30,83.00600,64.53100,19.65900,84.19000,-39.04000,10.57800,-2.80900,-58.30300,108.89300,-51.67300,,,-51.67300,-0.99900,,-0.99900,0.36800,0.36800,,,-0.63100,56.58900,2.93800,
2009-01-31,108.182,247.899,135.547,383.446,-173.014,140.356,13.486,83.55,575.178,-204.28,51.644,51.644,-152.636,-44.425,-102.5,-146.925,1.219,1.219,0,0.95,-144.756,277.786,9.958,0
