,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-10-31,526.167,182.792,252.387,435.179,-356.69,-244.868,2.204,-661.1749,300.171,-419.202,0,0,-419.202,1393.018,-584.433,808.585,-546.455,-546.455,-122.961,16.33,155.499,36.468,15.469,-122.961
2022-07-31,678.03,177.159,160.431,337.59,-989.823,450.236,-54.321,-517.12,498.5,-375.774,0,0,-375.774,-1.662,335.933,334.271,-348.623,-348.623,-124.2,6.476,-132.076,-9.35,15.148,-124.2
2022-04-30,552.65700,172.56300,177.20900,349.77200,-538.92100,172.11000,-34.53200,-452.91310,449.51600,-280.84400,,,-280.84400,-3.03400,705.30000,702.26600,-746.77300,-746.77300,-125.26200,-8.11900,-177.88800,-9.21600,26.94500,-125.26200
2022-01-31,597.433,166.371,138.715,305.086,-390.017,160.491,20.698,-263.424,639.095,-290.119,0,0,-290.119,-0.69,54.3,53.61,-489.762,-489.762,-96.768,40.111,-492.809,-143.833,18.66,-96.768
2021-10-31,487.031,162.263,83.168,245.431,-80.059,183.626,0.958,176.71,909.172,-258.777,0,0,-258.777,-2.776,-18.4,-21.176,-359.759,-359.759,-97.313,2.849,-475.399,174.996,19.615,-97.313
2021-07-31,637.019,158.536,66.327,224.863,-215.77,49.824,-32.554,-247.329,614.553,-239.738,0,0,-239.738,-1.183,18.4,17.217,-699.796,-699.796,-98.275,31.65,-749.204,-374.389,16.37,-98.275
2021-04-30,677.74900,154.14600,95.36700,249.51300,135.73200,-295.20600,-44.06700,-224.27100,702.99100,-276.92300,,,-276.92300,-1.75300,,-1.75300,-1000.35200,-1000.35200,-99.83200,-12.65300,-1114.59000,-688.52200,23.53300,-99.83200
2021-01-31,642.743,149.771,43.316,193.087,-223.566,-174.21,-2.441,-343.2111,492.619,-328.899,0,0,-328.899,-2.076,0,-2.076,-899.888,-899.888,-87.296,2.674,-986.586,-822.866,17.243,-87.296
2020-10-31,574.26,145.849,16.692,162.541,-636.218,358.888,13.118,-260.5959,476.205,-272.895,0,0,-272.895,-1.527,0,-1.527,-901.93,-901.93,-88.362,28.348,-963.471,-760.161,16.889,-88.362
2020-07-31,787.601,140.962,9.826,150.788,-283.945,450.792,-17.718,232.6201,1171.009,-228.148,0,0,-228.148,-0.482,0,-0.482,-601.536,-601.536,-89.651,34.5,-657.169,285.692,15.509,-89.651
2020-04-30,650.44600,137.65500,45.32100,182.97600,567.90200,110.12600,-13.08600,902.90390,1736.32600,-194.96800,,,-194.96800,1493.76000,-425.20000,1068.56000,-63.08000,-63.08000,-90.61700,-22.62900,892.23400,2433.59200,18.96800,-90.61700
2020-01-31,535.437,132.426,51.845,184.271,-177.777,3.213,8.656,-142.82,576.888,-266.3439,0,0,-266.344,-0.94,149.1,148.16,-415.075,-415.075,-80.792,1.407,-346.3,-35.756,12.984,-80.792
2019-10-31,365.55,126.47,23.82,150.29,-79.921,102.197,-16.354,14.749,530.589,-224.5481,0,0,-224.548,0,189.9,189.9,-400.327,-400.327,-81.64,2.534,-289.533,16.508,11.1,-81.64
2019-07-31,426.555,123.423,9.163,132.586,-306.833,283.51,-3.78,-2.815,556.326,-147.289,0,0,-147.289,0,-159.4,-159.4,-184.988,-184.988,-82.38,6.188,-420.58,-11.543,10.874,-82.38
2019-04-30,385.01300,122.48500,27.46100,149.94600,-14.25200,39.70700,-9.93400,39.23600,574.19500,-144.30400,,,-144.30400,-0.52500,-121.30000,-121.82500,-199.98600,-199.98600,-82.75600,10.30000,-394.26700,35.62400,13.63100,-82.75600
2019-01-31,483.241,117.771,51.451,169.222,-133.229,64.662,1.649,-23.03,629.433,-182.522,0,0,-182.522,-0.344,-40.1,-40.444,-359.992,-359.992,-75.295,3.619,-472.112,-25.201,9.688,-75.295
2018-10-31,334.142,114.852,37.205,152.057,-95.179,39.69,11.913,-69.371,416.828,-179.462,0,0,-179.462,-1.313,126.2,124.887,-297.964,-297.964,-76.52,7.631,-241.966,-4.6,9.412,-76.52
