,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-09-30,0,0,0,0,0,0,0,1548.14,0,0,0,0,0,67.119,0,0,0,0,0,0,0.034,1650.824,0
2022-06-30,0,0,0,0,0,0,0,2969.069,0,0,0,0,0,-1241.941,0,0,0,0,0,0,0.039,1719.491,0
2022-03-31,0.00000,,,,,,,-1430.45700,,,,,,-765.39800,,,,,,,0.00700,-2194.24500,
2021-12-31,1219.074,289.402,880.079,1169.481,8.758,2119.37,2128.128,2594.835,-515.776,-2996.032,-2138.539,-5134.571,69.836,-2031.164,0,-294.303,-294.303,0,0,0.05,-3.204,556.11,749.259
2021-09-30,0,0,0,0,0,0,0,1357.051,0,0,0,0,0,-2139.146,0,0,0,0,0,0,-0.572,-779.271,0
2021-06-30,0,0,0,0,0,0,0,1133.274,0,0,0,0,0,-552.262,0,0,0,0,0,0,-101.388,449.938,0
2021-03-31,0.00000,,,,,,,-568.47700,,,,,,-857.93900,,,,,,,-189.08900,-1607.63700,
2020-12-31,-245.597,28.818,191.775,220.593,-27.322,2422.128,2394.806,2369.802,-3.937,-4058.771,-57.664,-4116.435,-29.847,-4150.219,1996.046,10.923,2006.969,4108.113,4108.113,405.968,6521.05,4712.75,159.029
2020-09-30,-854.747,71.032,371.473,442.505,76.583,2287.18,2363.763,1253.972,-2.652,-746.544,-972.563,-1719.107,-6.628,-131.806,0,269.371,269.371,0,0,1148.122,55.274,1175.445,394.694
2020-06-30,0,0,0,0,0,0,0,777.635,0,0,0,0,0,-1372.85,0,0,0,0,0,0,1191.974,591.2,0
2020-03-31,0.00000,,,,,,,-80.08600,,,,,,-223.73100,,,,,,,170.24500,-119.58200,
2019-12-31,-1000.834,91.619,365.579,457.198,-115.399,2787.935,2672.536,1398.181,-3.873,-3972.245,-30.754,-4002.999,-60.995,-1709.373,1015.987,128.85,1144.837,1177.08,1177.08,-44.527,184.292,-132.25,367.392
2019-09-30,0,0,0,0,0,0,0,351.297,0,0,0,0,0,-2259.157,0,0,0,0,0,0,928.666,-939.465,0
2019-06-30,0,0,0,0,0,0,0,609.374,0,0,0,0,0,-167.503,0,0,0,0,0,0,-26.686,479.512,0
2019-03-31,0.00000,,,,,,,-229.95200,,,,,,68.16600,,,,,,,1191.11800,995.28500,
2018-12-31,-1486.02,72.286,983.685,1055.971,-23.186,1583.033,1559.847,949.313,-3.969,-1085.939,-26.127,-1112.066,18.15,-33.547,0,0,0,0,847.148,1675.484,-4.784,901.145,995.066
2018-09-30,0,0,0,0,0,0,0,30.898,0,0,0,0,0,-899.204,0,0,0,0,0,0,1647.759,830.326,0
2018-06-30,32.048,-6.648,-1.877,-8.525,4.042,-127.831,-123.789,49.321,0.248,127.539,0,127.539,0,-37.347,0,0,0,0,-928.573,0,-48.916,13.651,-2.17
2018-03-31,-32.04800,6.64800,1.87700,8.52500,-4.04200,127.83100,123.78900,100.26600,-0.24800,-127.53900,,-127.53900,,-127.78700,,,,,928.57300,,928.57300,888.96800,2.17000
2017-12-31,-83.713,0.361,0,0.361,0,0,130.317,50.292,-1.364,0,0,38.262,-25.474,11.424,0,0,0,0,225.462,-2.45,223.012,277.127,0
