,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-220,367,-15,352,260,-297,463,579,-1356,0,431,431,-8,-933,-612,0,-612,13,13,0,2,-597,-951,0
2022-09-30,277,335,130,465,57,-470,-483,234,-1071,0,-41,-41,-8,-1120,-1918,0,-1918,13,13,0,0,-1905,-2791,0
2022-06-30,760,325,313,638,439,-298,470,1906,-987,0,-565,-565,-2,-1554,-232,0,-232,13,13,0,3,-216,136,0
2022-03-31,-278.00000,324.00000,30.00000,354.00000,-334.00000,1121.00000,964.00000,1071.00000,-510.00000,,375.00000,375.00000,-4.00000,-139.00000,-323.00000,,-323.00000,6.00000,6.00000,,3.00000,-314.00000,618.00000,
2021-12-31,68,323,-25,298,118,-316,-135,247,-180,0,0,0,-3,-183,-607,0,-607,12,12,0,31,-564,-500,0
2021-09-30,446,322,78,400,-22,-431,-1401,-575,-135,0,-273,-273,-3,-411,-189,0,-189,13,13,0,18,-158,-1144,0
2021-06-30,347,315,-47,268,-563,947,1373,2005,-95,0,-374,-374,0,-469,-42,0,-42,13,13,0,646,617,2153,0
2021-03-31,116.00000,312.00000,-2.00000,310.00000,-234.00000,504.00000,204.00000,645.00000,-95.00000,,-106.00000,-106.00000,,-201.00000,-67.00000,,-67.00000,13.00000,13.00000,,518.00000,464.00000,908.00000,
2020-12-31,-908,315,-166,149,-234,101,163,-596,-90,0,181,181,0,91,-544,0,-544,12,12,0,-9,-541,-1046,0
2020-09-30,-1157,538,-503,35,-124,189,90,-1051,-89,0,-345,-345,0,-434,1067,0,1067,12,12,0,164,1243,-242,0
2020-06-30,-915,91,-175,-84,-119,829,1911,897,16,0,-499,-499,815,332,6138,-2000,4138,2307,2307,0,737,7182,8411,0
