,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,165,-11,519,508,-360,12,828,90,869,1542,-112,0,0,-303,-303,-231,-646,21,0,21,-33,-33,0,0,-12,835,25,0
2022-09-30,129,230,220,450,-121,21,97,30,145,724,-106,0,0,-258,-258,-300,-664,383,0,383,-41,-41,0,0,342,275,25,0
2022-06-30,123,100,436,536,-67,43,119,-27,248,907,-99,-1,0,-674,-674,-563,-1337,469,0,469,-35,-35,0,0,434,-161,5,0
2022-03-31,65.00000,84.00000,346.00000,430.00000,-607.00000,38.00000,,-11.00000,-728.00000,-233.00000,-137.00000,,,-480.00000,-480.00000,-607.00000,-1224.00000,191.00000,,191.00000,-39.00000,-39.00000,,,152.00000,-1234.00000,30.00000,
2021-12-31,-46,6,216,222,-465,-28,558,207,525,701,-148,-7,-51,133,133,-637,-710,785,0,785,1474,1474,0,0,2259,2225,6,0
2021-09-30,95,113,93,206,-293,-67,179,28,-36,265,-162,-9,0,-82,-82,-378,-631,425,0,425,-298,-298,0,295,422,-8,33,0
2021-06-30,68,47,189,236,-180,-28,71,-57,-40,264,-150,-12,0,188,188,-184,-158,118,0,118,-117,-117,0,102,103,243,29,0
2021-03-31,-34.00000,38.00000,146.00000,184.00000,-151.00000,-19.00000,,-101.00000,-415.00000,-265.00000,-113.00000,-8.00000,,172.00000,172.00000,-149.00000,-98.00000,-733.00000,,-733.00000,-25.00000,-25.00000,,-101.00000,-859.00000,-1320.00000,22.00000,
2020-12-31,-50.873,17.563,158.104,175.667,-209.853,-66.678,189.013,-7.467,131.211,256.005,-87.477,0.093,-0.063,848.293,848.293,-174.716,586.13,134.188,0,134.188,-14.329,-14.329,0,-120.223,-0.364,884.295,55.31,0
2020-09-30,15.035,43.235,20.611,63.846,-586.372,-26.052,711.987,-4.838,282.429,361.31,-64.689,-0.006,0,-94.2151,-94.2151,-131.192,-290.102,45.494,0,45.494,-38.951,-38.951,-1,-82.682,-77.139,-39.229,23.417,0
2020-06-30,55.947,22.652,63.468,86.12,299.78,-8.998,21.344,-17.058,508.269,650.336,-49.659,0.006,0.624,-337.0748,-337.0748,-11.842,-397.946,270.762,0,270.762,-0.72,-0.72,-1,-104.095,164.947,397.975,36.43,0
2020-03-31,-21.10900,21.55000,11.81700,33.36700,-13.55500,-5.27200,-21.34400,-14.63700,-97.90900,-85.65100,-45.17500,-0.09300,-7.56100,-70.00310,-70.00310,-27.25000,-150.08200,155.55600,,155.55600,,,-1.00000,,154.55600,-186.04100,15.84300,
2019-12-31,-53.998,20.802,-9.022,11.78,-192.333,1.791,267.293,-10.836,120.492,78.274,-36.066,-0.022,0,-114.903,-114.903,-23.406,-174.397,88.94,0,88.94,0,0,-1,-8.005,79.935,-5.541,3.53,0
2019-09-30,-146.082,19.543,157.025,176.568,230.973,-4.748,-118.421,21.482,176.406,206.892,-29.371,-0.016,0,223.914,223.914,-52.974,141.553,26.622,0,26.622,-0.72,-0.72,-1,0,24.902,328.643,16.319,0
