,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,103,31.1,-37.4,-6.3,-35.6,-49.8,-2.8,222.3,134.1,230.8,-94.9,0,0,0,0,0,0.1,-94.8,-0.6,0,-0.6,5.1,5.1,-14.1,0.1,-9.5,165.3,6.7,-14.1
2022-09-30,120.6,29.8,66.4,96.2,0,0,0,-47.9,-47.9,168.9,-57.8,0,0,0,0,0,-1.3,-59.1,-42.6,0,-42.6,-19.1,-19.1,-13.5,0,-75.2,10.5,6,-13.5
2022-06-30,188.5,30.1,2,32.1,0,0,0,-47.5,-47.5,173.1,-66.1,0,0,0,0,0,0.1,-66,-0.5,0,-0.5,-22.4,-22.4,-13.1,-0.2,-36.2,50.8,5.5,-13.1
2022-03-31,173.80000,29.60000,-2.00000,27.60000,,,,-50.20000,-50.20000,151.20000,-65.80000,,,,,,-2.50000,-68.30000,-0.60000,,-0.60000,-157.60000,-157.60000,-13.40000,-1.10000,-172.70000,-94.90000,5.50000,-13.40000
2021-12-31,147.7,34.4,-33.5,0.9,-123.5,-86.5,16.8,205.4,12.2,160.8,-76.5,0,-2.2,0,0,0,1.3,-77.4,-1.1,0,-1.1,8.2,8.2,-13.3,0,-6.2,74.6,10,-13.3
2021-09-30,175.6,30,22,52,0,0,0,-37.5,-37.5,190.1,-65.3,0,0,0,0,0,0,-65.3,0,0,0,6.8,6.8,-12.6,0,-5.8,111.8,11.3,-12.6
2021-06-30,187.3,28.8,1.9,30.7,0,0,0,-73.6,-73.6,144.4,-56.9,0,0,0,0,0,1,-55.9,-0.5,0,-0.5,13.4,13.4,-12.6,0,0.3,92.5,10.3,-12.6
2021-03-31,151.20000,29.10000,3.30000,32.40000,,,,-94.90000,-94.90000,88.70000,-54.70000,,,,,,0.20000,-54.50000,-0.60000,,-0.60000,-143.20000,-143.20000,-12.60000,,-156.40000,-131.80000,5.90000,-12.60000
2020-12-31,98.4,28.5,-2.8,25.7,-46.6,-73.7,36.6,108.3,24.6,148.7,-57.7,3.8,0,0,0,0,-3.7,-57.6,-0.6,0,-0.6,4.5,4.5,-12.6,0,-8.7,96.1,6.4,-12.6
2020-09-30,82.3,28.4,15.5,43.9,0,0,0,-7.6,-7.6,118.6,-47.5,0,0,0,0,0,-1.6,-49.1,-0.6,0,-0.6,5.3,5.3,-11.9,0,-7.2,73.5,9.9,-11.9
2020-06-30,91.2,26.2,12.4,38.6,0,0,0,18.3,18.3,148.1,-37.1,-3.8,0,0,0,0,0,-40.9,-0.5,0,-0.5,11.4,11.4,-11.8,0,-0.9,110.6,12.3,-11.8
2020-03-31,74.30000,26.00000,2.40000,28.40000,,,,-45.60000,-45.60000,57.10000,-32.10000,,,,,,0.20000,-31.90000,-0.60000,,-0.60000,-107.90000,-107.90000,-11.80000,,-120.30000,-103.80000,5.40000,-11.80000
2019-12-31,63.9,26.3,14.3,40.6,-33.3,-18.6,25.3,28.5,1.9,106.4,-37.6,0,0,0,-85.1,-85.1,2.1,-120.6,34.1,0,34.1,1,1,-11.8,27.7,51,43.1,5.6,-11.8
2019-09-30,56.3,25.3,8.7,34,0,0,0,17.8,17.8,108.1,-31.7,0,0,0,0,0,0.1,-31.6,0,0,0,10.7,10.7,-11.1,0,-0.4,69.3,5.4,-11.1
2019-06-30,66.1,26.3,8,34.3,0,0,0,4.7,4.7,105.1,-28.3,0,-18.9,0,0,0,0.1,-47.1,28,0,28,14.3,14.3,-11.1,-28.1,3.1,61.2,7.2,-11.1
2019-03-31,55.40000,25.50000,5.50000,31.00000,,,,-38.80000,-38.80000,47.60000,-28.80000,,,,,,0.10000,-28.70000,,,,-78.60000,-78.60000,-11.10000,-0.80000,-90.50000,-71.90000,6.20000,-11.10000
2018-12-31,52,26.3,-9.4,16.9,-43.8,-7,0.4,54.7,4.3,73.2,-30,0,0,0,0,0,1.4,-28.6,-0.1,0,-0.1,3,3,-11.1,0,-8.2,40.1,0.4,-11.1
2018-09-30,55.2,26.2,5.7,31.9,0,0,0,1.3,1.3,88.4,-26.5,0,0,0,0,0,0,-26.5,0,0,0,20.4,20.4,-10.3,0,10.1,71.8,5.3,-10.3
2018-06-30,56.1,25.5,6,31.5,0,0,0,-5.6,-5.6,82,-20.2,0,0,0,0,0,3.2,-17,0,0,0,-15.4,-15.4,-10.3,0,-25.7,25.7,6,-10.3
2018-03-31,43.60000,26.40000,3.30000,29.70000,,,,-28.30000,-28.30000,45.00000,-28.00000,,,,,,-0.70000,-28.70000,,,,-46.50000,-46.50000,-10.40000,,-56.90000,-36.10000,3.40000,-10.40000
2017-12-31,0,24.9,32.6,57.5,-39.7,-3.6,12.6,54.7,24,81.5,-29.5,0,0,0,0,0,0.1,-29.4,-33.1,0,-33.1,-42.8,-42.8,-10.4,-0.2,-86.5,-33.4,2.5,-10.4
2017-09-30,51,25,4.6,29.6,0,0,0,-4.8,-4.8,75.8,-34.3,0,0,0,0,0,0.3,-34,-0.6,0,-0.6,7.5,7.5,-9.6,-0.3,-3,42.7,4.6,-9.6
2017-06-30,38.8,23.5,16.6,40.1,0,0,0,6.4,6.4,85.3,-29.5,0,-6,0,0,0,0,-35.5,-0.6,0,-0.6,12.6,12.6,-9.6,-0.1,2.3,57.2,5.5,-9.6
2017-03-31,60.90000,23.30000,3.50000,26.80000,,,,-67.00000,-67.00000,20.70000,-37.50000,,,,,,2.80000,-34.70000,-0.60000,,-0.60000,-11.60000,-11.60000,-9.50000,-0.10000,-21.80000,-33.60000,3.50000,-9.50000
2016-12-31,39.1,22.8,13.8,36.6,-23.3,-21.2,6.1,34.5,-3.9,71.8,-47.5,0,0,0,0,0,0.8,-46.7,-0.6,0,-0.6,-20.3,-20.3,-9.6,4.1,-26.4,-2.9,5.4,-9.6
2016-09-30,37.6,22.9,2.2,25.1,0,0,0,5.7,5.7,68.4,-48.7,0,0,0,0,0,0.8,-47.9,-0.6,0,-0.6,-6.4,-6.4,-8.7,0.7,-15,3.2,4.6,-8.7
2016-06-30,44.8,22.7,9.2,31.9,0,0,0,-0.5,-0.5,76.2,-35,0,0,0,-8.4,-8.4,0.8,-42.6,-0.6,0,-0.6,-0.1,-0.1,-8.8,2.1,-7.4,24.6,4.9,-8.8
2016-03-31,22.10000,22.30000,18.60000,40.90000,,,,-60.00000,-60.00000,3.00000,-39.00000,,,,,,0.40000,-38.60000,-68.00000,,-68.00000,0.60000,0.60000,-8.70000,11.00000,-65.10000,-96.50000,4.60000,-8.70000
2015-12-31,33.4,23.3,-33,-9.7,-14.1,-11.4,17.2,52.6,44.3,68,-44.8,0,0,0,-1.5,-1.5,2.4,-43.9,70.7,0,70.7,3.9,3.9,-8.7,-67.5,-1.6,17.8,5.2,-8.7
2015-09-30,1.5,22.4,51.5,73.9,0,0,0,-6.6,-6.6,68.8,-29.7,0,0,0,0,0,0.2,-29.5,-69.1,0,-69.1,2.3,2.3,-7.9,44.3,-30.4,4.8,3.6,-7.9
2015-06-30,27.8,22.2,14.9,37.1,0,0,0,12.6,12.6,77.5,-26.7,0,0,0,0,0,1.2,-25.5,36.7,0,36.7,2.5,2.5,-7.9,-42,-10.7,44.9,15.5,-7.9
2015-03-31,32.90000,22.00000,4.30000,26.30000,,,,-61.10000,-61.10000,-1.90000,-30.40000,,,,,,-0.20000,-30.60000,5.70000,,5.70000,1.60000,1.60000,-7.90000,1.80000,1.20000,-48.20000,5.30000,-7.90000
2014-12-31,31.4,22,-13,9,-6.3,-16.2,-3.5,31.6,5.6,46,-27.1,-0.2,0,0,-0.5,-0.5,1.5,-26.3,-243,0,-243,4.4,4.4,-7.9,244.7,-1.8,8.5,6.1,-7.9
2014-09-30,31,23.1,2.4,25.5,0,0,0,7.4,7.4,63.9,-28.6,0,0,8.5,0,8.5,-0.6,-20.7,38.9,0,38.9,6,6,-7.1,-47.8,-10,20.1,3.6,-7.1
