,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-02-28,739,851,108,959,563,-37,-554,1144,-1114,0,0,0,-1114,1141,1113,-81,-81,-341,4,695,749,33,-341
2018-11-30,935,828,331,1159,-963,-10,-616,1478,-1480,0,0,0,-1480,450,399,-626,-626,0,-3,-230,-246,40,0
2018-08-31,835.00000,808.00000,173.00000,981.00000,-380.00000,-151.00000,-1115.00000,701.00000,-1101.00000,,,,-1101.00000,-2.00000,297.00000,-600.00000,-600.00000,-173.00000,4.00000,-472.00000,-896.00000,68.00000,-173.00000
2018-05-31,1127,1182,689,1871,-63,-2345,514,3512,-1648,-12,0,0,-1660,-8,-805,-416,-416,-133,4,-1350,476,32,-133
2018-02-28,2074,786,-1148,-362,-3,172,-2048,-336,-1364,0,0,0,-1364,1478,2025,-209,-209,-134,3,1685,21,32,-134
2017-11-30,775,756,327,1083,-712,-214,-950,908,-1571,-44,0,0,-1615,-16,234,-129,-129,-134,9,-20,-735,41,-134
2017-08-31,596.00000,751.00000,219.00000,970.00000,-271.00000,-165.00000,-976.00000,590.00000,-1038.00000,,,,-1038.00000,-12.00000,-12.00000,64.00000,64.00000,-134.00000,-6.00000,-88.00000,-466.00000,62.00000,-134.00000
2017-05-31,1020,754,463,1217,-216,-1481,48,2285,-1314,0,0,0,-1314,-33,-33,-79,-79,-107,16,-203,796,31,-107
2017-02-28,562,762,223,985,173,-1,-1537,10,-1086,0,0,0,-1086,1184,1184,77,77,-106,7,1162,114,30,-106
2016-11-30,700,740,185,925,-533,-248,39,1664,-1375,0,0,0,-1375,-31,-31,12,12,-107,8,-118,70,36,-107
2016-08-31,715.00000,739.00000,269.00000,1008.00000,20.00000,-19.00000,-752.00000,971.00000,-1206.00000,,,,-1206.00000,-12.00000,-12.00000,-182.00000,-182.00000,-106.00000,-13.00000,-313.00000,-545.00000,57.00000,-106.00000
2016-05-31,-70,667,1301,1968,-121,-478,14,1912,-1249,-4618,0,0,-5867,5268,5268,-485,-485,-67,-44,4672,693,29,-67
2016-02-29,507,663,398,1061,185,-199,-226,1342,-1029,0,0,0,-1029,-11,-11,-1015,-1015,-69,1,-1094,-806,29,-69
2015-11-30,691,653,-6,647,-313,-29,-125,1213,-1351,0,0,0,-1351,1236,1236,-895,-895,-70,-14,257,104,33,-70
2015-08-31,692.00000,648.00000,101.00000,749.00000,50.00000,-99.00000,-200.00000,1241.00000,-1199.00000,,,,-1199.00000,-15.00000,-15.00000,-144.00000,-144.00000,-71.00000,6.00000,-224.00000,-220.00000,53.00000,-71.00000
2015-05-31,-894,657,1704,2361,-192,-640,426,1893,-1370,0,0,0,-1370,-4,-4,-190,-190,-56,16,-234,285,27,-56
2015-02-28,628,652,318,970,117,5,-276,1322,-1070,-1429,0,0,-2499,2491,2491,14,14,-57,-15,2433,1212,27,-57
2014-11-30,663,651,59,710,-231,-29,-204,1169,-1167,0,0,0,-1167,-1,-1,-64,-64,-57,13,-109,-150,31,-57
2014-08-31,653.00000,651.00000,61.00000,712.00000,-86.00000,-40.00000,-383.00000,982.00000,-716.00000,,,,-716.00000,,,-694.00000,-694.00000,-57.00000,10.00000,-741.00000,-492.00000,48.00000,-57.00000
2014-05-31,957,649,20,669,-274,-324,60,1686,-984,-36,0,0,-1020,0,0,-778,-778,-45,16,-807,-134,23,-45
2014-02-28,378,652,244,896,143,-31,-305,969,-860,0,0,0,-860,1746,1746,-2683,-2683,-47,-11,-995,-893,23,-47
2013-11-30,500,647,166,813,-395,-105,-633,680,-1109,0,0,0,-1109,-3,-3,-692,-692,-47,6,-736,-1161,26,-47
