,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,620.066,469.084,403.829,872.9129,-214.64,0,-215.362,1277.617,-975.534,-92.052,-250.031,-250.031,30.027,-1287.59,461.684,461.684,0,0,-731.964,-101.243,-371.523,-357.799,35.334,-731.964
2022-09-30,1069.174,369.151,-499.023,-129.8721,43.474,0,264.034,1203.336,-1212.787,0,-79.487,-79.487,39.822,-1252.452,906.603,906.603,0,0,-587.645,-60.61,258.348,198.767,61.67,-587.645
2022-06-30,646.436,369.316,-196.957,172.359,-7.843,0,-14.845,803.95,-2210.1119,0,-78.037,-78.037,45.705,-2242.444,645.458,645.458,0,0,-587.732,-71.246,-13.52,-1475.235,36.923,-587.732
2022-03-31,1219.72200,361.25300,-743.34400,-382.09100,107.70200,,3.89600,841.52700,300.97690,,-34.81100,-34.81100,17.26300,283.42900,1015.90300,1015.90300,,,-587.38200,-186.03700,242.48400,1356.63300,41.42900,-587.38200
2021-12-31,1300.853,359.653,-810.173,-450.5199,-104.853,0,-134.267,716.066,-754.8911,0,-343.185,-343.185,4.587,-1093.489,807.6811,807.6811,0,0,-468.501,11.288,350.468,-28.954,28.612,-468.501
2021-09-30,797.731,357.137,-364.605,-7.4681,-229.041,0,23.81,814.073,-294.639,0,-88.274,-88.274,2.345,-380.568,290.7559,290.7559,0,0,-468.179,-266.393,-443.816,-16.375,25.895,-468.179
2021-06-30,650.313,358.561,-268.866,89.695,-63.015,0,-90.799,649.209,-187.0409,0,-224.88,-224.88,3.014,-408.907,279.8551,279.8551,0.034,0.034,-468.181,-134.372,-322.664,-74.628,23.946,-468.181
2021-03-31,399.69300,363.00800,4.39000,367.39800,68.39800,,49.60300,816.69400,-0.45100,,-141.76400,-141.76400,35.12100,-107.09400,-17.44010,-17.44010,0.70900,0.70900,-468.00000,-107.58200,-592.31300,77.98800,34.57500,-468.00000
2020-12-31,308.007,381.666,-35.458,346.208,-94.43,0,-50.545,603.67,-497.522,-4.886,-40.626,-40.626,48.526,-494.508,26.317,26.317,0.348,0.348,-430.663,-62.202,-466.2,-342.107,23.471,-430.663
2020-09-30,332.521,367.115,323.442,690.557,-112.284,0,-45.092,977.986,-334.32,-0.922,-58.464,-58.464,65.047,-328.659,380.4296,380.4296,0.018,-7.182,-430.589,-202.984,-260.325,391.064,26.554,-430.589
2020-06-30,454.938,371.312,-229.937,141.375,-26.553,0,79.943,676.256,-205.201,-1.773,-35.173,-35.173,0.157,-241.99,-176.3667,-176.3667,1.001,1.001,-430.971,-89.711,-696.048,-258.742,27.998,-430.971
2020-03-31,521.16400,323.40700,-147.65800,175.74900,105.64800,,-17.82000,679.09300,-211.25100,-1687.21400,-251.67300,-251.67300,140.96500,-2009.17300,800.87210,800.87210,-33.97900,-33.97900,-430.76600,714.28400,1050.41100,-280.98400,31.80800,-430.76600
2019-12-31,426.242,272.335,-33.263,239.0719,-82.316,0,-48.94,616.374,-411.1193,0,-19.442,-19.442,27.457,-403.104,217.19,217.19,0.183,0.183,-336.698,-36.897,-156.222,63.861,25.09,-336.698
2019-09-30,491.013,261.245,-220.146,41.099,-14.109,0,112.027,644.139,-305.6707,0,-70.548,-70.548,12.2,-364.019,737.6749,737.6749,1.527,1.527,-336.599,-52.08,350.523,623.804,20.523,-336.599
2019-06-30,410.826,264.62,-178.44,86.18,1.73,0,11.601,508.607,26.5079,0,-110.62,-110.62,6.246,-77.866,145.7382,145.7382,21.02,21.02,-323.132,-128.892,-285.266,150.16,20.186,-323.132
2019-03-31,373.76500,260.25900,-71.47600,188.78300,-13.47000,,-67.63400,494.91400,-101.57800,,-75.55900,-75.55900,336.77600,159.63900,-297.90800,-297.90800,-16.64800,-16.64800,-349.23100,-84.84700,-748.63400,-92.82600,31.75800,-349.23100
2018-12-31,690.49,269.312,-447.414,-178.102,4.32,0,17.253,529.641,-182.1172,0.398,-43.353,-43.353,205.381,-19.691,-124.6709,-124.6709,1.738,1.738,-303.791,-16.286,-443.01,68.294,18.064,-303.791
2018-09-30,375.52,236.261,-176.053,60.208,-41.519,0,64.966,500.694,-419.253,-46.268,-33.755,-33.755,41.945,-457.331,20.8271,20.8271,0.831,0.831,-304.331,-6.174,-288.847,-252.268,18.947,-304.331
2018-06-30,364.991,195.321,-58.349,136.972,-33.051,0,-77.98,423.983,-330.9459,0,-31.119,-31.119,23.429,-338.636,318.583,318.583,3.089,3.089,-257.558,-68.389,-4.275,69.731,19.086,-257.558
2018-03-31,391.95900,192.03500,-187.68400,4.35100,-2.70500,,-47.06900,349.24100,62.48800,,-52.13100,-52.13100,141.50500,151.86200,-155.70600,-155.70600,1.23300,1.23300,-257.68700,-83.80900,-495.96900,11.05300,19.99600,-257.68700
2017-12-31,338.873,210.0501,-170.631,39.419,-38.892,0,-51.359,326.933,141.2779,0,-5.434,-5.434,65.547,201.391,-407.9348,-407.9348,2.174,-11.008,-235.624,5.27,-649.297,-121.68,18.549,-235.624
