,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,278,13145,5224,18369,-8788,3180,9852,505,10526,29173,-15440,-831,5450,5450,-10821,5276,-5190,86,0,0,0,86,19075,5606
2022-09-30,2872,10204,3919,14123,-4794,732,-1226,54,-5254,11404,-15041,-885,318,318,-15608,-1406,4422,3016,0,0,0,3016,-2522,5556
2022-06-30,-2028,9594,9143,18737,-6799,-3890,3699,321,-8081,8965,-14098,-259,2279,2279,-12078,10705,-2745,7960,-3334,-3334,0,4626,1101,5209
2022-03-31,-3844.00000,8978.00000,10153.00000,19131.00000,-1516.00000,-2614.00000,-9380.00000,1336.00000,-18077.00000,-2790.00000,-13742.00000,-6341.00000,20989.00000,20989.00000,906.00000,-2856.00000,7512.00000,4656.00000,-2666.00000,-2666.00000,,1990.00000,122.00000,3250.00000
2021-12-31,14323,9939,-11947,-2008,-6556,-1915,7989,920,9771,22086,-16470,-381,4271,4271,-12580,-3108,8,-3100,0,0,0,-3100,6300,3680
2021-09-30,3156,8948,4501,13449,-4890,-7059,3832,338,-9244,7313,-14751,-654,577,577,-14828,-3046,270,-2776,0,0,0,-2776,-10490,3180
2021-06-30,7778,8038,3004,11042,-4462,-209,47,156,-6153,12715,-12988,-320,-8772,-8772,-22080,15643,0,15643,0,0,0,15643,6512,3591
2021-03-31,8107.00000,7508.00000,2583.00000,10091.00000,-2255.00000,-304.00000,-8266.00000,900.00000,-13985.00000,4213.00000,-11187.00000,-630.00000,3151.00000,3151.00000,-8666.00000,-3401.00000,-75.00000,-3476.00000,,,,-3476.00000,-8222.00000,2306.00000
2020-12-31,7222,7547,-817,6730,-4561,329,13249,333,16479,30431,-13194,-380,-3463,-3463,-17037,-1960,144,-1816,0,0,0,-1816,12175,2562
2020-09-30,6331,6523,1948,8471,-2016,-3898,3658,78,-2490,11964,-9808,-1735,-4333,-4333,-15876,-4067,-38,-4105,0,0,0,-4105,-7640,2288
2020-06-30,5243,5748,2297,8045,-2854,-672,8617,247,7036,20605,-6614,-119,-11071,-11071,-17804,6881,527,7408,0,0,0,7408,10337,2601
2020-03-31,2535.00000,5362.00000,2644.00000,8006.00000,1262.00000,1392.00000,-8044.00000,607.00000,-7544.00000,3064.00000,-5428.00000,-91.00000,-3375.00000,-3375.00000,-8894.00000,-2577.00000,-14.00000,-2591.00000,,,,-2591.00000,-8905.00000,1757.00000
2019-12-31,3268,6170,1693,7863,-3905,-1516,10683,486,8642,19659,-3940,-777,1181,1181,-3536,-3437,-134,-3571,0,0,0,-3571,12856,1840
2019-09-30,2134,5563,2259,7822,-1182,-381,226,-53,-2111,7892,-3385,-399,-1289,-1289,-5073,-2034,74,-1960,0,0,0,-1960,589,1779
2019-06-30,2625,5202,2069,7271,-2193,-2100,3668,390,-859,9117,-2643,-116,-4790,-4790,-7549,-2102,-56,-2158,0,0,0,-2158,-542,1971
2019-03-31,3561.00000,4854.00000,1554.00000,6408.00000,-401.00000,719.00000,-6384.00000,888.00000,-8110.00000,1846.00000,-2721.00000,-1169.00000,-4233.00000,-4233.00000,-8123.00000,-2377.00000,,-2377.00000,,,,-2377.00000,-8666.00000,1274.00000
2018-12-31,3027,4262,1787,6049,-1395,-1350,6881,528,7329,16477,-3120,-331,-121,-121,-3572,-1834,73,-1761,0,0,0,-1761,11141,1417
2018-09-30,2883,3778,1712,5490,-2884,-1094,3895,0,154,8588,-2527,-976,-2069,-2069,-5572,-2369,0,-2369,0,0,0,-2369,496,1350
2018-06-30,2534,3630,1440,5070,-1365,-1090,2703,-283,-240,7449,-2949,-866,1123,1123,-2692,-1392,0,-1392,0,0,0,-1392,2920,1469
2018-03-31,1629.00000,3671.00000,1139.00000,4810.00000,1029.00000,2220.00000,-10216.00000,906.00000,-8286.00000,-1791.00000,-2727.00000,-13.00000,2207.00000,2207.00000,-533.00000,-2164.00000,,-2164.00000,,,,-2164.00000,-4240.00000,1182.00000
2017-12-31,1857,3498,867,4365,-2764,-2255,8903,135,6080,12358,-3036,-81,1136,1136,-1981,-2571,0,-2571,0,0,0,-2571,7896,1179
2017-09-30,255,2912,881,3793,-1759,-1593,2974,184,-315,3777,-2660,-13213,-2606,-2606,-18479,14662,0,14662,0,0,0,14662,109,1084
2017-06-30,197,2633,1416,4049,-1222,-682,2088,-388,-457,3849,-2501,-633,-2140,-2140,-5274,-1275,0,-1275,0,0,0,-1275,-2450,1160
2017-03-31,724.00000,2435.00000,730.00000,3165.00000,965.00000,947.00000,-6865.00000,807.00000,-5550.00000,-1619.00000,-1861.00000,-45.00000,556.00000,556.00000,-1350.00000,-888.00000,,-888.00000,,,,-888.00000,-3633.00000,792.00000
2016-12-31,749,2297,626,2923,-1993,-1043,7282,714,7215,10919,-2006,-3,-1805,-1805,-3814,-568,0,-568,0,0,0,-568,5993,887
2016-09-30,252,2083,672,2755,-671,-1095,2541,405,1621,4659,-1841,-83,-646,-646,-2570,-1000,0,-1000,0,0,0,-1000,1135,776
2016-06-30,857,1909,906,2815,-1184,-57,977,132,-148,3578,-1711,-14,-714,-714,-2439,-1152,0,-1152,0,0,0,-1152,51,768
2016-03-31,513.00000,1827.00000,505.00000,2332.00000,412.00000,769.00000,-5770.00000,704.00000,-4841.00000,-1953.00000,-1179.00000,-16.00000,502.00000,502.00000,-693.00000,-996.00000,,-996.00000,,,,-996.00000,-3420.00000,544.00000
2015-12-31,482,1752,1087,2839,-1178,-1343,6140,118,5575,8931,-1309,-317,-224,-224,-1850,-1597,0,-1597,0,0,-212,-1809,5181,606
2015-09-30,79,1599,445,2044,-588,-1537,2030,406,454,2610,-1196,-104,-77,-77,-1377,-824,0,-824,0,0,95,-729,440,544
2015-06-30,92,1504,443,1947,-430,-28,373,128,-85,1997,-1213,-9,-154,-154,-1376,-787,0,-787,0,0,95,-692,32,562
2015-03-31,-57.00000,1426.00000,475.00000,1901.00000,441.00000,721.00000,-4249.00000,640.00000,-3387.00000,-1499.00000,-871.00000,-365.00000,-611.00000,-611.00000,-1847.00000,-674.00000,,-674.00000,,,22.00000,-652.00000,-4320.00000,407.00000
2014-12-31,214,1380,789,2169,-1105,-1139,5053,39,4296,6715,-1145,-53,-1267,-1267,-2465,5324,0,5324,0,0,-115,5209,9299,408
2014-09-30,-437,1247,147,1394,-362,-845,1724,258,779,1767,-1378,-860,1292,1292,-946,-413,0,-413,0,0,0,-413,201,378
2014-06-30,-126,1109,333,1442,-299,92,-343,84,-481,862,-1290,-66,626,626,-730,-189,0,-189,0,0,0,-189,-17,390
2014-03-31,108.00000,1010.00000,-35.00000,975.00000,727.00000,699.00000,-4675.00000,360.00000,-3620.00000,-2502.00000,-1080.00000,,156.00000,156.00000,-924.00000,-296.00000,,-296.00000,,,121.00000,-175.00000,-3584.00000,321.00000
2013-12-31,240,962,190,1152,-1239,-1330,5128,-2,4146,5578,-879,-60,95,95,-844,-21,0,-21,0,0,78,57,4786,326
2013-09-30,-41,834,299,1133,-125,-585,947,122,286,1389,-1039,-1,-23,-23,-1063,-230,0,-230,0,0,0,-230,168,282
2013-06-30,-7,757,361,1118,-211,-30,0,55,-263,880,-856,-148,-415,-415,-1419,-209,0,-209,0,0,0,-209,-777,297
2013-03-31,82.00000,700.00000,217.00000,917.00000,729.00000,535.00000,-4187.00000,224.00000,-3402.00000,-2372.00000,-670.00000,-103.00000,-177.00000,-177.00000,-950.00000,-157.00000,,-157.00000,,,,-157.00000,-3603.00000,229.00000
2012-12-31,98,662,-52,610,-1025,-974,4926,-1,4337,5081,-2026,-34,-1022,-1022,-3082,2927,0,2927,0,0,239,3166,5104,236
2012-09-30,-274,555,268,823,-416,-647,1222,99,355,943,-716,-38,385,385,-369,-34,0,-34,0,0,65,31,645,216
2012-06-30,7,485,72,557,-166,-125,180,49,-3,594,-657,-623,686,686,-594,-18,0,-18,0,0,85,67,47,221
2012-03-31,130.00000,457.00000,95.00000,552.00000,746.00000,747.00000,-4258.00000,128.00000,-3166.00000,-2438.00000,-386.00000,-50.00000,886.00000,886.00000,450.00000,-85.00000,,-85.00000,-960.00000,-960.00000,40.00000,-1005.00000,-2981.00000,160.00000
2011-12-31,177,359,210,569,-1077,-1260,4684,58,3481,4269,-550,-49,-870,-870,-1469,-57,0,-57,-277,-277,1,-333,2446,160
2011-09-30,63,278,132,410,-75,-586,848,-11,286,797,-530,-48,678,678,100,-82,0,-82,0,0,0,-82,776,143
2011-06-30,190,244,111,355,-73,-274,114,6,-163,423,-433,-469,-49,-49,-951,-106,0,-106,0,0,15,-91,-594,144
2011-03-31,201.00000,202.00000,118.00000,320.00000,359.00000,343.00000,-2649.00000,-10.00000,-2140.00000,-1586.00000,-298.00000,-139.00000,827.00000,827.00000,390.00000,-22.00000,,-22.00000,,,46.00000,24.00000,-1136.00000,110.00000
2010-12-31,416,169,128,297,-643,-693,3451,-78,2746,3488,-328,-270,-617,-617,-1215,-66,0,-66,0,0,23,-43,2238,120
