,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2326.00000,260.00000,-1879.00000,-1619.00000,78.00000,-193.00000,-58.00000,14.00000,-289.00000,418.00000,-59.00000,,15.00000,15.00000,2930.00000,2886.00000,-9.00000,-539.00000,-548.00000,-2000.00000,-2000.00000,-306.00000,-41.00000,-2895.00000,467.00000,102.00000,-306.00000
2022-09-30,708,317,1,318,-96,44,42,21,191,1217,-196,-64,0,0,-99,-359,-10,-1112,-1122,-82,-82,-305,0,-1509,-725,37,-305
2022-06-30,952,270,-364,-94,-50,-85,62,-62,-118,740,-110,-5000,0,0,-24,-5134,-8,439,431,-133,-133,-305,65,58,-4400,16,-305
2022-03-31,675,274,-44,230,-240,-251,33,-31,-463,442,-152,2,0,0,24,-126,-3,2246,2243,-32,-32,-306,-7,1898,2203,57,-306
2021-12-31,895.00000,178.00000,-425.00000,-247.00000,172.00000,-177.00000,-15.00000,7.00000,-125.00000,523.00000,-73.00000,-39.00000,438.00000,438.00000,-41.00000,285.00000,2474.00000,-335.00000,2139.00000,-253.00000,-253.00000,-307.00000,22.00000,1601.00000,2372.00000,34.00000,-307.00000
2021-09-30,674,249,-25,224,-241,34,154,-30,-43,855,-231,34,0,0,-15,-212,-3,-606,-609,-232,-232,-301,11,-1131,-506,33,-301
2021-06-30,633,237,55,292,1,-99,161,-53,180,1105,-128,0,0,0,-8,-136,-4,42,38,-190,-190,-303,6,-449,518,66,-303
2021-03-31,568,239,5,244,-157,-24,92,-34,-5,807,-100,0,0,0,48,-52,0,-280,-280,-65,-65,-303,41,-607,145,61,-303
2020-12-31,452.00000,244.00000,41.00000,285.00000,232.00000,-37.00000,-37.00000,18.00000,71.00000,808.00000,-122.00000,-1611.00000,,,13.00000,-1720.00000,-301.00000,340.00000,39.00000,-13.00000,-13.00000,-303.00000,42.00000,-235.00000,-1118.00000,64.00000,-303.00000
2020-09-30,730,223,42,265,-249,212,243,-7,234,1229,-209,-12,0,0,-11,-232,744,-565,179,0,0,-299,-26,-146,865,41,-299
2020-06-30,407,209,52,261,173,-2,-149,8,174,842,-104,-18,0,0,-23,-145,1488,-2034,-546,0,0,-299,-11,-856,-133,51,-299
