,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-8647,-1840,137,-1703,1435,703,-746,456,1872,-8478,1264,-32,1,1,837,2070,2407,0,2407,2769,2769,1279,-186,6269,153,0,1279
2022-09-30,2912,632,146,778,2728,353,-3494,-249,-1645,2045,218,0,0,0,-828,-610,-1273,0,-1273,-877,-877,-476,-1,-2627,-1423,0,-476
2022-06-30,4768,602,-99,503,-1510,-116,1496,-51,574,5845,-1098,32,-1,-1,448,-619,-344,0,-344,-1748,-1748,-402,80,-2414,2754,0,-402
2022-03-31,967.00000,606.00000,-184.00000,422.00000,-2653.00000,-940.00000,2744.00000,-156.00000,-801.00000,588.00000,-384.00000,,,,-457.00000,-841.00000,-790.00000,,-790.00000,-144.00000,-144.00000,-401.00000,107.00000,-1228.00000,-1484.00000,,-401.00000
2021-12-31,1110,598,217,815,2643,232,-3624,2131,529,2454,-1295,0,-1,-1,549,-747,-660,0,-660,-12,-12,-401,-34,-1107,624,0,-401
2021-09-30,508,641,-14,627,426,-185,-355,66,314,1449,-37,0,1,1,-540,-576,-497,0,-497,0,0,-400,24,-873,-74,0,-400
2021-06-30,292,588,41,629,-123,-222,987,-59,1087,2008,-781,270,3,3,252,-256,-26,0,-26,-1,-1,-403,3,-427,1318,0,-403
2021-03-31,-622.00000,578.00000,-239.00000,339.00000,-2946.00000,175.00000,2992.00000,23.00000,231.00000,-52.00000,-339.00000,,-12.00000,-12.00000,-229.00000,-580.00000,-24.00000,,-24.00000,-14.00000,-14.00000,-400.00000,-1.00000,-439.00000,-1059.00000,,-400.00000
2020-12-31,-309,577,-19,558,-3229,-1577,4893,-455,-153,96,-1129,0,-15,-15,571,-573,18,0,18,-9,-9,-608,206,-393,-734,0,-608
2020-09-30,-379,614,-359,255,-948,441,553,57,289,165,30,0,-10,-10,-533,-513,2530,0,2530,0,0,-399,-96,2035,1728,0,-399
2020-06-30,1335,578,-1863,-1285,1209,509,-1224,121,686,736,-873,0,-10,-10,301,-582,1173,0,1173,0,0,-400,-143,630,804,0,-400
2020-03-31,-1754.00000,582.00000,2380.00000,2962.00000,2968.00000,627.00000,-4222.00000,-158.00000,-1257.00000,-49.00000,-439.00000,,-19.00000,-19.00000,-299.00000,-757.00000,354.00000,,354.00000,-147.00000,-147.00000,-401.00000,-1.00000,-195.00000,-1068.00000,,-401.00000
2019-12-31,1330,571,237,808,-800,-511,620,59,-430,1708,-585,65,-42,-42,-249,-811,80,0,80,-222,-222,-369,-12,-523,446,0,-369
2019-09-30,639,567,31,598,1423,-152,-641,-584,192,1429,35,-36,-32,-32,-602,-635,67,0,67,-307,-307,-372,-37,-649,104,0,-372
2019-06-30,648,566,10,576,-769,250,155,400,293,1517,-981,-29,-27,-27,229,-808,-841,0,-841,-212,-212,-376,-18,-1447,-744,0,-376
