,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,673,70,-118,-48,-267,-184,441,-139,0,0,0,0,-21,-160,-226,868,642,-1331,-1331,-126,-9,-824,-543,48,-126
2022-09-30,630,72,-61,11,210,233,874,-73,0,0,0,0,27,-46,981,-300,681,-935,-935,-97,24,-327,501,48,-97
2022-06-30,678,68,13,81,-222,-109,650,-70,0,0,0,0,2,-68,-175,-500,-675,-300,-300,-98,-9,-1082,-500,52,-98
2022-03-31,377.00000,72.00000,82.00000,154.00000,-194.00000,-133.00000,398.00000,-49.00000,,,,,26.00000,-23.00000,-401.00000,-250.00000,-651.00000,,,,-78.00000,-729.00000,-354.00000,44.00000,
2021-12-31,468,73,-110,-37,-10,1,432,-65,0,0,0,0,-41,-106,4,300,304,0,0,0,-6,298,624,44,0
2021-09-30,220,85,134,219,195,180,619,-43,0,0,0,0,34,-9,-704,350,-354,0,0,0,-138,-492,118,42,0
2021-06-30,422,68,0,68,-164,-391,99,-40,0,0,0,0,-3,-43,-18,0,-18,0,0,0,-1,-19,37,43,0
2021-03-31,-11.00000,69.00000,74.00000,143.00000,-55.00000,-105.00000,27.00000,-23.00000,,,,,-6.00000,-29.00000,337.00000,-500.00000,-163.00000,2.00000,2.00000,,-89.00000,-250.00000,-252.00000,53.00000,
2020-12-31,-164,109,355,464,-95,-284,16,-38,0,0,0,0,-38,-76,-604,-30,-634,0,0,0,-2,-636,-696,58,0
2020-09-30,100,101,59,160,-1,-142,118,-18,0,0,0,0,-12,-30,636,-1433,-797,0,0,0,-1,-798,-710,52,0
2020-06-30,-234,93,264,357,945,868,991,-20,0,0,0,0,-4,-24,1708,-2144,-436,0,0,0,-13,-449,518,50,0
2020-03-31,31.00000,175.00000,116.00000,291.00000,263.00000,192.00000,514.00000,201.00000,,,,,-36.00000,165.00000,-66.00000,1317.00000,1251.00000,-150.00000,-150.00000,-156.00000,-95.00000,850.00000,1529.00000,41.00000,-156.00000
2019-12-31,279,196,-95,101,217,115,495,-27,0,0,0,0,-14,-41,331,-226,105,-432,-432,-157,-17,-501,-47,49,-157
2019-09-30,387,68,-76,-8,69,73,452,-91,0,0,0,0,22,-69,7,354,361,-599,-599,-157,-8,-403,-20,48,-157
2019-06-30,232,71,337,408,136,41,587,-76,0,0,0,0,-10,-86,-14,158,144,-430,-430,-159,-36,-481,20,50,-159
