,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,146.67000,77.75200,64.02400,141.77600,127.14400,-51.66900,59.25900,7.69100,302.29700,-32.17900,,-16.94300,,0.38400,0.38400,,-48.73800,-7.42100,,-7.42100,-125.72400,-125.72400,-90.47100,-22.53000,-246.14600,59.21900,20.23100,-90.47100
2022-09-30,241.048,76.246,69.361,145.607,-153.34,32.98,-33.483,-108.269,277.54,-47.456,0,0,0,0.269,0.269,0,-47.187,-80.176,0,-80.176,-21.17,-21.17,-136.051,95.803,-141.594,39.786,11.678,-136.051
2022-06-30,212.28,76.852,44.545,121.397,-80.726,35.974,23.83,-568.808,-249.087,-23.608,0,-24.335,0,15.536,15.536,0,-32.407,412.038,0,412.038,-187.909,-187.909,48.805,-46.25,226.684,-121.937,16.544,48.805
2022-03-31,109.115,74.814,54.966,129.78,-197.416,106.918,11.315,-107.902,124.611,-27.884,0,-182.935,0,1.562,1.562,0,-209.257,156.759,-1.033,155.726,-39.675,-39.675,-25.098,-0.172,90.781,-9.379,18.147,-25.098
2021-12-31,152.96900,73.14400,74.52100,147.66500,163.53500,-88.47000,38.49700,22.29900,321.64500,-19.27500,,-229.81300,,-0.48000,-0.48000,,-249.56800,236.71300,-5.32600,231.38700,17.86200,17.86200,-76.66000,-28.22600,144.36300,219.16200,7.01400,-76.66000
2021-09-30,69.354,73.008,181.945,254.953,10.162,-14.766,-51.146,-128.322,202.703,-27.138,0,0,0,368.471,368.471,0,341.333,-203.414,0,-203.414,-241.637,-241.637,-36.088,-0.071,-481.21,47.844,14.702,-36.088
2021-06-30,174.592,75.96,-21.559,54.401,158.45,2.014,41.696,-55.81,173.341,-20.576,0,0,0,38.994,38.994,0,18.418,-358.503,0,-358.503,11.13,11.13,-38.004,-0.204,-385.581,-188.123,14.542,-38.004
2021-03-31,-80.191,55.688,74.484,130.172,40.292,-88.765,10.233,192.534,237.614,-27.86,0,-1531.69,0,12.264,12.264,0,-1547.286,1687.359,0,1687.359,8.896,8.896,-46.162,-3.004,1647.089,329.842,15.136,-46.162
2020-12-31,267.07400,46.14400,-96.59200,-50.44800,33.25000,-63.98500,58.19900,-104.11200,112.61800,-16.76600,,-173.01200,,-3.43000,-3.43000,,-193.20800,102.67300,-7.67500,94.99800,-15.26000,-15.26000,-35.71800,-25.33500,18.68500,-25.41200,11.84100,-35.71800
2020-09-30,92.35,47.565,175.735,223.2999,27.831,22.242,-21.992,114.289,432.373,-29.448,0,-7.046,0,0.08,0.08,0,-36.414,-491.2441,0,-491.244,-42.987,-42.987,-46.441,-0.139,-580.811,-162.386,11.942,-46.441
2020-06-30,254.051,45.411,-163.378,-117.967,78.07,37.585,134.855,225.214,359.508,-27.426,0,0,12.358,-12.358,0,0,-27.426,-954.8631,0,-954.8631,9.873,9.873,-33.991,-2.913,-981.894,-631.069,12.373,-33.991
2020-03-31,-85.801,44.66,336.753,381.413,-117.61,-117.285,-63.775,-116.147,152.154,-39.039,0,-291.595,-12.358,12,-0.358,0,-330.992,1700.757,-200.002,1500.755,-273.103,-273.103,-37.912,-2.215,1187.525,1036.667,9.556,-37.912
2019-12-31,263.26700,43.99700,-48.52400,-4.52700,-96.07500,-35.38000,-30.08000,-397.62500,-137.18600,-22.26000,,,,-12.00000,-12.00000,,-34.26000,210.54400,0.07200,210.61600,6.20100,6.20100,-25.61800,-24.33400,166.86500,-11.85600,14.27900,-25.61800
2019-09-30,149.792,43.26,60.209,103.469,-85.04,227.368,-120.105,-417.309,-146.123,-29.43,0,4.691,3.904,-8.761,-4.857,0,-29.596,179.71,-22.664,157.046,-310.243,-310.243,-24.139,-0.628,-177.964,-367.174,21.796,-24.139
2019-06-30,531.064,44.234,-941.746,-897.512,211.996,74.532,7.027,190.139,-165.081,-45.13,0,2221.624,-3.904,68.612,64.708,0,2241.202,-2094.2139,198.255,-1895.9589,-15.985,-15.985,-25.867,-5.87,-1943.681,147.604,18.425,-25.867
2019-03-31,62.772,42.169,57.419,99.588,104.211,-25.645,-159.867,30.884,169.469,-33.724,0,0,0,-2.938,-2.938,0,-36.662,172.4129,-3.899,168.514,-328.273,-328.273,-27.787,-5.546,-193.092,-36.069,13.322,-27.787
2018-12-31,129.59100,39.60600,-95.72700,-56.12100,-299.06100,18.89100,158.83900,-291.27900,-224.70100,-20.51600,,,,-0.96600,-0.96600,-1.11300,-22.59500,527.31400,-0.25700,527.05690,-134.21700,-134.21700,-28.60300,-18.51200,345.72500,93.34900,15.59400,-28.60300
2018-09-30,-31.423,51.377,290.838,342.2151,-112.544,44.344,-59.449,-104.508,212.202,-28.611,0,4.543,-5.416,-7.614,-13.03,0,-37.098,-189.052,-3.841,-192.893,19.997,19.997,-21.337,-3.133,-197.366,-27.834,17.421,-21.337
2018-06-30,150.072,52.023,-6.164,45.859,-144.474,120.741,9.077,14.052,214.746,-18.563,0,-3.729,0,15.31,15.31,0,-6.982,-160.976,1.162,-159.814,6.921,6.921,-20.999,-10.835,-184.727,-172.711,14.632,-20.999
2018-03-31,51.932,55.66,26.04,81.7,-187.661,56.847,-38.799,-80.098,7.318,-22.071,0,-115.605,0,-7.089,-7.089,0,-144.765,-80.945,0,-80.945,9.231,9.231,-26.09,-3.36,-101.164,-224.424,22.57,-26.09
2017-12-31,2.56100,39.52700,18.60700,58.13400,15.74900,-38.87500,70.03700,-63.22900,46.88600,-22.34600,,-1365.80900,,-0.60700,-0.60700,,-1388.76200,1643.14600,,1643.14600,14.45400,14.45400,-18.14300,-13.78000,1625.67700,285.68800,24.61900,-18.14300
2017-09-30,93.428,34.904,45.987,80.891,31.278,122.279,-124.61,7.49,194.294,-43.395,0,-125.408,0,31.701,31.701,0,-137.102,-48.3,-0.001,-48.301,9.355,9.355,-18.082,0.135,-56.893,-150.475,6.636,-18.082
2017-06-30,88.629,29.917,-4.267,25.65,-15.49,79.104,-17.177,61.331,179.538,-26.567,0,0,0,0,0,0,-26.567,-61.661,-0.023,-61.684,-9.627,-9.627,-22.607,1.309,-92.609,83.7,10.97,-22.607
2017-03-31,44.165,29.157,-21.43,7.727,79.28,-36.64,-28.942,37.884,90.622,-24.661,0,-24.782,0,0,0,0,-49.443,-54.145,0,-54.145,-41.438,-41.438,-18.104,5.281,-108.406,-61.95,10.953,-18.104
2016-12-31,61.15300,28.53500,5.78800,34.32300,-19.62700,-10.78200,114.99800,14.95100,110.42700,-21.05000,,-2.03600,,,,,-23.08600,11.33200,0.66900,12.00100,7.17500,7.17500,,-3.84800,15.32800,80.83000,10.20500,
2016-09-30,29.883,31.025,32.986,64.011,105.484,47.875,10.502,140.889,234.425,-17.541,-10.027,-19.268,-3.403,3.406,0.003,0,-46.833,-93.046,-6.438,-99.484,-33.469,-33.469,-3.146,0.2,-135.899,39.325,6.584,-3.146
2016-06-30,70.937,32.269,-9.47,22.799,157.165,-7.624,-40.086,91.145,181.448,-10.609,0,-39.214,0,0,0,0,-49.823,-45.4001,6.284,-39.1161,-19.385,-19.385,0,0.148,-58.353,56.669,8.679,0
2016-03-31,63.389,32.784,-21.698,11.086,43.836,59.506,47.956,159.976,237.583,-13.205,0,0,0,-3.406,-3.406,0,-16.611,-95.6689,-0.402,-96.0709,-23.229,-23.229,0,0.024,-119.276,115.997,8.973,0
2015-12-31,50.30600,33.89300,5.36100,39.25400,90.78300,-143.97100,32.88100,-64.21900,26.71700,-15.85400,,-10.50000,,,,,-26.35400,42.97900,-10.44600,32.53300,-33.32700,-33.32700,-2.70900,0.00500,-3.49800,-17.13400,8.13400,-2.70900
2015-09-30,37.269,35.484,-0.811,34.673,23.318,65.61,-55.233,23.171,97.819,-24.276,0,-8.101,0,0,0,0,-32.377,-61.9889,-23.497,-85.4859,-41.206,-41.206,0,0.505,-126.187,-92.702,8.487,0
2015-06-30,97.308,37.118,6.156,43.274,109.137,37.214,34.864,140.619,282.572,-9.62,0,0,0,0,0,0,-9.62,-75.9091,-5.989,-81.8981,-110.836,-110.836,0,0.453,-192.281,88.611,9.12,0
2015-03-31,88.11,37.703,19.843,57.546,-25.035,-51.247,-31.263,-181.302,-34.79,-23.738,0,0,0,0,0,0,-23.738,36.642,0.278,36.92,-131.373,-131.373,0,0,-94.453,-205.131,7.301,0
2014-12-31,106.19500,38.98700,-1.78100,37.20600,65.53800,-80.52000,29.17800,-4.45900,138.97100,-30.40100,,,,0.01300,0.01300,,-30.38800,-37.21400,9.45100,-27.76300,-105.67900,-105.67900,-7.23000,0.27900,-140.39300,-62.56600,16.50400,-7.23000
2014-09-30,91.054,39.382,16.347,55.729,-63.917,195.994,30.771,82.072,236.503,-18.294,0,-157.99,0,0.46,0.46,0,-175.824,-3.04,-3.099,-6.139,-67.87,-67.87,-0.038,-1.204,-75.251,-39.966,10.854,-0.038
2014-06-30,71.308,39.325,2.18,41.505,-0.59,100.343,-3.856,178.549,289.478,-25.6,0,-28.815,0,-0.099,-0.099,0,-54.514,-143.416,-24.051,-167.467,12.056,12.056,-3.207,0.412,-158.206,81.357,9.864,-3.207
2014-03-31,90.801,38.419,-22.297,16.122,-18.812,-83.513,-80.957,-235.119,-130.745,-27.59,0,-64.604,0,0.036,0.036,0,-92.158,-110.016,9.112,-100.904,12.532,12.532,-0.85,-0.485,-89.707,-319.98,7.419,-0.85
2013-12-31,98.94900,28.28600,13.54900,41.83500,191.26300,-104.58300,62.07500,179.17100,326.48000,-37.87700,,-1132.93300,,-25.47600,-25.47600,,-1196.28600,620.72700,-0.17700,620.55000,9.58700,9.58700,-1.98600,-0.06700,628.08400,-245.16900,15.26300,-1.98600
2013-09-30,116.481,26.719,1.45,28.169,-202.313,110.063,26.831,-130.787,11.318,-35.035,0,-17.116,0,-0.008,-0.008,1.013,-51.146,-30.442,10.984,-19.458,10.852,10.852,0,0.079,-8.527,-39.112,11.025,0
