,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,29998.00000,2916.00000,2588.00000,5504.00000,4275.00000,-1807.00000,-6075.00000,2110.00000,-1497.00000,34005.00000,-3787.00000,,,2483.00000,,2483.00000,-141.00000,-1445.00000,-1401.00000,-8214.00000,-9615.00000,-19475.00000,-19475.00000,-3768.00000,-2705.00000,-35563.00000,-3003.00000,2905.00000,-3768.00000
2022-09-30,20721,2865,589,3454,-6384,435,15556,-9655,-48,24127,-3289,0,-137,2806,0,2806,-597,-1217,2672,-1015,1657,-24428,-24428,-3703,-320,-26794,-3884,2278,-3703
2022-06-30,19442,2805,3870,6675,-981,-16,-4358,2130,-3225,22892,-2102,0,-2,6953,0,6953,-615,4234,-3000,3971,971,-21865,-21865,-3811,-2740,-27445,-319,2243,-3811
2022-03-31,25010,2737,2471,5208,9476,384,-21563,9651,-2052,28166,-2514,0,-167,-6390,0,-6390,-194,-9265,-3750,1999,-1751,-22631,-22631,-3595,-374,-28351,-9450,2252,-3595
2021-12-31,34630.00000,2697.00000,3114.00000,5811.00000,-3934.00000,681.00000,19813.00000,-10035.00000,6525.00000,46966.00000,-2803.00000,,,-12929.00000,,-12929.00000,-374.00000,-16106.00000,,-1000.00000,-1000.00000,-20478.00000,-20478.00000,-3732.00000,-2949.00000,-28159.00000,2701.00000,2265.00000,-3732.00000
2021-09-30,20551,2989,-1550,1439,-8809,-1429,14112,-5664,-1790,20200,-3223,0,-20,4352,0,4352,-274,835,5220,-2000,3220,-19748,-19748,-3640,-214,-20382,653,1945,-3640
2021-06-30,21744,2832,1215,4047,1031,13,211,-5952,-4697,21094,-2093,0,-4,5747,0,5747,-78,3572,-3000,3000,0,-22900,-22900,-3767,-2729,-29396,-4730,1960,-3767
2021-03-31,23630,2797,1333,4130,8598,-276,-23667,11566,-3779,23981,-2269,0,-9,-7895,0,-7895,-195,-10368,10423,0,10423,-18548,-18548,-3447,246,-11326,2287,1981,-3447
2020-12-31,28755.00000,2666.00000,1987.00000,4653.00000,-10945.00000,-950.00000,21670.00000,-4420.00000,5355.00000,38763.00000,-3500.00000,,,-5279.00000,,-5279.00000,195.00000,-8584.00000,-1000.00000,22.00000,-978.00000,-24775.00000,-24775.00000,-3613.00000,-2883.00000,-32249.00000,-2070.00000,2020.00000,-3613.00000
2020-09-30,12673,2702,1324,4026,1768,-137,6725,-4479,3877,20576,-1784,0,-51,7434,0,7434,-68,5531,291,-994,-703,-17617,-17617,-3511,474,-21357,4750,1724,-3511
2020-06-30,11253,2752,2696,5448,-2135,-689,2733,-339,-430,16271,-1565,0,-339,-2992,0,-2992,-269,-5165,3655,-1487,2168,-15891,-15891,-3656,-1737,-19116,-8010,1698,-3656
2020-03-31,11249,2786,1278,4064,5269,727,-12431,4433,-2002,13311,-1853,0,-176,11407,0,11407,-365,9013,-1694,2497,803,-18146,-18146,-3375,-222,-20940,1384,1697,-3375
2019-12-31,22236.00000,2816.00000,1219.00000,4035.00000,2015.00000,-28.00000,-1089.00000,3347.00000,4245.00000,30516.00000,-2107.00000,,-958.00000,-10396.00000,,-10396.00000,-207.00000,-13668.00000,1210.00000,-979.00000,231.00000,-20704.00000,-20704.00000,-3539.00000,-1395.00000,-25407.00000,-8559.00000,1710.00000,-3539.00000
2019-09-30,13686,3179,885,4064,-8768,-785,17881,-6168,2160,19910,-2777,0,-13,3063,-261,2802,-810,-798,3658,-3951,-293,-17054,-17054,-3479,-213,-21039,-1927,1499,-3479
2019-06-30,10044,2933,1457,4390,919,1502,220,-5439,-2798,11636,-2000,0,-320,28736,1384,30120,-298,27502,-3000,-1990,-4990,-16954,-16954,-3629,-1231,-26804,12334,1496,-3629
2019-03-31,11561,3040,1176,4216,2964,70,-11523,3867,-4622,11155,-2363,0,-124,15812,-63,15749,86,13348,-2500,-42,-2542,-23312,-23312,-3443,-160,-29457,-4954,1514,-3443
2018-12-31,19965.00000,3395.00000,1558.00000,4953.00000,5130.00000,-1076.00000,-8501.00000,6219.00000,1772.00000,26690.00000,-3355.00000,,-167.00000,9849.00000,-427.00000,9422.00000,-56.00000,5844.00000,,6.00000,6.00000,-8796.00000,-8796.00000,-3568.00000,-1318.00000,-13676.00000,18858.00000,1559.00000,-3568.00000
2018-09-30,14125,2754,1830,4584,-9078,1942,19585,-11635,814,19523,-3041,0,-290,592,-40,552,-222,-3001,0,-27,-27,-18763,-18763,-3530,-260,-22580,-6058,1345,-3530
2018-06-30,11519,2665,2218,4883,233,1693,1594,-5434,-1914,14488,-3267,0,-126,9394,-1315,8079,-739,3947,-6000,-10,-6010,-20782,-20782,-3653,-1078,-31523,-13088,1351,-3653
2018-03-31,13822,2739,710,3449,9093,-3241,-24606,16613,-2141,15130,-4195,0,-132,32800,-22,32778,259,28710,-500,-2,-502,-22429,-22429,-3190,-151,-26272,17568,1348,-3190
2017-12-31,20065.00000,2745.00000,-32452.00000,-29707.00000,-5570.00000,434.00000,12602.00000,30469.00000,37935.00000,28293.00000,-2810.00000,,-173.00000,-10423.00000,-141.00000,-10564.00000,-43.00000,-13590.00000,6969.00000,2.00000,6971.00000,-10095.00000,-10095.00000,-3339.00000,-1038.00000,-7501.00000,7202.00000,1296.00000,-3339.00000
2017-09-30,10714,2484,2352,4836,-5474,-1709,14178,-6796,199,15749,-3865,0,-81,-5460,-308,-5768,-228,-9942,6937,-14,6923,-7514,-7514,-3270,-228,-4089,1718,1174,-3270
2017-06-30,8717,2354,3202,5556,-802,-236,1650,-6213,-5601,8672,-2277,0,-181,-749,-87,-836,114,-3180,7250,1987,9237,-7092,-7092,-3365,-858,-2078,3414,1193,-3365
2017-03-31,11029,2332,2652,4984,2486,-198,-9322,3591,-3443,12570,-2975,86,-50,-11357,0,-11357,94,-14202,10975,-506,10469,-6888,-6888,-3004,-159,418,-1214,1217,-3004
2016-12-31,17891.00000,2987.00000,2434.00000,5421.00000,1697.00000,-580.00000,2460.00000,345.00000,3922.00000,27234.00000,-3334.00000,-86.00000,-17.00000,-15581.00000,,-15581.00000,-104.00000,-19122.00000,,2385.00000,2385.00000,-10851.00000,-10851.00000,-3130.00000,-629.00000,-12225.00000,-4113.00000,1256.00000,-3130.00000
2016-09-30,9014,2548,844,3392,-4096,-301,11684,-3160,4127,16533,-3977,456,146,-3407,-12,-3419,-603,-7397,6970,-4389,2581,-7348,-7348,-3092,970,-6889,2247,1030,-3092
2016-06-30,7796,2526,3264,5790,85,450,-179,-3308,-2952,10634,-2809,-96,-6,-184,-1250,-1434,-125,-4470,-100,4495,4395,-10166,-10166,-3187,-483,-9441,-3277,1054,-3187
2016-03-31,10516,2477,2746,5223,642,170,-8536,3586,-4138,11601,-2336,-263,-54,-10983,0,-10983,-24,-13660,15584,737,16321,-6421,-6421,-2902,-114,6884,4825,1048,-2902
2015-12-31,18361.00000,2954.00000,2780.00000,5734.00000,3896.00000,-102.00000,-852.00000,426.00000,3368.00000,27463.00000,-3612.00000,-394.00000,-86.00000,-16060.00000,-126.00000,-16186.00000,-172.00000,-20450.00000,,-1240.00000,-1240.00000,-6862.00000,-6862.00000,-2969.00000,-373.00000,-11444.00000,-4431.00000,1078.00000,-2969.00000
2015-09-30,11124,3119,-138,2981,-6673,-307,8264,-1914,-630,13475,-3618,-40,-113,2556,0,2556,-160,-1375,5802,3999,9801,-13034,-13034,-2964,-102,-6299,5801,915,-2964
2015-06-30,10677,3084,1797,4881,535,354,2165,-3624,-570,14988,-2043,-46,-115,-9245,0,-9245,46,-11403,9980,700,10680,-9985,-9985,-3053,-397,-2755,830,856,-3053
2015-03-31,13569,2479,609,3088,5804,-113,-14431,11164,2424,19081,-2369,-107,-92,-19786,0,-19786,23,-22331,7847,-99,7748,-6741,-6741,-2743,-3,-1739,-4989,927,-2743
2014-12-31,18024.00000,2575.00000,3085.00000,5660.00000,751.00000,-172.00000,9003.00000,456.00000,10038.00000,33722.00000,-3217.00000,-48.00000,-23.00000,-17942.00000,,-17942.00000,65.00000,-21165.00000,3485.00000,-2409.00000,1076.00000,-4950.00000,-4950.00000,-2801.00000,-248.00000,-6923.00000,5634.00000,888.00000,-2801.00000
2014-09-30,8467,1969,-45,1924,-6546,-246,8469,1182,2859,13250,-3826,-26,-2867,9707,-10,9697,19,2997,0,4296,4296,-16705,-16705,-2829,-142,-15380,867,762,-2829
2014-06-30,7748,1946,1819,3765,-1087,235,-156,-250,-1258,10255,-2378,-53,-339,-19474,0,-19474,30,-22214,11960,2010,13970,-4906,-4906,-2867,-210,5987,-5972,724,-2867
2014-03-31,10223,1887,1502,3389,4499,293,-10566,5700,-74,13538,-1382,-104,-34,13289,0,13289,-28,11741,0,0,0,-17764,-17764,-2661,18,-20407,4872,696,-2661
2013-12-31,13072.00000,2144.00000,1934.00000,4078.00000,-1098.00000,-358.00000,8191.00000,-1215.00000,5520.00000,22670.00000,-1985.00000,-59.00000,-525.00000,-12539.00000,,-12539.00000,5.00000,-15103.00000,,,,-4895.00000,-4895.00000,-2769.00000,-85.00000,-7749.00000,-182.00000,681.00000,-2769.00000
2013-09-30,7512,1783,-828,955,-4263,-67,7080,-1309,1441,9908,-1955,-351,-53,2942,0,2942,28,611,0,0,0,-4715,-4715,-2769,-24,-7508,3011,555,-2769
