,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-03-31,467.00000,2497.00000,379.00000,2876.00000,99.00000,-67.00000,-123.00000,3220.00000,-1461.00000,-389.00000,-1850.00000,750.00000,750.00000,-2629.00000,-2629.00000,-39.00000,-65.00000,-1983.00000,-613.00000,90.00000,-39.00000
2019-12-31,822,2461,216,2677,-142,29,-141,3358,-2282,428,-1854,4105,4105,-2585,-2585,-38,-34,1448,2952,77,-38
2019-09-30,467,2415,172,2587,-227,-49,-111,2943,-1651,-80,-1731,1680,1680,-3081,-3081,-38,-22,-1461,-249,71,-38
2019-06-30,386,2500,284,2784,-492,124,-409,2761,-1597,-69,-1666,-721,-721,-985,-985,-39,-130,-1875,-780,82,-39
2019-03-31,317.00000,2550.00000,163.00000,2713.00000,155.00000,-300.00000,-344.00000,2686.00000,-1665.00000,-415.00000,-2080.00000,1312.00000,1312.00000,-989.00000,-989.00000,-39.00000,-29.00000,255.00000,861.00000,85.00000,-39.00000
2018-12-31,360,2534,239,2773,3,-173,35,3168,-2433,127,-2306,463,463,-1355,-1355,-39,174,-757,105,72,-39
2018-09-30,584,2482,-128,2354,-117,-6,-134,2804,-2118,-205,-2323,460,460,-1065,-1065,-38,49,-594,-113,71,-38
2018-06-30,339,2592,104,2696,-210,40,61,3096,-2391,22,-2369,1384,1384,-1858,-1858,-37,-19,-530,197,70,-37
2018-03-31,223.00000,2710.00000,-29.00000,2681.00000,226.00000,-131.00000,-205.00000,2699.00000,-2183.00000,-555.00000,-2738.00000,744.00000,744.00000,-708.00000,-708.00000,-39.00000,-3.00000,-6.00000,-45.00000,72.00000,-39.00000
2017-12-31,9617,2742,-9335,-6593,17,39,234,3258,-2585,370,-2215,2188,2188,-4705,-4705,-38,-31,-2586,-1543,63,-38
2017-09-30,92,2701,61,2762,-162,78,54,2908,-2393,65,-2328,4964,4964,-3993,-3993,-40,-41,890,1470,64,-40
2017-06-30,195,2595,101,2696,-175,42,54,2945,-2148,305,-1843,452,452,-3716,-3716,-37,-27,-3328,-2226,65,-37
2017-03-31,211.00000,2550.00000,-17.00000,2533.00000,236.00000,-83.00000,99.00000,2843.00000,-1555.00000,-157.00000,-1712.00000,1165.00000,1165.00000,-850.00000,-850.00000,-38.00000,-23.00000,254.00000,1385.00000,69.00000,-38.00000
2016-12-31,569,2495,-204,2291,-158,26,366,3226,-1888,-21761,-23649,-54,-54,-1317,-1317,-41,-59,-1471,-21894,76,-41
2016-09-30,250,2437,-59,2378,98,74,173,2801,-1748,-54,-1802,-50,-50,-302,-302,-37,0,-389,610,81,-37
2016-06-30,3114,1436,-3395,-1959,-124,32,435,1590,-1260,-6307,-7567,515,515,4936,4936,-18,-179,5254,-723,63,-18
2016-03-31,-188.00000,539.00000,67.00000,606.00000,24.00000,-21.00000,6.00000,424.00000,-429.00000,-107.00000,-536.00000,1412.00000,1412.00000,-11.00000,-11.00000,,-16.00000,1385.00000,1273.00000,24.00000,
2015-12-31,-122,545,43,588,12,8,145,611,-548,-2619,-3167,2568,2568,-6,-6,0,-1,2561,5,20,0
2015-09-30,54,538,-111,427,30,9,214,689,-509,-19598,-20107,19383,19383,15,15,0,-10,19388,-30,20,0
2015-06-30,-122,528,204,732,-58,6,-63,531,-432,7115,6683,-7172,-7172,-7,-7,0,-25,-7204,10,38,0
2015-03-31,-81.00000,514.00000,48.00000,562.00000,21.00000,-26.00000,25.00000,528.00000,-351.00000,-90.00000,-441.00000,-60.00000,-60.00000,-10.00000,-10.00000,,,-70.00000,17.00000,,
2014-12-31,-48,534,133,667,-15,-31,11,630,-543,-3596,-4139,3426,3426,79,79,0,-3,3502,-7,55,0
2014-09-30,-53,535,57,592,-18,4,-19,520,-569,-3530,-4099,3571,3571,13,13,0,-4,3580,1,0,0
2014-06-30,-45,528,78,606,-36,35,86,632,-570,3,-567,-76,-76,17,17,0,-1,-60,5,0,0
2014-03-31,-37.00000,505.00000,74.00000,579.00000,18.00000,-17.00000,20.00000,577.00000,-539.00000,40.00000,-499.00000,-95.00000,-95.00000,-5.00000,-5.00000,,5.00000,-95.00000,-17.00000,,
2013-12-31,39,500,8,508,0,-56,-34,595,-566,49,-517,-130,-130,33,33,0,-1,-98,-20,0,0
2013-09-30,-70,493,74,567,-1,62,94,538,-425,-655,-1080,507,507,51,51,0,-19,539,-3,0,0
2013-06-30,-96,436,125,561,-15,-2,-34,484,-422,8,-414,-75,-75,5,5,0,-21,-91,-21,0,0
2013-03-31,-42.00000,425.00000,60.00000,485.00000,26.00000,-4.00000,98.00000,541.00000,-412.00000,-20.00000,-432.00000,-40.00000,-40.00000,,,,-11.00000,-51.00000,58.00000,,
2012-12-31,-40,466,40,506,16,24,19,485,-449,-9,-458,-870,-870,-5,-5,0,-13,-888,-861,0,0
2012-09-30,-87,424,76,500,2,24,66,468,-488,-6,-494,901,901,13,13,0,-25,889,863,0,0
2012-06-30,-83,415,135,550,-24,-14,-9,469,-468,48,-420,-32,-32,-1,-1,0,-15,-48,1,0,0
2012-03-31,-94.00000,408.00000,99.00000,507.00000,40.00000,3.00000,41.00000,454.00000,-340.00000,-25.00000,-365.00000,-70.00000,-70.00000,-3.00000,-3.00000,,-14.00000,-87.00000,2.00000,,
2011-12-31,-67,411,91,502,-19,38,16,425,-327,65,-262,261,261,-405,-405,0,-21,-165,-2,0,0
2011-09-30,-85,405,81,486,-10,-14,-22,405,-304,-106,-410,-39,-39,-116,-116,0,-2,-157,-162,0,0
2011-06-30,-107,393,139,532,-19,12,35,460,-324,11,-313,15,15,0,0,0,-22,-7,140,0,0
2011-03-31,-110.00000,383.00000,156.00000,539.00000,24.00000,-2.00000,18.00000,447.00000,-356.00000,-25.00000,-381.00000,180.00000,180.00000,-207.00000,-207.00000,,-17.00000,-44.00000,22.00000,,
2010-12-31,-85,390,149,539,-6,21,52,506,-261,53,-208,-924,-924,-6,-6,0,-1,-931,-633,0,0
2010-09-30,-95,385,127,512,8,23,35,441,-299,-10,-309,502,502,0,0,0,-19,483,615,0,0
2010-06-30,-81,380,131,511,-26,6,10,451,-339,16,-323,-148,-148,0,-138,0,-29,-315,-187,0,0
2010-03-31,24.00000,369.00000,35.00000,404.00000,25.00000,6.00000,102.00000,530.00000,-310.00000,-20.00000,-330.00000,-667.00000,-667.00000,,,,-33.00000,-700.00000,-500.00000,,
2009-12-31,13024,339,-13041,-12702,-37,-54,-774,-414,-315,-148,-463,-1019,-1019,1614,1614,0,-39,556,-321,0,0
2009-09-30,-2430,327,2320,2647,4,16,166,383,-279,-3,-282,-18,-18,0,0,0,0,-18,83,0,0
2009-06-30,-159,329,91,420,-27,41,177,438,-271,4,-267,-17,-17,0,0,0,2,-15,156,0,0
2009-03-31,-334.00000,321.00000,182.00000,503.00000,34.00000,-62.00000,18.00000,187.00000,-269.00000,-23.00000,-292.00000,-17.00000,-17.00000,,,,-2.00000,-19.00000,-124.00000,,
