,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1385,2192,169,2361,-80,-106,41,3787,-2920,152,-2768,463,463,-1255,-1255,-55,-7,-854,165,110,-55
2022-09-30,1367,2177,194,2371,-62,37,19,3757,-2406,142,-2264,1185,1185,-2610,-2610,-49,-22,-1496,-3,109,-49
2022-06-30,1708,2240,45,2285,-249,52,-259,3734,-2193,-102,-2295,925,925,-4261,-4261,-5,-46,-3387,-1948,104,-5
2022-03-31,1389.00000,2294.00000,161.00000,2455.00000,49.00000,-185.00000,-197.00000,3647.00000,-1857.00000,70.00000,-1787.00000,3759.00000,3759.00000,-3748.00000,-3748.00000,-2.00000,-39.00000,-30.00000,1830.00000,147.00000,-2.00000
2021-12-31,1834,2280,155,2435,71,-40,-43,4226,-2072,80,-1992,3218,3218,-5330,-5330,-4,17,-2099,135,98,-4
2021-09-30,1407,2270,545,2815,-62,-14,41,4263,-1861,71,-1790,413,413,-4059,-4059,0,-72,-3718,-1245,98,0
2021-06-30,1158,2354,436,2790,-188,69,51,3999,-1881,-135,-2016,3074,3074,-4082,-4082,-32,-4,-1044,939,100,-32
2021-03-31,921.00000,2441.00000,278.00000,2719.00000,144.00000,-182.00000,111.00000,3751.00000,-1821.00000,-135.00000,-1956.00000,2125.00000,2125.00000,-4150.00000,-4150.00000,-39.00000,40.00000,-2024.00000,-229.00000,134.00000,-39.00000
2020-12-31,1401,2409,126,2535,-142,125,213,4149,-2527,-43,-2570,3019,3019,-4914,-4914,-40,71,-1864,-285,88,-40
2020-09-30,932,2370,324,2694,-95,-55,38,3664,-2014,28,-1986,1211,1211,-3677,-3677,-37,9,-2494,-816,83,-37
2020-06-30,876,2428,160,2588,71,-34,65,3529,-1877,126,-1751,-1320,-1320,-1252,-1252,-38,-2,-2612,-834,90,-38
