,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-986,253,1482,1735,-123,-56,54,317,1066,-1840,-129,-6,-30,-36,-6,-2011,862,-695,167,0,0,-242,970,895,53,-242
2022-09-30,446,266,187,453,-147,-134,226,-115,784,-1052,-7,-88,-33,-121,-62,-1242,319,601,920,0,0,-141,160,939,383,-141
2022-06-30,-136,264,583,847,-185,-183,-89,-303,408,-893,-106,-201,-76,-277,-154,-1430,741,353,1094,0,0,-152,164,1106,89,-152
2022-03-31,171.00000,270.00000,204.00000,474.00000,-77.00000,-44.00000,50.00000,-188.00000,457.00000,-766.00000,,-148.00000,-93.00000,-241.00000,-146.00000,-1153.00000,893.00000,478.00000,1371.00000,,60.00000,-152.00000,-461.00000,818.00000,78.00000,-152.00000
2021-12-31,-1330,261,1740,2001,-52,-23,-183,-148,523,-582,-561,-56,-106,-162,-18,-1323,-23,162,139,0,2,-211,346,276,-490,-211
2021-09-30,485,257,70,327,2,-77,-61,-37,775,-535,21,95,-148,-53,-16,-583,-125,154,29,0,-1,-145,-44,-161,-52,-145
2021-06-30,-77,263,756,1019,-41,-7,-241,-591,351,-567,-23,-69,-109,-178,10,-758,-226,67,-159,0,149,-212,-89,-311,-580,-212
2021-03-31,-29.00000,275.00000,593.00000,868.00000,-79.00000,14.00000,-92.00000,-586.00000,253.00000,-432.00000,,127.00000,-64.00000,63.00000,-18.00000,-387.00000,-13.00000,-1.00000,-14.00000,,1017.00000,-117.00000,107.00000,993.00000,779.00000,-117.00000
2020-12-31,401,265,105,370,88,-5,-95,-103,668,-525,86,81,-46,35,-35,-439,-204,-643,-847,0,-1,-323,436,-735,-554,-323
2020-09-30,-481,264,825,1089,-10,31,526,659,1267,-413,-13,15,-108,-93,24,-495,-350,224,-126,0,113,-191,-297,-501,274,-191
2020-06-30,3,271,296,567,10,-69,21,-123,447,-401,-30,-99,-63,-162,-33,-626,855,-519,336,0,0,-172,-36,128,-103,-172
2020-03-31,229.00000,268.00000,19.00000,287.00000,-40.00000,23.00000,-63.00000,-143.00000,373.00000,-561.00000,-10.00000,-23.00000,-115.00000,-138.00000,-26.00000,-735.00000,296.00000,879.00000,1175.00000,,,-117.00000,-28.00000,1030.00000,638.00000,-117.00000
2019-12-31,-120,271,446,717,46,31,-30,94,691,-800,-184,-56,-66,-122,96,-1010,394,-137,257,0,0,-262,52,47,-269,-262
2019-09-30,298,262,178,440,17,-28,-34,23,761,-552,-59,46,-85,-39,52,-598,-144,129,-15,0,0,-200,-26,-241,-112,-200
2019-06-30,67,266,176,442,1,43,-35,-185,324,-549,229,-24,-83,-107,-23,-450,-140,69,-71,0,0,-187,-36,-294,-422,-187
2019-03-31,233.00000,246.00000,182.00000,428.00000,9.00000,-18.00000,48.00000,29.00000,690.00000,-504.00000,,-70.00000,-90.00000,-160.00000,1.00000,-663.00000,437.00000,230.00000,667.00000,,,-140.00000,-125.00000,402.00000,372.00000,-140.00000
2018-12-31,181,233,250,483,-81,-23,-43,-2,662,-544,224,96,-44,52,-47,-315,-5,-212,-217,0,0,-227,-36,-480,-119,-227
2018-09-30,191,258,372,630,-131,20,121,72,767,-598,-36,315,-11,304,20,-310,19,-252,-233,0,0,-157,-44,-434,-20,-157
