,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1161.786,85.561,109.731,195.2921,-786.121,-1609.642,1287.072,899.581,-410.466,952.247,-445.712,-162.239,0,-1.389,-1.389,0,-609.34,-250.595,-250.595,1.193,1.193,-46.264,-3.698,-299.364,116.339,5.825,-46.264
2022-09-30,931.206,77.713,-3.856,73.8569,0,0,0,-116.2,-116.2,895.291,-313.327,0,0,-0.01,-0.01,0,-313.337,-0.466,-0.466,0.735,0.735,-63.954,-1.593,-65.278,452.207,9.417,-63.954
2022-06-30,440.592,70.993,56.563,127.556,0,0,0,-668.639,-668.639,-145.865,-270.909,0,0,-0.97,-0.97,0,-271.879,1005.23,1005.23,0.436,0.436,-72.782,-13.974,918.91,467.271,10.987,-72.782
2022-03-31,281.54700,66.57400,75.55300,142.12700,,,,-219.39700,-219.39700,206.17600,-231.69800,,,3.60500,3.60500,,-228.09300,113.38500,113.38500,0.41900,0.41900,-45.63700,-10.54800,57.61900,24.05300,4.24500,-45.63700
2021-12-31,10.469,68.235,72.218,140.453,-49.295,-127.401,143.939,-438.994,-344.683,-146.329,-300.928,0,0,-6.835,-6.835,0,-307.763,388.283,388.283,2.172,2.172,-80.575,-1.231,308.649,-155.777,5.452,-80.575
2021-09-30,-374.433,62.082,-40.807,21.275,0,0,0,448.463,448.463,104.733,-255.824,-0.676,0,-0.146,-0.146,0,-256.646,-1.976,-1.976,1.885,1.885,-63.079,-0.733,-63.903,-228.523,6.243,-63.079
2021-06-30,446.208,61.423,-327.658,-266.235,0,0,0,57.127,57.127,227.904,-217.232,290.467,0,-0.692,-0.692,0,72.543,1,1,13.152,13.152,-62.986,-2.451,-51.285,253.713,5.865,-62.986
2021-03-31,117.69800,62.26000,21.31900,83.57900,,,,-49.18500,-49.18500,157.94900,-179.68300,,,4.95900,4.95900,,-174.72400,-1500.13900,-1500.13900,1455.07100,1455.07100,-67.34900,-30.83200,-143.24900,-176.86500,2.56000,-67.34900
2020-12-31,102.177,61.77,63.884,125.654,100.118,51.978,-31.519,175.338,80.904,337.2,-229.106,11,0,-1.946,-1.946,0,-220.052,-65.151,-65.151,23.512,23.512,-58.757,-1.541,-101.937,44.651,6.973,-58.757
2020-09-30,117.045,58.679,63.986,122.665,0,0,0,-10.857,-10.857,253.797,-202.38,0,0,-0.588,-0.588,0,-202.968,-60.17,-60.17,6.116,6.116,-40.927,-0.866,-95.847,-34.623,6.099,-40.927
