,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,214.971,37.505,-6.211,31.294,-133.667,9.481,174.738,69.162,315.427,-20.458,0,0,0,0,-6.464,-26.922,-2.188,-2.188,-70.208,-70.208,-100.156,-0.001,-172.553,126.452,11.662,-100.156
2022-09-30,216.592,37.827,87.998,125.825,56.912,-3.238,-102.314,-19.348,323.069,-18.001,-0.005,0,0,0,0.006,-18,0,0,-168.785,-168.785,-100.823,-0.283,-269.891,24.812,12.013,-100.823
2022-06-30,210.587,36.347,3.98,40.327,-0.286,-2.846,-21.847,-38.225,212.689,-19.098,0,0,0,0,-0.005,-19.103,350,350,-280.856,-280.856,-84.167,-1.796,-16.819,162.985,11.562,-84.167
2022-03-31,228.42300,35.94900,10.82900,46.77800,70.41700,-2.06000,-3.64400,-31.01700,244.18400,-15.33800,,,,,0.02800,-15.31000,,,-877.65700,-877.65700,-87.76900,-0.69100,-966.11700,-742.13400,22.85700,-87.76900
2021-12-31,193.865,36.594,4.703,41.297,-168.527,4.152,160.48,44.502,279.664,-16.597,-33.0901,0,0,0,-0.147,-49.834,0,0,-5.314,-5.314,-85.953,-0.477,-91.744,136.785,11.699,-85.953
2021-09-30,169.876,28.358,-42.009,-13.651,0.205,-1.136,-11.832,59.666,215.891,-14.787,-948.772,0,0,0,0.001,-963.558,166.4349,166.4349,-5.286,-5.286,-85.939,-10.819,64.391,-687.338,12.362,-85.939
2021-06-30,165.423,44.65,24.781,69.431,18.489,2.69,-57.249,-9.797,225.057,-11.05,0,0,0,0,-0.911,-11.961,81.755,81.755,-0.62,-0.62,-64.47,-5.349,11.316,224.855,11.946,-64.47
2021-03-31,196.81900,29.44600,23.41500,52.86100,50.63000,-7.90100,2.77400,-34.22300,215.45700,-10.36000,,,,,,-10.36000,503.75000,503.75000,-187.15400,-187.15400,-66.08700,-4.96700,245.54200,446.62600,18.91000,-66.08700
2020-12-31,156.216,29.146,-40.246,-11.1,-127.454,9.364,183.169,90.812,235.928,-16.892,0,0,0,0,0,-16.892,0,0,-164.953,-164.953,-64.601,0,-229.554,-2.337,10.713,-64.601
2020-09-30,182.358,28.978,17.436,46.414,37.717,-1.781,-109.557,-28.977,199.795,-11.725,0,0,0,0,0,-11.725,0,0,-208.999,-208.999,-65.434,0,-274.433,-82.119,11.116,-65.434
2020-06-30,115.123,28.695,44.632,73.327,16.205,1.435,18.302,74.166,262.616,-11.542,0.006,0,0,0,0,-11.536,165.493,165.493,-31.673,-31.673,-57.031,-11.759,65.03,318.121,14.102,-57.031
2020-03-31,148.12500,28.42100,20.30100,48.72200,15.92600,-1.53600,1.52500,-84.07700,112.77000,-10.81600,-190.82200,,,,,-201.63800,97.12500,97.12500,-372.89400,-372.89400,-59.37800,-4.93400,-340.08100,-439.71100,15.16300,-59.37800
2019-12-31,122.783,27.606,16.97,44.576,-88.254,4.066,108.678,76.284,243.643,-18.478,-18.177,0,0,0,0.01,-36.645,486.875,486.875,-3.601,-3.601,-57.845,-11.781,413.648,625.417,10.714,-57.845
