,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,3453,888,-195,693,-1344,986,-326,-814,3332,-2491,-649,-1649,-1649,-275,-5064,-1180,0,-1180,-1242,-1242,-1272,-16,-3710,-5443,718,-1272
2022-09-30,2584,774,-1349,-575,202,-444,423,470,2479,-887,-7,0,0,-15,-909,-19,0,-19,-890,-890,-1275,-5,-2189,-690,233,-1275
2022-06-30,2849,762,592,1354,-407,235,-213,-390,3813,-831,-100,6,6,-2,-927,-1087,0,-1087,-919,-919,-1283,-27,-3316,-473,231,-1283
2022-03-31,2662.00000,764.00000,740.00000,1504.00000,1227.00000,-743.00000,173.00000,314.00000,4480.00000,-548.00000,1.00000,-8.00000,-8.00000,-17.00000,-572.00000,-18.00000,,-18.00000,-187.00000,-187.00000,-1284.00000,-481.00000,-1970.00000,1953.00000,386.00000,-1284.00000
2021-12-31,3093,754,689,1443,-2126,1245,142,-1290,3246,-1622,-590,-6,-6,0,-2218,-160,0,-160,55,55,-859,-3,-967,43,178,-859
2021-09-30,2329,738,478,1216,-460,-36,179,-238,3307,-893,-7,-13,-13,47,-866,-14,-498,-512,-445,-445,-860,-1,-1818,604,179,-860
2021-06-30,2676,739,197,936,4,317,-38,311,3923,17,-2,17,17,0,32,-1071,-199,-1270,63,63,-860,-26,-2093,1877,206,-860
2021-03-31,4792.00000,722.00000,-1536.00000,-814.00000,435.00000,-261.00000,180.00000,553.00000,4531.00000,-824.00000,-3.00000,56.00000,56.00000,5.00000,-766.00000,-1528.00000,697.00000,-831.00000,78.00000,78.00000,-858.00000,-334.00000,-1945.00000,1821.00000,315.00000,-858.00000
2020-12-31,-3347,712,4473,5185,-1914,1354,-403,-662,1176,-2163,-7,-1,-1,-6,-2177,-646,-538,-1184,71,71,-846,-2,-1961,-2930,288,-846
2020-09-30,1957,677,-242,435,247,-450,-29,944,3336,-1146,-13,-3,-3,-1,-1163,-353,-1032,-1385,90,90,-845,-17,-2157,26,-153,-845
2020-06-30,1768,661,685,1346,-1118,1101,229,283,3397,-1131,0,110,110,12,-1009,-956,-801,-1757,50,50,-843,-16,-2566,-142,430,-843
2020-03-31,965.00000,648.00000,421.00000,1069.00000,1223.00000,-1101.00000,311.00000,516.00000,2550.00000,-932.00000,,0.00000,,-2.00000,-934.00000,3566.00000,-91.00000,3475.00000,-150.00000,-150.00000,-840.00000,-318.00000,2167.00000,3718.00000,231.00000,-840.00000
2019-12-31,-106,630,2880,3510,-1560,1333,-291,-458,2946,-2040,0,-8,-8,14,-2034,-282,1410,1128,-196,-196,-797,-8,127,1053,199,-797
2019-09-30,1750,587,-1211,-624,26,-132,716,360,1486,-1420,-5,233,233,12,-1180,1726,-1049,677,-216,-216,-798,17,-320,-31,203,-798
2019-06-30,1685,575,-285,290,-484,361,240,-45,1930,-1345,0,-4,-4,-82,-1431,-1037,1166,129,-175,-175,-800,7,-839,-326,205,-800
2019-03-31,1111.00000,568.00000,319.00000,887.00000,1301.00000,-1143.00000,215.00000,279.00000,2277.00000,-1510.00000,-1.00000,101.00000,101.00000,-6.00000,-1416.00000,1702.00000,-1217.00000,485.00000,-199.00000,-199.00000,-799.00000,-182.00000,-695.00000,175.00000,308.00000,-799.00000
2018-12-31,453,545,2488,3033,-1517,1425,-410,-197,3289,-1801,0,-65,-65,35,-1831,-615,140,-475,-177,-177,-751,-29,-1432,-8,127,-751
2018-09-30,1508,524,319,843,-174,-131,-33,-129,2222,-1631,0,-29,-29,-19,-1679,431,-145,286,-198,-198,-753,12,-653,-116,129,-753
2018-06-30,1485,542,347,889,69,341,291,759,3133,-1297,-2,-62,-62,-13,-1374,-4,-97,-101,-212,-212,-753,9,-1057,665,139,-753
2018-03-31,1345.00000,596.00000,517.00000,1113.00000,1201.00000,-601.00000,1076.00000,1609.00000,4067.00000,-1517.00000,,69.00000,69.00000,2.00000,-1446.00000,-1497.00000,165.00000,-1332.00000,-184.00000,-184.00000,-754.00000,-280.00000,-2550.00000,57.00000,239.00000,-754.00000
2017-12-31,1096,594,-3056,-2462,-1840,997,-796,-1573,-2939,-1513,-73,243,243,-13,-1356,5199,104,5303,-397,-397,-686,-19,4201,-97,138,-686
2017-09-30,1259,572,400,972,-320,132,-393,-434,1797,-1695,-4,88,88,21,-1590,283,456,739,-403,-403,-696,2,-358,-125,118,-696
2017-06-30,1384,562,415,977,4,143,-147,21,2382,-1068,-32,-18,-18,3,-1115,2026,-1372,654,-402,-402,-694,10,-432,849,116,-694
2017-03-31,1166.00000,554.00000,-2017.00000,-1463.00000,1134.00000,-673.00000,109.00000,536.00000,239.00000,-927.00000,-25.00000,47.00000,47.00000,-5.00000,-910.00000,569.00000,562.00000,1131.00000,-364.00000,-364.00000,-695.00000,-196.00000,-124.00000,-779.00000,212.00000,-695.00000
2016-12-31,-248,563,1920,2483,-1486,736,-420,-1125,1110,-1116,-544,1123,1123,1,-536,427,601,1028,-622,-622,-656,-109,-359,180,120,-656
2016-09-30,1270,554,-1040,-486,-272,34,5,-114,670,-809,0,579,579,-3,-233,-61,1092,1031,-629,-629,-660,61,-197,240,125,-660
2016-06-30,1269,555,328,883,-28,261,-397,-129,2023,-528,3,-166,-166,5,-686,178,-1022,-844,-625,-625,-661,-14,-2144,-828,131,-661
