,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-2065,11,-430,-419,132,0,414,-1313,-706,-3190,126,-34,9225,9225,-76,9241,789,0,789,1490,1490,401,-8893,-6213,-46,-127,401
2022-09-30,548,-7,166,159,79,0,-181,869,665,1372,-42,0,-4584,-4584,-23,-4649,-39,0,-39,-501,-501,-135,4281,3606,233,41,-135
2022-06-30,756,8,69,77,-128,0,228,408,576,1409,-40,34,-2913,-2913,-8,-2927,138,0,138,-448,-448,-137,2536,2089,571,42,-137
2022-03-31,761.00000,-12.00000,195.00000,183.00000,-83.00000,,-461.00000,36.00000,-535.00000,409.00000,-44.00000,,-1728.00000,-1728.00000,107.00000,-1665.00000,-888.00000,,-888.00000,-541.00000,-541.00000,-129.00000,2076.00000,518.00000,-758.00000,44.00000,-129.00000
2021-12-31,701,3,-89,-86,-160,0,154,857,936,1551,-34,-576,-2152,-2152,-245,-3007,-437,0,-437,-562,-562,-127,2590,1464,15,28,-127
2021-09-30,1031,-25,-573,-598,-124,0,-7,648,410,843,-31,0,-471,-471,38,-464,-388,0,-388,-556,-556,-129,1433,360,721,50,-129
2021-06-30,591,60,155,215,2,0,316,1183,1125,1931,-33,0,126,126,-193,-100,-512,0,-512,-441,-441,-126,545,-534,1297,39,-126
2021-03-31,437.00000,60.00000,24.00000,84.00000,-238.00000,,-163.00000,-1210.00000,-1521.00000,-1000.00000,-22.00000,,-608.00000,-608.00000,-179.00000,-809.00000,308.00000,,308.00000,-470.00000,-470.00000,-129.00000,724.00000,433.00000,-1367.00000,35.00000,-129.00000
2020-12-31,177,57,-469,-412,-432,0,223,-697,-781,-1016,-40,0,-403,-403,-30,-473,-403,0,-403,-404,-404,-122,1088,159,-1316,39,-122
2020-09-30,-140,54,-297,-243,-85,0,111,1011,1319,936,-45,0,-1621,-1621,141,-1525,1,0,1,-320,-320,-125,1120,676,100,35,-125
2020-06-30,-539,49,-698,-649,-118,0,227,190,998,-190,-33,0,-599,-599,-224,-856,144,0,144,-235,-235,-128,-292,-511,-1558,36,-128
2020-03-31,2036.00000,47.00000,1347.00000,1394.00000,-13.00000,,-432.00000,2989.00000,1463.00000,4893.00000,-29.00000,,-25.00000,-25.00000,14.00000,-40.00000,-1182.00000,,-1182.00000,-479.00000,-479.00000,-122.00000,2411.00000,628.00000,5464.00000,36.00000,-122.00000
2019-12-31,463,51,-315,-264,119,0,89,-615,-432,-233,-43,934,-2297,-2297,-92,-1498,-478,0,-478,-550,-550,-124,1302,150,-1353,35,-124
2019-09-30,543,41,-103,-62,85,0,48,744,941,1422,-33,0,27,27,-101,-107,-439,0,-439,-564,-564,-127,698,-432,828,36,-127
2019-06-30,492,45,-12,33,-5,0,86,414,455,980,-36,0,-1063,-1063,-49,-1148,-802,0,-802,-442,-442,-129,2578,1205,977,34,-129
2019-03-31,395.00000,46.00000,35.00000,81.00000,125.00000,,-177.00000,-285.00000,-304.00000,172.00000,-31.00000,,-188.00000,-188.00000,-262.00000,-481.00000,5.00000,,5.00000,-384.00000,-384.00000,-124.00000,794.00000,291.00000,-122.00000,30.00000,-124.00000
2018-12-31,539,46,61,107,-134,0,-2,1035,842,1488,-45,0,264,264,-457,-238,-514,0,-514,-438,-438,-126,1019,-59,1186,39,-126
2018-09-30,503,45,1,46,-143,0,122,83,62,611,-48,0,-1038,-1038,458,-628,-510,0,-510,-363,-363,-127,943,-57,-77,36,-127
2018-06-30,462,51,-38,13,-43,0,153,101,211,686,-36,0,304,304,-56,212,-976,0,-976,-404,-404,-131,928,-583,303,37,-131
2018-03-31,594.00000,56.00000,140.00000,196.00000,-78.00000,,-373.00000,-527.00000,-978.00000,-188.00000,-33.00000,,101.00000,101.00000,-1.00000,67.00000,-584.00000,,-584.00000,-423.00000,-423.00000,-122.00000,565.00000,-564.00000,-673.00000,32.00000,-122.00000
2017-12-31,177,58,290,348,-12,139,225,-533,-181,344,-37,0,-144,-144,116,-65,-579,0,-579,-322,-322,-123,525,-499,-217,30,-123
2017-09-30,507,55,-17,38,-277,-32,118,89,-102,443,-53,0,-499,-499,219,-333,-513,0,-513,-368,-368,-124,585,-420,-299,30,-124
2017-06-30,393,58,-13,45,-109,-9,122,288,292,730,-39,0,289,289,-234,16,-555,0,-555,-350,-350,-127,600,-432,330,30,-127
2017-03-31,403.00000,63.00000,65.00000,128.00000,-59.00000,-98.00000,-259.00000,-109.00000,-525.00000,6.00000,-33.00000,,237.00000,237.00000,7.00000,211.00000,-532.00000,,-532.00000,-430.00000,-430.00000,-117.00000,645.00000,-434.00000,-212.00000,31.00000,-117.00000
2016-12-31,399,61,0,61,27,-9,198,-367,-151,309,-26,0,-1232,-1232,842,-416,-855,-1,-856,-385,-385,-118,790,-569,-698,33,-118
2016-09-30,215,60,57,117,-151,21,172,131,173,505,-30,0,-427,-427,27,-430,-11,0,-11,-416,-416,-122,889,340,400,33,-122
2016-06-30,335,62,-52,10,36,-8,99,429,556,901,-8,0,12,12,58,62,-708,0,-708,-418,-418,-124,659,-591,346,34,-124
2016-03-31,364.00000,65.00000,93.00000,158.00000,-62.00000,-4.00000,-295.00000,455.00000,94.00000,616.00000,-28.00000,,45.00000,45.00000,-16.00000,1.00000,-509.00000,,-509.00000,-479.00000,-479.00000,-115.00000,781.00000,-322.00000,-63.00000,34.00000,-115.00000
2015-12-31,380,25,-128,-103,17,20,123,351,511,788,-24,0,-1083,-1083,1045,-62,-1190,-1,-1191,-446,-446,225,318,-1094,-377,37,225
2015-09-30,352,100,-16,84,-16,8,103,-160,-65,371,-42,0,207,207,-430,-265,-12,0,-12,-464,-464,-461,1056,119,210,38,-461
2015-06-30,476,57,-56,1,-94,108,52,76,142,619,-86,0,-304,-304,26,-364,-324,0,-324,-427,-427,-122,357,-516,-239,35,-122
2015-03-31,479.00000,66.00000,84.00000,150.00000,-184.00000,-55.00000,-196.00000,719.00000,284.00000,913.00000,19.00000,,157.00000,157.00000,6.00000,182.00000,-837.00000,,-837.00000,-388.00000,-388.00000,-107.00000,427.00000,-905.00000,171.00000,35.00000,-107.00000
2014-12-31,453,61,267,328,-77,115,85,-486,-363,418,-24,0,-557,-557,38,-543,457,0,457,-921,-921,-107,472,-99,-238,33,-107
2014-09-30,565,64,-127,-63,-52,-109,150,1126,1115,1617,-49,0,-279,-279,-2,-330,-829,0,-829,196,196,-108,210,-531,735,34,-108
2014-06-30,467,66,-82,-16,-150,-43,85,-413,-521,-70,-20,0,197,197,126,303,-469,-101,-570,-373,-373,-111,548,-506,-262,33,-111
2014-03-31,515.00000,63.00000,-112.00000,-49.00000,-144.00000,,-183.00000,295.00000,-32.00000,434.00000,-20.00000,,-2.00000,-2.00000,-123.00000,-145.00000,-324.00000,-200.00000,-524.00000,-446.00000,-446.00000,-100.00000,549.00000,-521.00000,-229.00000,30.00000,-100.00000
2013-12-31,380,64,-121,-57,-129,24,72,-32,-65,258,-37,0,-712,-712,90,-659,-315,0,-315,-360,-360,-101,677,-99,-493,37,-101
2013-09-30,449,59,-91,-32,101,-31,85,627,782,1199,-30,0,-821,-821,18,-833,84,-1,83,-372,-372,-103,803,411,794,35,-103
2013-06-30,281,58,9,67,-187,7,170,35,25,373,-24,0,304,304,21,301,-434,0,-434,-375,-375,-105,410,-504,171,38,-105
