,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,563,253,309,562,-393,-8,179,-238,-113,1003,-188,0,-6,0,-6,32,-162,-151,1,-150,0,0,-263,-33,-446,424,28,-263
2022-09-30,816,250,47,297,-27,-231,77,-184,-233,889,-138,0,6,197,203,7,72,-250,0,-250,0,0,-263,-30,-543,376,33,-263
2022-06-30,656,253,47,300,-212,-294,86,167,-291,529,-143,0,-11,0,-11,2,-152,-252,-206,-458,0,0,-263,-32,-753,-414,36,-263
2022-03-31,323.00000,242.00000,90.00000,332.00000,53.00000,-229.00000,-52.00000,-9.00000,-588.00000,203.00000,-119.00000,-2563.00000,2.00000,,2.00000,-2.00000,-2682.00000,1500.00000,-170.00000,1330.00000,,,-262.00000,-75.00000,993.00000,-1486.00000,71.00000,-262.00000
2021-12-31,662,238,-22,216,-232,42,195,-88,143,1000,-206,-113,1,0,1,4,-314,0,-14,-14,0,0,-237,-37,-288,381,30,-237
2021-09-30,438,235,260,495,-121,-103,77,59,-21,933,-130,-122,8,0,8,-3,-247,0,14,14,0,0,-238,-124,-348,322,34,-238
2021-06-30,592,241,176,417,-89,-55,94,-231,-185,878,-106,-77,-10,0,-10,-9,-202,-401,-9,-410,0,0,-237,-29,-676,3,39,-237
2021-03-31,302.00000,276.00000,153.00000,429.00000,65.00000,-73.00000,-37.00000,-8.00000,-225.00000,452.00000,-83.00000,-27.00000,7.00000,,7.00000,7.00000,-96.00000,-745.00000,2.00000,-743.00000,,,-238.00000,-72.00000,-1053.00000,-705.00000,68.00000,-238.00000
2020-12-31,568,223,189,412,-113,181,126,-46,257,1237,-165,-4196,-3,0,-3,12,-4352,-798,-9,-807,0,0,-216,-34,-1057,-4140,27,-216
2020-09-30,621,198,31,229,-204,27,8,-87,-21,829,-69,0,2,0,2,-2,-69,0,-5,-5,0,0,-216,-21,-242,544,29,-216
2020-06-30,-83,193,194,387,467,-59,-97,-47,316,620,-109,-3,4,0,4,-9,-117,2293,4,2297,0,0,-216,-25,2056,2575,30,-216
2020-03-31,493.00000,198.00000,56.00000,254.00000,204.00000,-122.00000,63.00000,165.00000,-156.00000,591.00000,-144.00000,-23.00000,4.00000,,4.00000,,-163.00000,-500.00000,4.00000,-496.00000,,,-215.00000,-57.00000,-768.00000,-373.00000,56.00000,-215.00000
2019-12-31,725,195,197,392,-439,14,26,-21,-382,735,-199,-521,0,0,0,1,-719,2641,0,2641,0,0,-193,-85,2363,2389,32,-193
2019-09-30,466,194,100,294,-52,-129,53,-135,-131,629,-163,-21,-2,0,-2,0,-186,0,-13,-13,0,0,-195,-17,-225,194,32,-195
2019-06-30,480,199,159,358,-122,-146,-4,-47,-324,514,-165,-80,-2,0,-2,0,-247,0,18,18,0,0,-195,-11,-188,80,28,-195
2019-03-31,412.00000,190.00000,72.00000,262.00000,50.00000,-139.00000,-12.00000,-103.00000,-361.00000,313.00000,-122.00000,-180.00000,-1.00000,,-1.00000,,-303.00000,-1341.00000,-12.00000,-1353.00000,-307.00000,-307.00000,-195.00000,-92.00000,-1947.00000,-1942.00000,35.00000,-195.00000
2018-12-31,2068,176,-1513,-1337,-179,60,59,-29,315,1046,-154,-1681,209,0,209,-2,-1628,2462,7,2469,0,0,-175,-14,2280,1698,32,-175
2018-09-30,590,185,29,214,4,-151,-8,3,-186,618,-140,-3,-13,0,-13,0,-156,0,-1,-1,0,0,-176,-2,-179,277,30,-176
2018-06-30,452,186,38,224,-24,-150,32,94,-27,649,-157,-63,-4,0,-4,0,-224,-600,-106,-706,0,0,-176,-35,-917,-538,28,-176
2018-03-31,443.00000,176.00000,36.00000,212.00000,139.00000,-144.00000,33.00000,-128.00000,-358.00000,297.00000,-121.00000,-704.00000,-24.00000,,-24.00000,,-849.00000,595.00000,99.00000,694.00000,-300.00000,-300.00000,-176.00000,-73.00000,145.00000,-363.00000,29.00000,-176.00000
2017-12-31,-249,169,95,264,-234,2,23,-288,401,679,-186,-119,-154,0,-154,-1,-460,1,-2,-1,0,0,-159,-112,-272,-50,28,-159
2017-09-30,434,163,93,256,-25,-130,10,-226,-348,79,-142,-674,1,0,1,0,-815,0,-143,-143,0,0,-159,-43,-345,-1057,27,-159
2017-06-30,391,160,98,258,-15,-78,-35,-70,1,650,-131,-29,-32,0,-32,0,-192,194,-55,139,0,0,-159,-20,-40,436,26,-159
2017-03-31,444.00000,150.00000,58.00000,208.00000,112.00000,-114.00000,23.00000,-196.00000,-501.00000,151.00000,-139.00000,-9.00000,2.00000,,2.00000,,-146.00000,304.00000,,304.00000,-230.00000,-230.00000,-159.00000,-52.00000,-137.00000,-103.00000,32.00000,-159.00000
2016-12-31,510,151,33,184,-214,8,-5,57,-36,658,-912,-36,770,0,770,1,-177,-115,209,94,0,0,-142,-4,-52,363,26,-142
2016-09-30,355,148,81,229,-35,-82,-6,-62,-82,502,651,-77,-672,0,-672,-4,-102,-793,0,-793,0,0,-142,-13,-948,-537,22,-142
2016-06-30,380,145,84,229,-29,-116,-22,-32,-116,493,-114,-4196,341,0,341,0,-3969,156,0,156,41,41,-142,-56,-1,-3486,21,-142
2016-03-31,402.00000,102.00000,47.00000,149.00000,86.00000,-109.00000,17.00000,-92.00000,-289.00000,262.00000,-115.00000,-23.00000,195.00000,,195.00000,,57.00000,3455.00000,,3455.00000,-54.00000,-54.00000,-142.00000,,3259.00000,3597.00000,28.00000,-142.00000
2015-12-31,522,108,161,269,-177,9,20,128,147,753,-79,-13,-493,0,-493,0,-585,549,0,549,-254,-254,-130,-86,79,216,21,-130
2015-09-30,301,101,164,265,-13,-57,-2,-1288,-1260,-509,-77,-48,440,0,440,0,315,-3,0,-3,-122,-122,-130,4,-251,-463,21,-130
2015-06-30,392,94,120,214,27,-25,9,135,-115,357,-68,-8,1976,0,1976,0,1900,2,0,2,-194,-194,-130,5,-317,1952,21,-130
2015-03-31,224.00000,94.00000,84.00000,178.00000,12.00000,-42.00000,8.00000,-19.00000,-156.00000,380.00000,-46.00000,-84.00000,456.00000,,456.00000,,326.00000,-500.00000,,-500.00000,-130.00000,-130.00000,-131.00000,27.00000,-734.00000,-121.00000,23.00000,-131.00000
2014-12-31,260,96,352,448,-77,44,-2,-108,-200,679,-61,-91,64,0,64,0,-88,-36,0,-36,0,0,-116,70,-82,439,19,-116
2014-09-30,57,97,56,153,-65,-97,4,90,485,524,-48,-368,-8,0,-8,0,-424,102,0,102,-40,-40,-115,-3,-56,37,17,-115
2014-06-30,128,94,305,399,-40,-59,-19,-50,-157,370,-54,-185,-776,0,-776,0,-1015,804,0,804,-60,-60,-116,-44,584,-62,20,-116
2014-03-31,70.00000,91.00000,370.00000,461.00000,93.00000,-61.00000,30.00000,-102.00000,-322.00000,209.00000,-70.00000,-272.00000,-9.00000,,-9.00000,,-351.00000,289.00000,,289.00000,,,-115.00000,9.00000,183.00000,42.00000,21.00000,-115.00000
2013-12-31,386,82,115,197,-135,29,32,145,89,672,-56,-1634,1399,0,1399,0,-291,-9,0,-9,-65,-65,-100,21,-153,229,19,-100
2013-09-30,103,76,337,413,57,-43,-1,-26,106,622,-43,-24,-301,0,-301,0,-368,3,0,3,-2,-2,-100,-6,-105,139,19,-100
2013-06-30,213,111,231,342,-18,-25,-21,-36,-199,356,-47,-62,-1089,0,-1089,0,-1198,2,0,2,0,0,-100,5,-93,-942,18,-100
2013-03-31,304.00000,38.00000,66.00000,104.00000,7.00000,-38.00000,-9.00000,-11.00000,-172.00000,236.00000,-49.00000,-600.00000,289.00000,,289.00000,,-360.00000,1009.00000,,1009.00000,-250.00000,-250.00000,-101.00000,-7.00000,651.00000,518.00000,20.00000,-101.00000
