,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-1160,-324.4,-478.3,-802.7,0,-291,0,-240.9,-531.9,-2494.6,177.2,-104.4,-104.4,-3.3,69.5,714.1,714.1,832.4,70.2,1616.7,-820.2,-185.7,832.4
2022-09-30,357.8,108.5,108.5,217,0,8.7,0,184.1,192.8,767.6,-54.4,7.7,7.7,2.9,-43.8,-211.5,-211.5,-276.2,2,-485.7,257.2,62.8,-276.2
2022-06-30,287.8,107.5,81.7,189.2,0,327.8,0,-181.2,146.6,623.6,-67.9,43.7,43.7,-5.3,-29.5,-187.6,-187.6,-277,-22.3,-486.9,102.6,59.3,-277
2022-03-31,514.40000,108.40000,288.10000,396.50000,,-45.50000,,238.00000,192.50000,1103.40000,-54.90000,53.00000,53.00000,5.70000,3.80000,-315.00000,-315.00000,-279.20000,-49.90000,-644.10000,460.40000,63.60000,-279.20000
2021-12-31,733.6,53.7,16.4,70.1,0,20.2,0,-462.6,-442.4,361.3,-60.4,1338.4,1338.4,-2433.7,-1155.7,-760.3,-760.3,-247.9,-89.5,-1097.7,-1885.9,108.3,-247.9
2021-09-30,757.4,51.7,55.1,106.8,0,248.1,0,176.4,424.5,1288.7,-56.9,106.6,106.6,2.2,51.9,-173.1,-173.1,-948.9,-276.4,-1398.4,-60.9,52.4,-948.9
2021-06-30,842.7,50.4,95.8,146.2,0,-253.4,0,71.8,-181.6,807.3,-63,95.4,95.4,4.1,36.5,-48.4,-48.4,-252.8,116,-185.2,657.2,56.4,-252.8
2021-03-31,764.80000,49.00000,-100.90000,-51.90000,,,,281.80000,281.80000,994.70000,-58.80000,20.50000,20.50000,7.50000,-30.80000,-238.30000,-238.30000,-252.30000,183.10000,-307.50000,657.30000,57.50000,-252.30000
2020-12-31,929.6,45.6,-156.4,-110.8,0,-448,0,-368.8,-816.8,2,-59.2,35.3,35.3,40.7,16.8,-115.7,-115.7,-210.1,258.8,-67,-49.7,81.7,-210.1
2020-09-30,698.6,49.7,-34.9,14.8,0,-391.6,0,-45.6,-437.2,276.2,-50.1,-9.1,-9.1,3.7,-55.5,-109.2,-109.2,-210,211,-108.2,123.3,52.9,-210
2020-06-30,728.5,48.2,-346.3,-298.1,0,40.8,0,381.8,422.6,853,-59.3,28.4,28.4,5.7,-25.2,-119.9,-119.9,-210.5,11.6,-318.8,502.8,53.3,-210.5
2020-03-31,166.60000,46.10000,451.30000,497.40000,,,,123.70000,123.70000,787.70000,-46.00000,73.20000,73.20000,0.40000,27.60000,-853.20000,-853.20000,-215.20000,76.10000,-992.30000,-178.20000,58.30000,-215.20000
2019-12-31,593.9,59.1,-1004.9,-945.8,0,688.1,0,-314.2,373.9,22,-55.7,-195.4,-195.4,3.3,-247.8,-162.8,-162.8,-183.5,136.6,-209.7,-435.8,70.5,-183.5
2019-09-30,545.1,45.7,31.3,77,0,-244.1,0,173.9,-70.2,551.9,-54.4,4.9,4.9,1.9,-47.6,-135.7,-135.7,-182.6,196.8,-121.5,381,45.4,-182.6
2019-06-30,555.9,44.1,187.9,232,0,-444,0,26.2,-417.8,370.1,-46.8,49.3,49.3,2.2,4.7,-136.6,-136.6,-183.2,124.3,-195.5,179.6,47.2,-183.2
2019-03-31,554.00000,41.90000,-240.90000,-199.00000,,,,223.70000,223.70000,578.70000,-47.70000,14.50000,14.50000,-0.60000,-33.80000,-187.40000,-187.40000,-184.60000,66.00000,-306.00000,238.20000,43.50000,-184.60000
2018-12-31,272,44.6,2.4,47,0,141.3,0,-326.8,-185.5,133.5,-47,2.2,2.2,-0.3,-45.1,-588.6,-588.6,-172,-15.8,-776.4,-701,61.8,-172
2018-09-30,581.6,40.2,-57,-16.8,0,-171.2,0,163.5,-7.7,557.1,-42.9,75,75,81.5,113.6,-69.5,-69.5,-173.6,168.2,-74.9,600,44.5,-173.6
2018-06-30,459.6,37.8,231,268.8,0,-407.1,0,87,-320.1,408.3,-41.9,-387.7,-387.7,5.4,-424.2,-112.4,-112.4,-173.9,140.2,-146.1,-169.9,45.2,-173.9
2018-03-31,455.50000,36.90000,-159.30000,-122.40000,,,,187.90000,187.90000,521.00000,-36.70000,-484.90000,-484.90000,1.80000,-519.80000,-245.10000,-245.10000,-174.80000,177.80000,-242.10000,-239.60000,45.60000,-174.80000
2017-12-31,386.6,36.7,-62.6,-25.9,0,-282.4,0,-201.6,-484,-123.3,-57,21.7,21.7,-1.1,-36.4,56.9,56.9,-142.3,276.3,190.9,29.6,41.4,-142.3
2017-09-30,404.2,35,19.8,54.8,0,-408.5,0,163.1,-245.4,213.6,-46.5,-14.6,-14.6,-1.1,-62.2,58.6,58.6,-140.4,287.6,205.8,360.3,36.4,-140.4
2017-06-30,390,36.3,411.3,447.6,0,-802,0,-84.9,-886.9,-49.3,-35.7,149.1,149.1,-5.2,108.2,-108.3,-108.3,-139.5,166.6,-81.2,-15.1,37.4,-139.5
2017-03-31,400.40000,35.60000,-591.50000,-555.90000,,,,344.00000,344.00000,188.50000,-46.90000,76.30000,76.30000,,29.40000,-264.20000,-264.20000,-140.90000,551.10000,146.00000,360.50000,36.80000,-140.90000
2016-12-31,366.8,33.4,40.1,73.5,-10.5,-213.8,139.2,-452.9,-538,-97.7,-35.8,116.8,116.8,-85.1,-4.1,-113.7,-113.7,-134.2,116.8,-131.1,-216.8,43.7,-134.2
2016-09-30,362.7,34,31.1,65.1,0,-366.9,0,221.5,-145.4,282.4,-33.3,-14.1,-14.1,-4.3,-51.7,-252.3,-252.3,-135,258.2,-129.1,104.7,42.3,-135
2016-06-30,211.2,33.8,480.6,514.4,0,-710.3,0,-102,-812.3,-86.7,-44,-85.5,-85.5,83.7,-45.8,1.1,1.1,-135.7,269.2,134.6,-17.8,38.8,-135.7
2016-03-31,313.30000,32.20000,-474.20000,-442.00000,,-6.90000,,208.10000,201.20000,72.50000,-35.20000,243.00000,243.00000,,207.80000,-185.70000,-185.70000,-135.90000,270.80000,-50.80000,228.10000,36.80000,-135.90000
2015-12-31,303.2,31.9,31.3,63.2,-3.2,-5,98.2,-319.5,-229.5,136.9,-36.7,197.3,197.3,-3,157.6,-154.8,-154.8,-131.8,0,-286.6,7.9,41.6,-131.8
2015-09-30,277.1,33.1,33.8,66.9,0,2.9,0,160,162.9,506.9,-34.7,23.2,23.2,-3.2,-14.7,-447.7,-447.7,-132.7,-16.6,-597,-104.8,40.8,-132.7
2015-06-30,333.2,32.2,13.8,46,0,-0.3,0,-36,-36.3,342.9,-38.6,42,42,-3.2,0.2,-230.7,-230.7,-659.1,5.5,-884.3,-541.2,35.6,-659.1
2015-03-31,309.50000,29.10000,7.70000,36.80000,,-5.10000,,202.60000,197.50000,543.80000,-41.30000,7.20000,7.20000,,-34.10000,-81.10000,-81.10000,-135.40000,11.10000,-205.40000,304.30000,31.00000,-135.40000
2014-12-31,315.9,28.3,30.7,59,-31.5,3.9,36.5,-256,-247.1,127.8,-43.6,16.7,16.7,-0.8,-27.7,-99.2,-99.2,-114.9,-24.4,-238.5,-138.4,37.5,-114.9
2014-09-30,303.6,28.3,35.6,63.9,0,-12.9,0,135.9,123,490.5,-22.9,-201.8,-201.8,-3.2,-227.9,-213.7,-213.7,-115.5,6.8,-322.4,-59.8,34.1,-115.5
2014-06-30,305.8,28,15.8,43.8,0,-52.1,0,-59,-111.1,238.5,-34.3,-119.2,-119.2,-4.5,-158,-8.3,-8.3,-115.9,8.7,-115.5,-35,32.6,-115.9
2014-03-31,304.30000,27.10000,-9.10000,18.00000,,-25.10000,,189.90000,164.80000,487.10000,-25.40000,-1.00000,-1.00000,-3.40000,-29.80000,-9.10000,-9.10000,-115.80000,8.90000,-116.00000,341.30000,29.20000,-115.80000
2013-12-31,287.7,25.1,25.6,50.7,-44.7,0.1,-5.1,-213.8,-263.5,74.9,-31.2,-265.4,-265.4,-2.3,-298.9,17,17,-99.6,11.3,-71.3,-295.3,33.3,-99.6
2013-09-30,270.3,22.1,23.2,45.3,0,0,0,114.8,114.8,430.4,-33.1,-47.9,-47.9,-0.4,-81.4,-3.8,-3.8,-99.4,-8.4,-111.6,237.4,29.7,-99.4
2013-06-30,247.8,21.9,31.5,53.4,0,-25.7,0,-7,-32.7,268.5,-18.7,-9.7,-9.7,2.8,-25.6,20.7,20.7,-99,5.4,-72.9,170,27.9,-99
2013-03-31,241.90000,21.50000,7.80000,29.30000,,,,188.20000,188.20000,459.40000,-22.80000,-8.70000,-8.70000,-0.10000,-31.60000,70.20000,70.20000,-98.70000,7.50000,-21.00000,406.80000,23.70000,-98.70000
2012-12-31,232,21,15.8,36.8,-49.7,0,35.3,-212.6,-227,41.8,-21.2,-82.5,-82.5,-4.2,-107.9,34.3,34.3,-343.7,19.6,-289.8,-355.9,26.8,-343.7
2012-09-30,247.3,20.7,-7.1,13.6,0,0,0,105.6,105.6,366.5,-19.1,-7.1,-7.1,-1.3,-27.5,7.2,7.2,-86.6,3.1,-76.3,262.7,27.3,-86.6
2012-06-30,206.8,20,24.8,44.8,0,-10.3,0,-12.6,-22.9,228.7,-18,-144.1,-144.1,-3.3,-165.4,-114.2,-114.2,-86.3,6,-194.5,-131.2,25.9,-86.3
2012-03-31,197.50000,19.20000,24.10000,43.30000,,-79.00000,,104.00000,25.00000,265.80000,-18.60000,13.70000,13.70000,-4.40000,-9.30000,24.10000,24.10000,-86.80000,11.80000,-50.90000,205.60000,24.10000,-86.80000
2011-12-31,188.4,19.1,20.9,40,2.8,0,-4.9,-218.4,-220.5,7.9,-32.8,7.3,7.3,-7.6,-33.1,-8.6,-8.6,-78.6,8.9,-78.3,-103.5,24.9,-78.6
2011-09-30,185.5,18.6,27.4,46,0,0,0,98.5,98.5,330,-16.5,-52.4,-52.4,3.4,-65.5,-222,-222,-78.6,14.8,-285.8,-21.3,27.4,-78.6
2011-06-30,204.7,18,25,43,0,0,0,26.8,26.8,274.5,-21.3,-25.4,-25.4,-2.7,-49.4,-193.7,-193.7,-80,6.4,-267.3,-42.2,25,-80
2011-03-31,194.60000,16.70000,21.40000,38.10000,,,,103.30000,103.30000,336.00000,-11.70000,-4.60000,-4.60000,-0.70000,-17.00000,-4.80000,-4.80000,-80.70000,18.30000,-67.20000,251.80000,21.40000,-80.70000
2010-12-31,191.6,15.9,15.6,31.5,-62.5,0,26.7,-166,-201.8,21.3,-16.6,-0.8,-0.8,5.6,-11.8,40.9,40.9,-70,22.3,-6.8,2.7,23.2,-70
2010-09-30,169.1,16,23.2,39.2,0,0,0,51,51,259.3,-33.4,-8,-8,-0.7,-42.1,-78.2,-78.2,-69.1,5.4,-141.9,75.3,23.2,-69.1
2010-06-30,158.5,15.6,23,38.6,0,0,0,-1.6,-1.6,195.5,-43,-2.1,-2.1,-3.5,-48.6,-117.6,-117.6,-69.8,11.5,-175.9,-29,23,-69.8
2010-03-31,153.00000,15.50000,20.10000,35.60000,,,,68.10000,68.10000,256.70000,-25.00000,-148.00000,-148.00000,-1.40000,-174.40000,-2.10000,-2.10000,-70.00000,10.60000,-61.50000,20.80000,20.10000,-70.00000
2009-12-31,152.5,15.7,21.1,36.8,-69.3,0,-15.6,-35.4,-120.3,69,-30.9,6.3,6.3,0,-24.6,15.2,15.2,-64.6,9,-40.4,4,21.1,-64.6
2009-09-30,132.9,16.5,24,40.5,0,0,0,23.4,23.4,196.8,-37.7,-42.2,-42.2,2.3,-77.6,10.3,10.3,-64.3,6.7,-47.3,71.9,24,-64.3
2009-06-30,100,16.7,23.9,40.6,0,0,0,-10.2,-10.2,130.4,-34.5,17.6,17.6,-0.3,-17.2,-4.3,-4.3,-64.1,0.8,-67.6,45.6,23.4,-64.1
2009-03-31,48.20000,16.80000,56.20000,73.00000,,,,18.20000,18.20000,139.40000,-30.80000,-14.50000,-14.50000,-2.00000,-47.30000,-44.50000,-44.50000,-63.90000,19.00000,-89.40000,2.70000,20.60000,-63.90000
