,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2023-01-31,5809,2811,-3507,-696,299,8480,-4348,7292,13403,-4752,-10,0,0,5,-4757,-1178,-6485,-7663,-1201,-1201,-1942,-652,-11458,-2554,-1942
2022-10-31,-1767,2755,3540,6295,-933,-5278,3636,1253,6458,-4515,-114,0,0,248,-4381,4969,-3779,1190,-2951,-2951,-1535,-885,-4181,-2335,-1535
2022-07-31,5147,2699,179,2878,37,969,1187,4670,12998,-3916,-18,0,0,-92,-4026,-513,-765,-1278,-3329,-3329,-1538,-570,-6715,2108,-1538
2022-04-30,2103.00000,2680.00000,1920.00000,4600.00000,837.00000,-4699.00000,-1640.00000,-10402.00000,-3758.00000,-3504.00000,-598.00000,,,-456.00000,-4558.00000,-926.00000,10995.00000,10069.00000,-2373.00000,-2373.00000,-1543.00000,-838.00000,5315.00000,-2952.00000,-1543.00000
2022-01-31,3633,2706,1256,3962,-954,899,-2386,-300,7890,-4414,-111,0,0,40,-4485,0,-35,-35,-2411,-2411,-1929,-340,-4715,-1332,-1929
2021-10-31,3132,2650,205,2855,-1294,-9938,7787,-2570,3868,-3455,0,0,0,-477,-3932,-3055,-213,-3268,811,811,-1556,-2541,-6554,-6715,-1556
2021-07-31,4364,2641,712,3353,-376,-1238,1123,1512,9565,-2701,-248,0,0,-499,-3448,-2500,303,-2197,-2214,-2214,-1542,-207,-6160,-13,-1542
2021-04-30,2811.00000,2661.00000,2355.00000,5016.00000,828.00000,-1487.00000,-1004.00000,-5239.00000,2858.00000,-2142.00000,,,,7992.00000,5850.00000,-510.00000,138.00000,-372.00000,-2734.00000,-2734.00000,-1549.00000,-744.00000,-5399.00000,5106.00000,-1549.00000
2021-01-31,-2008,2819,6332,9151,-1251,5865,-1587,5460,13194,-3710,0,0,0,146,-3564,-1250,-23,-1273,-1415,-1415,-1892,-197,-4777,3410,-1892
2020-10-31,5201,2771,-1112,1659,-658,-10726,7501,-3561,3924,-2853,-5,0,0,-15,-2873,-1195,-123,-1318,-347,-347,-1534,-327,-3526,-2576,-1534
2020-07-31,6439,2771,-2798,-27,-101,245,2235,5171,11939,-1794,-165,0,0,21,-1938,-2937,-3720,-6657,0,0,-1595,-127,-8379,1968,-1595
2020-04-30,4074.00000,2791.00000,-699.00000,2092.00000,924.00000,2221.00000,-1183.00000,902.00000,7017.00000,-1692.00000,-10.00000,,,6.00000,-1696.00000,,3542.00000,3542.00000,-723.00000,-723.00000,-1529.00000,-725.00000,565.00000,5471.00000,-1529.00000
