,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,336.7,112.1,49.9,162,-92.1,-127.5,-5,-51.3,-60.8,437.9,-137.7,-1.2,3254.4,-2540.7,713.7,574.8,-955.6,-955.6,-7.9,-963.5,46.7,127.6
2022-09-30,324.7,96.9,85.8,182.7,-11.2,-173.6,13.9,17.1,-124.2,383.2,-169.1,0.2,0,713.4,713.4,544.5,-918,-918,-8.8,-926.8,2.8,138.1
2022-06-30,313.6,93,108.8,201.8,67.4,-125.4,14.3,-83.8,-68.7,446.7,-130.5,-11.8,0,608.5001,608.5001,466.2,-473.5,-473.5,-8.6,-482.1,433,126.7
2022-03-31,369.40000,90.40000,128.60000,219.00000,-123.40000,-120.10000,-1.90000,10.30000,-365.40000,223.00000,-95.10000,,,-119.60010,-119.60010,-214.70000,-26.50000,-26.50000,-173.40000,-199.90000,-187.80000,120.80000
2021-12-31,382.7,87.4,108.5,195.8999,-87.6,-66.8,0.2,7.1,-10.9,567.7,-136.9,-14,4267.8,-4757.9,-490.1,-641,31.7,31.7,-13.1,18.6,-55.8,117.8
2021-09-30,387.2,87.5,105.7,193.2001,4.9,-96.8,-2.4,4,-79,501.4,-68.3,0,0,-770.5,-770.5,-838.8,91.1,91.1,-22.8,68.3,-268.8,120.1
2021-06-30,523,80.7,47.7,128.4,-45.3,-51.2,14.5,-85.9,-108.7,542.7,-75.7,0,-72,-237,-309,-384.7,69.7,69.7,-11.4,58.3,212.9,108.1
2021-03-31,435.20000,76.60000,135.30000,211.90000,-14.30000,-41.20000,23.70000,-97.50000,-169.50000,477.60000,-58.60000,-8.70000,72.00000,-601.70000,-529.70000,-597.00000,84.00000,84.00000,-186.20000,-102.20000,-220.80000,103.20000
2020-12-31,363.6,84.5,97.9,182.4,-51.5,6.9,-28.4,31.2,81.5,627.5,-61.9,0,196.6,-469,-272.3999,-334.3,6.6,6.6,-46.4,-39.8,252.8,103.1
2020-09-30,316.8,73.4,63.4,136.8,-79.7,-56.9,-0.3,-22.1,-179,274.6,-64.4,0,2734.2,-3695.7,-961.5,-1025.9,113.9,113.9,-28.7,85.2,-666.5,105.8
2020-06-30,70.2,67.7,81.5,149.2,18.7,-54.9,-25.5,60,10.5,229.9,-110,0,-617.6,1264.3,646.7,536.7,62.7,62.7,-15.1,47.6,813.4,95.9
2020-03-31,316.20000,67.70000,155.10000,222.80000,118.20000,-65.20000,21.90000,-165.90000,-186.20000,352.80000,-105.20000,-37.70000,617.60000,-591.80000,25.80000,-117.10000,-8.70000,-8.70000,-170.00000,-178.70000,56.20000,90.60000
2019-12-31,362.7,67.7,90.1,157.8,-11.8,-67.1,-12.4,59.3,32.2,552.7,-142,-27.9,432.8,-669.0999,-236.2999,-406.2,67.1,67.1,-16.3,50.8,198,89.2
