,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2019-09-30,398.7,54.2,22.9,77.1,1.7,-115.4,3,4.7,-79.5,396.3,-86.7,-33,-432.8,335.9,-96.9,-216.6,16.6,16.6,-15.4,1.2,179.3,88.9
2019-06-30,316.4,51,99.8,150.8,-85.7,-84,-1.3,-15.6,-151.2,316,-82.1,2.5,0,-143.1,-143.1,-222.7,-169.2,-169.2,-9.4,-178.6,-85.4,81.6
2019-03-31,304.00000,43.20000,109.00000,152.20000,134.60000,-94.00000,23.00000,-117.90000,-123.00000,333.20000,-114.80000,-1.30000,,-192.80000,-192.80000,-308.90000,88.80000,88.80000,-130.60000,-41.80000,-18.70000,76.10000
2018-12-31,291.3,35.8,51.8,87.6,-96.1,-73.2,3.3,77.5,-40.8,338.1,-55.5,-27.8,-274,-128.9999,-402.9999,-486.3,37,37,-3.3,33.7,-113.9,70.4
2018-09-30,291.8,36.8,68.9,105.7,-47.9,-71.9,-0.9,24.9,-77.7,319.8,-47,-22,-450.9,-52.7,-503.6,-572.6,64.7,64.7,-7,57.7,-195.2,70
2018-06-30,254.6,27.1,79.3,106.4,-50.3,-67.7,5.9,-41.8,-129.5,231.5,-44.8,-38.1,724.9,-686.3,38.6,-44.3,48.7,48.7,-5.5,43.2,228.8,63.3
2018-03-31,287.30000,33.70000,94.90000,128.60000,33.00000,-66.20000,8.40000,-46.90000,-135.70000,280.20000,-40.10000,,,93.70000,93.70000,53.60000,86.20000,86.20000,-94.50000,-8.30000,326.50000,57.50000
2017-12-31,-31.5,30.3,88.8,119.1,-42.7,-32.8,2.1,275.3,244.4,332,-31,0,0,-284.7999,-284.7999,-315.8,-240.1,-240.1,-3,-243.1,-226.8,55.6
2017-09-30,298.6,27.6,57,84.6,12.7,-24.4,6.2,-37.4,-29.3,353.9,-51.4,0,0,-208.6,-208.6,-260,85.2,85.2,-1.6,83.6,178.5,55.7
2017-06-30,223,20.6,66.8,87.4,-67.9,-19.3,0.2,-32.3,-93.9,216.5,-55.3,0,0,-298.5,-298.5,-353.8,127.3,127.3,-2.6,124.7,-12.1,50.4
2017-03-31,180.80000,31.50000,77.90000,109.40000,16.50000,-39.00000,5.50000,18.60000,-48.70000,241.50000,-53.00000,,,1361.30000,1361.30000,1308.30000,-1830.90000,-1830.90000,-47.40000,-1878.30000,-328.00000,47.40000
2016-12-31,206.4,7.9,74.8,82.7,3.5,-5.9,9.5,1.9,40.6,329.7,-17.8,0,-683.9,392.7,-291.2001,-309,-3.9,-3.9,-0.8,-4.7,15,45.5
2016-09-30,211,31.2,50,81.2,-28.3,-21.3,-6.6,23.1,-23.4,268.8,-15.1,0,683.9,-1210.1,-526.1999,-541.3,101.9,101.9,-1.4,100.5,-171.9,46.8
2016-06-30,184.5,31.4,57,88.4,-77.8,-11.7,7.7,53.5,-11.2,261.7,-11.4,0,-305.4,79.6,-225.8,-237.2,189.7,189.7,-1.2,188.5,213,42.6
2016-03-31,136.40000,31.70000,82.40000,114.10000,68.40000,-7.80000,5.30000,-49.90000,-23.70000,226.80000,-9.60000,,305.40000,-487.70000,-182.30000,-191.90000,250.70000,250.70000,-20.60000,230.10000,265.90000,42.70000
2015-12-31,190,32.5,73.6,106.1,-59.5,20,-2.9,37.4,21.6,317.7,-19.7,0,-520,126.6,-393.4,-413.1,-17.1,-17.1,-41,-58.1,-153.6,41.3
2015-09-30,167.3,42.1,35,77.1,-13.3,3.1,-7,-51,-64.7,179.7,-28.5,0,219,-529.3,-310.2999,-338.8,101,101,11.4,112.4,-47.2,44.2
2015-06-30,134.5,21.1,38.8,59.9,-29.1,-5.9,-4.1,11.8,-9.3,185.1,-13.6,0,742.1,-738.4,3.6999,-9.9,28,28,10.8,38.8,214.3,41.3
2015-03-31,97.00000,20.20000,46.60000,66.80000,22.70000,-27.90000,2.70000,-11.00000,-40.10000,123.70000,-19.20000,,-208.00000,139.50000,-68.50000,-87.70000,65.50000,65.50000,0.50000,66.00000,100.80000,41.10000
2014-12-31,146.8,54.2,19.9,74.1,-56.1,13.7,9.5,-12.4,-26.7,194.2,-65.2,-1.4,204.2,-341.1,-136.9,-203.5,107.6,107.6,8.8,116.4,107.3,41.1
2014-09-30,123.7,19.9,55.1,75,12.1,-1.6,-5.9,24,-48.1,150.6,-13.8,-1.7,145.7,-388.9,-243.2,-258.7,85.5,85.5,9.1,94.6,-14.6,45.1
2014-06-30,104,17.2,35.3,52.5,-32.1,-18.5,3.8,3.4,-2.5,154,-18.5,-68.7,782.2,-181.4,600.8,513.6,-975.8,-975.8,1.8,-974,-306.4,41.9
2014-03-31,44.30000,17.00000,13.50000,30.50000,62.40000,-20.40000,10.30000,0.60000,91.50000,166.30000,-8.10000,-12.50000,248.50000,-433.20000,-184.70000,-205.30000,66.30000,66.30000,4.30000,70.60000,31.90000,40.80000
2013-12-31,166.2,26.3,34.8,61.1,-20.8,17.9,-13.3,11.6,1.8,229.1,-28.9,0,-1164.3,1130,-34.3,-63.2,22.6999,22.6999,6.9,29.6,195.3,41.6
2013-09-30,156.8,25,31.6,56.6,78,-34.7,-5.3,-6.4,-9.6,203.8,-34,0,829.6,-182.4,647.2,613.2,-667.9999,-667.9999,4.6,-663.4,154.1,50.4
2013-06-30,159.1,27,32.5,59.5,-13.6,-37.4,-0.6,-2.4,-29.5,189.1,-25,0,453.6,-371.6,82,57,-246.9,-246.9,5.9,-241,5.2,38.7
2013-03-31,188.90000,25.80000,28.00000,53.80000,25.30000,-15.80000,10.30000,18.50000,15.30000,258.00000,-16.70000,,244.70000,-576.00000,-331.30000,-348.00000,-56.40000,-56.40000,20.60000,-35.80000,-126.20000,38.20000
2012-12-31,174.9,-8.4,69.5,61.1,-34.1,13.9,1.5,-1.1,-9.2,226.8,-70.7,15,616.9,-703.9,-87,-142.7,33.6,33.6,39.5,73.1,157.5,38.3
2012-09-30,183.3,23.8,34.2,58,-12.9,-8.8,1.5,-1.1,-29.7,211.6,12.9,-42.6,-1171.1,1022.9,-148.2,-177.9,-131.9,-131.9,10,-121.9,-88.2,47.3
2012-06-30,154.9,22.1,28.6,50.7,-23.5,-6.2,4.9,-1,5.2,210.8,-8.1,0,267.8,-376.6,-108.8,-116.9,40.4,40.4,24.5,64.9,158.5,33.3
2012-03-31,143.50000,20.30000,33.00000,53.30000,1.60000,-6.00000,0.50000,-3.40000,-31.80000,165.00000,-48.30000,,286.40000,-646.30000,-359.90000,-408.20000,82.90000,82.90000,20.20000,103.10000,-139.90000,34.40000
2011-12-31,151.2,19.1,32,51.1,-32.9,-3.5,2.8,8.6,11.4,213.7,-15.2,0,233,-356.2,-123.2,-138.4,79,79,13.9,92.9,167.6,34.6
2011-09-30,122.4,17.5,36.9,54.4,-14.7,-8.5,5.7,4.7,-19.2,157.6,-14.5,0,293.8,-450.1,-156.3,-170.8,-90.7,-90.7,20.5,-70.2,-83.8,34.9
2011-06-30,117.4,16.1,26.2,42.3,9.6,-6.8,-5.7,19,41.2,200.9,-38.5,0,427,-560.5,-133.5,-172,-107.4,-107.4,10.7,-96.7,-67.8,34.8
2011-03-31,104.10000,16.40000,38.20000,54.60000,-13.10000,-6.50000,7.50000,-13.60000,-53.30000,105.40000,-14.70000,,182.30000,-165.40000,16.90000,2.20000,47.90000,47.90000,13.70000,61.60000,170.00000,32.10000
2010-12-31,121.2,28.6,19.9,48.5,-39.1,-1.8,-0.1,10.7,-28,141.7,-9.4,0,987.1,-1098.6001,-111.5001,-120.9,-131.5,-131.5,8.9,-122.6,-102.2,30.1
2010-09-30,86.6,10.3,17.6,27.9,-13.1,-11,-6.1,7.8,-1.5,113,-50.1,0,0,-69.0999,-69.0999,-119.2,-41.9,-41.9,9.4,-32.5,-38,30.4
2010-06-30,88.7,9.8,24.4,34.2,-14.5,-5.5,7.3,25.9,52.6,175.5,-20.3,0,0,-86.3,-86.3,-106.6,23.4,23.4,14.7,38.1,106.4,30.3
2010-03-31,85.30000,9.50000,26.90000,36.40000,25.20000,-10.90000,7.00000,-16.80000,-6.10000,115.60000,-16.20000,,,-131.40000,-131.40000,-147.60000,92.50000,92.50000,32.20000,124.70000,92.20000,26.80000
2009-12-31,77.6,8.7,31.1,39.8,-18.9,-0.9,2.6,9.5,5.4,122.8,-7.7,0,-417.7,277.1,-140.6,-148.3,25,25,15.9,40.9,15.3,25.1
2009-09-30,64.5,8.9,17.2,26.1,-11.3,2.6,-1.6,-0.8,5.7,96.3,-5.4,0,417.7,-506.1,-88.4,-93.8,21.7,21.7,8.2,29.9,32.7,24.5
2009-06-30,62.4,9,18.5,27.5,-35.9,5.1,5.2,-11.3,-6.9,83,-12.8,0,-117.9,116.6,-1.3,-14.1,6.4,6.4,1,7.4,76.8,24.7
2009-03-31,28.10000,8.00000,20.20000,28.20000,30.80000,-0.90000,0.80000,17.60000,33.80000,90.10000,-27.50000,,117.90000,-133.70000,-15.80000,-43.30000,-144.40000,-144.40000,,-144.40000,-98.00000,22.70000
