,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,91.8,36.3,70.4,106.7,-148.3,5.7,-69.7,-66,132.5,-63.5,0,-128.6001,-128.6001,-2,-194.1,0,0,0,0,-1,-1,-55.8,34
2022-09-30,101.2,39.2,14.4,53.6,-4.5,26.9,23.6,138.4,293.2,-108.2,-0.7,348.2001,348.2001,-10,229.3,0,0,-545.3,-545.3,-7.2,-552.5,-37.3,30.8
2022-06-30,50.9,43.6,26.5,70.1,-17,1.1,15.8,51.8,172.8,-91.5,0,-53.4,-53.4,0,-144.9,0,0,0,0,-4.3,-4.3,19.3,32.6
2022-03-31,97.30000,36.80000,34.40000,71.20000,-30.10000,15.60000,-96.00000,-97.50000,71.00000,-101.60000,-3.20000,-304.70000,-304.70000,-2.30000,-411.80000,,,10.10000,10.10000,-4.80000,5.30000,-336.50000,29.10000
2021-12-31,-5.3,32.1,132,164.1,15.1,-6,-1.1,-53,105.8,-80.2,1.4,-431.9001,-431.9001,14.6,-496.1,0,0,0,0,-0.8,-0.8,-391.6,26.3
2021-09-30,87.3,25.5,43.7,69.2,-35.7,-21.7,11.4,90.8,247.3,-108.1,-31.6,168.7001,168.7001,0,29,0,0,11.6,11.6,-0.8,10.8,286.1,27.5
2021-06-30,78.4,23.5,42.1,65.6,-40,-29.5,-4.6,-82.4,61.6,-101.2,0,468.4,468.4,-4,363.2,0,0,0,0,-0.4,-0.4,424.9,31.6
2021-03-31,56.50000,20.90000,37.80000,58.70000,-14.90000,-55.00000,-18.40000,-87.40000,27.80000,-99.70000,,-12.00000,-12.00000,-0.50000,-112.20000,,,8.70000,8.70000,-7.90000,0.80000,-84.00000,28.00000
2020-12-31,411.3,20.4,-269.1,-248.7,-58.5,-33.6,11.8,9.4,172,-60.2,0,36.9001,36.9001,-0.7,-24,0,0,0,0,-4.9,-4.9,144.4,34.1
2020-09-30,72.2,18.4,54.9,73.3,-73.4,-35.4,16,2.1,147.6,-47.4,0,45.8999,45.8999,-7.8,-9.3,0,0,8.6,8.6,-4.1,4.5,143.8,30.7
