,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,6378,4764,602,5366,0,0,754,754,12498,-3835,2862,35,35,-2774,-3712,-293,-15,-308,-3417,-3417,-2724,-6449,2424,-2724
2022-09-30,11238,4201,-1949,2252,0,0,1777,1777,15267,-2995,0,83,83,145,-2767,-2760,242,-2518,-3697,-3697,-2810,-9025,3341,-2810
2022-06-30,11715,3700,-2063,1637,0,0,430,430,13782,-3184,-2862,-1,-1,1083,-4964,-3627,-25,-3652,-1689,-1689,-2797,-8138,550,-2797
2022-03-31,6277.00000,3654.00000,-994.00000,2660.00000,,,-882.00000,-882.00000,8055.00000,-1960.00000,,,,1295.00000,-665.00000,-2062.00000,61.00000,-2001.00000,3386.00000,3386.00000,-2751.00000,-1366.00000,6011.00000,-2751.00000
2021-12-31,5082,4813,-495,4318,0,0,58,58,9458,-2606,0,0,0,1217,-1389,-4059,-1945,-6004,283,283,-2569,-8290,-230,-2569
2021-09-30,6115,4304,-1371,2933,0,0,-469,-469,8579,-1907,0,-1,-1,567,-1341,-53,-5575,-5628,-618,-618,-2579,-8825,-1663,-2579
2021-06-30,3094,4522,-1076,3446,0,0,414,414,6954,-1797,0,0,0,225,-1572,-3174,711,-2463,106,106,-2588,-4945,424,-2588
2021-03-31,1398.00000,4286.00000,-1017.00000,3269.00000,,,-471.00000,-471.00000,4196.00000,-1746.00000,,,,183.00000,-1563.00000,-78.00000,1237.00000,1159.00000,267.00000,267.00000,-2479.00000,-1053.00000,1527.00000,-2479.00000
2020-12-31,-656,4486,-494,3992,0,0,-1098,-1098,2238,-2067,0,0,0,1377,-690,-1477,1257,-220,14,14,-2479,-2685,-1054,-2479
2020-09-30,-209,4017,-841,3176,0,0,570,570,3537,-1630,0,36,36,-233,-1827,3866,-3177,689,5,5,-2390,-1696,12,-2390
2020-06-30,-8277,6717,801,7518,0,0,839,839,80,-2092,0,-1,-1,803,-1290,7239,-5596,1643,23,23,-2399,-733,-1911,-2399
2020-03-31,3581.00000,4288.00000,-1373.00000,2915.00000,,,-1774.00000,-1774.00000,4722.00000,-3133.00000,,,,-25.00000,-3158.00000,-2809.00000,8167.00000,5358.00000,-1573.00000,-1573.00000,-2407.00000,1378.00000,2779.00000,-2407.00000
2019-12-31,-6667,16429,-4294,12135,1852,7,-1628,189,5657,-4210,0,0,0,1588,-2622,-1157,-4794,-5951,-1090,-1090,-2230,-9271,-5909,-2230
2019-09-30,2580,4361,-515,3846,0,0,1391,1391,7817,-3369,0,0,0,-199,-3568,-5,2162,2157,-1005,-1005,-2245,-1093,3129,-2245
2019-06-30,4290,4334,-1056,3278,0,0,1215,1215,8783,-3584,0,0,0,344,-3240,-1357,-1125,-2482,-825,-825,-2252,-5559,-4,-2252
2019-03-31,2642.00000,4094.00000,-459.00000,3635.00000,,,-1220.00000,-1220.00000,5057.00000,-2953.00000,,952.00000,952.00000,-27.00000,-2028.00000,-2506.00000,936.00000,-1570.00000,-15.00000,-15.00000,-2250.00000,-3835.00000,-786.00000,-2250.00000
2018-12-31,3723,5252,-1079,4173,2178,325,252,1255,9151,-3991,0,-950,-950,309,-4632,-1513,-178,-1691,-941,-941,-2124,-4756,-260,-2124
2018-09-30,4056,5380,-554,4826,-362,326,405,687,9569,-3578,0,-2,-2,1353,-2227,58,-2502,-2444,-671,-671,-2161,-5276,2043,-2161
2018-06-30,3422,4498,-1073,3425,-1044,-532,366,8,6855,-3226,0,-20,-20,704,-2542,-2810,1487,-1323,442,442,-2173,-3054,1181,-2173
2018-03-31,3659.00000,4289.00000,-668.00000,3621.00000,-335.00000,-543.00000,-741.00000,-2237.00000,5043.00000,-2997.00000,,-29.00000,-29.00000,137.00000,-2889.00000,-2258.00000,3214.00000,956.00000,566.00000,566.00000,-2135.00000,-613.00000,1574.00000,-2135.00000
2017-12-31,3118,4735,-3002,1733,-1180,169,112,1242,6093,-3641,0,4,4,351,-3286,-5282,2043,-3239,-649,468,-2051,-4822,-2012,-2051
2017-09-30,1986,5109,-1653,3456,-662,268,-824,55,5497,-3224,0,0,0,2291,-933,-30,-880,-910,370,370,-2057,-2597,1989,-2057
2017-06-30,1466,5311,-1757,3554,610,-154,535,-49,4971,-3224,0,-2,-2,598,-2628,-35,-2377,-2412,34,34,-2073,-4451,-2107,-2073
2017-03-31,2699.00000,4194.00000,-2017.00000,2177.00000,317.00000,-550.00000,-21.00000,-1099.00000,3777.00000,-3315.00000,,2.00000,2.00000,1840.00000,-1473.00000,3028.00000,-3928.00000,-900.00000,245.00000,245.00000,-2029.00000,-2684.00000,-341.00000,-2029.00000
2016-12-31,438,4203,-2105,2098,-1666,371,217,1171,3707,-4009,0,140,140,1428,-2441,-772,1261,489,291,291,-2031,-1251,-37,-2031
2016-09-30,1301,4130,-1321,2809,403,451,1197,1201,5311,-4065,0,0,0,-1198,-5263,-34,510,476,97,97,-2038,-1465,-1413,-2038
2016-06-30,-1463,6721,-1980,4741,-1326,-43,615,-747,2531,-4469,0,90,90,1222,-3157,6160,-3443,2717,139,139,-2026,830,202,-2026
2016-03-31,-707.00000,4403.00000,-1322.00000,3081.00000,468.00000,-176.00000,-481.00000,-1233.00000,1141.00000,-5566.00000,,67.00000,67.00000,-10.00000,-5509.00000,-14.00000,3802.00000,3788.00000,123.00000,123.00000,-2000.00000,1911.00000,-2460.00000,-2000.00000
2015-12-31,-555,5400,-831,4569,1294,530,747,543,4557,-7449,0,-28,-28,269,-7208,5092,-2384,2708,53,53,-2005,756,-1911,-2005
2015-09-30,2057,4268,-566,3702,2041,166,-711,-399,5360,-6810,0,51,51,480,-6279,-7,3969,3962,20,20,-2095,1887,777,-2095
2015-06-30,608,6958,-489,6469,-911,-279,1326,143,7220,-7643,0,55,55,3873,-3715,-11,-2037,-2048,83,83,-2023,-3988,-519,-2023
2015-03-31,2600.00000,4411.00000,-2591.00000,1820.00000,1207.00000,-332.00000,-484.00000,-2101.00000,2319.00000,-7602.00000,,88.00000,88.00000,908.00000,-6606.00000,5985.00000,117.00000,6102.00000,55.00000,55.00000,-1997.00000,4160.00000,-110.00000,-1997.00000
2014-12-31,3472,4873,-1751,3122,3103,785,-577,-97,6497,-9668,0,-289,-289,3215,-6742,3984,-1863,2121,-1238,-1238,-2031,-1148,-1430,-2031
2014-09-30,5627,3948,-1478,2470,1243,-96,639,583,8680,-8264,0,-40,-40,931,-7373,-7,2171,2164,-1155,-1155,-2028,-1019,256,-2028
2014-06-30,5690,3842,-361,3481,-1228,263,-215,-1290,7881,-8931,0,-6,-6,1739,-7198,-8,487,479,-829,-829,-2021,-2371,-1653,-2021
2014-03-31,4521.00000,4130.00000,-374.00000,3756.00000,1373.00000,-1098.00000,-378.00000,140.00000,8417.00000,-8544.00000,,-20.00000,-20.00000,-16.00000,-8580.00000,-12.00000,2636.00000,2624.00000,-1190.00000,-1190.00000,-1895.00000,-461.00000,-633.00000,-1895.00000
2013-12-31,4958,3635,530,4165,-197,512,1108,1329,10452,-11613,0,44,44,1738,-9831,-10,1844,1834,-1188,-1188,-1909,-1263,-769,-1909
2013-09-30,4996,3658,845,4503,-1408,530,183,817,10316,-9607,0,-16,-16,316,-9307,-12,-1369,-1381,-1278,-1278,-1935,-4594,-3616,-1935
2013-06-30,5404,3412,-1117,2295,1498,-759,918,821,8520,-8573,0,-165,-165,726,-8012,5992,-166,5826,-1001,-1001,-1984,2841,3256,-1984
2013-03-31,6239.00000,3481.00000,-813.00000,2668.00000,-994.00000,-520.00000,-270.00000,-3193.00000,5714.00000,-8192.00000,,356.00000,356.00000,-623.00000,-8459.00000,-102.00000,2069.00000,1967.00000,-1027.00000,-1027.00000,-1745.00000,-805.00000,-3565.00000,-1745.00000
2012-12-31,7297,3554,-2268,1286,396,1835,1256,4197,12780,-10486,0,-153,-153,564,-10075,1995,-2142,-147,-1180,-1180,-1763,-3090,-374,-1763
