,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,28,617,419,1036,-718,-62,-2857,-3486,-2422,-588,-1059,-1059,2880,1233,-14,466,452,-46,8,414,-775,-46
2022-09-30,-193,603,384,987,-210,-78,-2179,-1988,-1194,-288,-889,-889,2347,1170,-31,493,462,-46,-15,401,377,-46
2022-06-30,-113,605,305,910,131,-170,-1247,-873,-76,-379,-1130,-1130,1806,297,-47,-880,-927,-47,-5,-979,-758,-47
2022-03-31,111.00000,602.00000,290.00000,892.00000,-71.00000,82.00000,64.00000,336.00000,1339.00000,-382.00000,-1193.00000,-1193.00000,1979.00000,404.00000,-1314.00000,-1002.00000,-2316.00000,-46.00000,1727.00000,-635.00000,1108.00000,-46.00000
2021-12-31,39,589,477,2526,-409,-39,-3037,-3417,-2312,-167,-773,-773,1583,643,-16,702,-556,-459,-1,226,-1443,-459
2021-09-30,634,1265,-826,439,-117,-33,27,258,1331,-289,-1362,-1362,2184,533,-32,880,848,-457,-837,-446,1418,-457
2021-06-30,13,1340,-443,897,363,-46,28,345,1255,-293,-1599,-1599,2159,267,129,-1337,-1208,-458,-17,-1683,-161,-458
2021-03-31,-769.00000,1346.00000,-668.00000,678.00000,-453.00000,50.00000,-1271.00000,-1521.00000,-1612.00000,298.00000,-2939.00000,-2939.00000,4480.00000,1839.00000,-34.00000,997.00000,963.00000,-458.00000,-297.00000,208.00000,435.00000,-458.00000
2020-12-31,-638,573,0,573,0,0,0,-1979,-2289,92,0,6623,-2931,3825,0,200,-958,-835,389,-1204,332,0
2019-12-31,1217,3063,0,3063,0,0,0,-1383,2873,-1793,0,-10087,10054,-1867,0,320,-771,-899,-110,-1460,-454,0
