,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,1018,393,-63,330,143,-166,-65,-110,1364,-501,-4,-40,-40,58,-487,-8,-8,-1021,-1021,-207,6,-1230,-353,-207
2022-09-30,1111,378,-8,370,55,105,143,282,1725,-604,-15,0,0,-6,-625,1915,1915,-1195,-1195,-212,-21,487,1587,-212
2022-06-30,1178,369,-60,309,-67,-21,32,-238,1231,-459,-199,9,9,-2,-651,-87,-87,-1499,-1499,-215,9,-1792,-1212,-215
2022-03-31,859.00000,360.00000,10.00000,370.00000,-131.00000,82.00000,-110.00000,66.00000,1299.00000,-323.00000,-9.00000,-19.00000,-19.00000,-17.00000,-368.00000,-6.00000,-6.00000,-1016.00000,-1016.00000,-218.00000,6.00000,-1234.00000,-303.00000,-218.00000
2021-12-31,934,360,34,394,12,-4,44,-50,1280,-339,2,-73,-73,-4,-414,-36,-36,-570,-570,-206,6,-806,60,-206
2021-09-30,968,367,-17,350,-26,59,94,120,1420,-396,-543,2,2,1,-936,-30,-30,-1064,-1064,-208,11,-1291,-807,-208
2021-06-30,1173,348,-341,7,-63,20,41,-13,1167,-221,0,0,0,-9,-230,0,0,-701,-701,-212,7,-906,31,-212
2021-03-31,706.00000,345.00000,37.00000,382.00000,-64.00000,53.00000,-65.00000,116.00000,1232.00000,-306.00000,,1.00000,1.00000,8.00000,-297.00000,-360.00000,-360.00000,-551.00000,-551.00000,-213.00000,15.00000,-1109.00000,-174.00000,-213.00000
2020-12-31,760,347,61,408,71,-14,-29,-31,1135,-412,0,1,1,-45,-456,0,0,-203,-203,-198,-47,-448,231,-198
2020-09-30,736,348,52,400,-108,79,82,-187,944,-402,0,202,202,10,-190,-18,-18,-48,-48,-199,18,-247,507,-199
2020-06-30,499,344,22,366,147,-99,7,166,1006,-410,0,285,285,-22,-147,-227,-227,-39,-39,-199,2,-463,396,-199
2020-03-31,770.00000,344.00000,10.00000,354.00000,-27.00000,14.00000,-160.00000,54.00000,1178.00000,-346.00000,,510.00000,510.00000,-20.00000,144.00000,500.00000,500.00000,-577.00000,-577.00000,-201.00000,-7.00000,-285.00000,1037.00000,-201.00000
2019-12-31,771,344,65,409,84,-54,3,-79,1113,-430,0,45,45,12,-373,-500,-500,-606,-606,-186,-11,-1303,-563,-186
2019-09-30,856,338,24,362,22,113,112,272,1470,-350,0,-158,-158,35,-473,982,982,-1111,-1111,-189,-11,-329,668,-189
2019-06-30,870,337,9,346,-5,-35,7,-94,1094,-318,0,-54,-54,-14,-386,0,0,-860,-860,-193,10,-1043,-335,-193
2019-03-31,834.00000,330.00000,24.00000,354.00000,-56.00000,74.00000,-150.00000,18.00000,1173.00000,-305.00000,,-563.00000,-563.00000,-2.00000,-870.00000,1000.00000,1000.00000,-796.00000,-796.00000,-195.00000,18.00000,27.00000,330.00000,-195.00000
2018-12-31,843,345,177,522,51,-36,82,-26,1235,-443,0,365,365,-19,-97,1000,1000,-1755,-1755,-181,-7,-943,195,-181
2018-09-30,894,334,-28,306,-50,129,73,195,1397,-301,0,-531,-531,0,-832,-19,-19,-1016,-1016,-186,-1,-1222,-657,-186
2018-06-30,877,329,-24,305,3,-53,83,-118,1043,-366,0,-73,-73,0,-439,0,0,-1064,-1064,-190,-10,-1264,-660,-190
2018-03-31,695.00000,323.00000,-15.00000,308.00000,-50.00000,64.00000,-184.00000,-43.00000,966.00000,-316.00000,,8.00000,8.00000,-8.00000,-316.00000,2000.00000,2000.00000,-836.00000,-836.00000,-194.00000,-41.00000,929.00000,1579.00000,-194.00000
2017-12-31,4140,337,-3589,-3252,8,-61,-7,-220,611,-519,0,99,99,4,-416,-1,-1,-207,-207,-178,1,-385,-190,-178
2017-09-30,459,331,12,343,25,96,124,471,1295,-485,0,365,365,8,-112,-19,-19,-1006,-1006,-180,-7,-1212,-29,-180
2017-06-30,510,327,40,367,-73,-85,11,-355,523,-511,0,-183,-183,13,-681,537,537,-499,-499,-184,-6,-152,-310,-184
2017-03-31,362.00000,320.00000,205.00000,525.00000,-30.00000,91.00000,-84.00000,139.00000,1043.00000,-428.00000,,130.00000,130.00000,12.00000,-286.00000,,,-258.00000,-258.00000,-166.00000,-6.00000,-430.00000,327.00000,-166.00000
2016-12-31,458,348,-335,13,16,-54,41,51,553,-613,0,-264,-264,-28,-905,800,800,-278,-278,-167,-3,352,0,-167
2016-09-30,455,321,147,468,2,94,-47,-3,896,-524,0,110,110,2,-412,-19,-19,-263,-263,-169,4,-447,37,-169
2016-06-30,445,319,85,404,9,-50,60,-13,838,-641,0,115,115,4,-522,0,0,-266,-266,-171,-44,-481,-165,-171
2016-03-31,356.00000,313.00000,80.00000,393.00000,57.00000,50.00000,-132.00000,34.00000,754.00000,-425.00000,,435.00000,435.00000,31.00000,41.00000,,,-249.00000,-249.00000,-173.00000,-270.00000,-692.00000,103.00000,-173.00000
2015-12-31,466,312,264,576,23,-82,32,-199,858,-552,0,-384,-384,-5,-941,599,599,-258,-258,-174,3,170,87,-174
2015-09-30,507,302,48,350,25,71,-37,91,930,-622,0,255,255,-10,-377,-18,-18,-262,-262,-176,6,-450,103,-176
2015-06-30,553,299,8,307,82,-92,55,-7,892,-643,0,-420,-420,-11,-1074,390,390,-157,-157,-178,4,59,-123,-178
2015-03-31,442.00000,295.00000,6.00000,301.00000,19.00000,24.00000,-252.00000,-79.00000,690.00000,-598.00000,,35.00000,35.00000,63.00000,-500.00000,,,-127.00000,-127.00000,-158.00000,-13.00000,-298.00000,-108.00000,-158.00000
2014-12-31,491,290,202,492,-3,-19,115,25,1041,-887,0,309,309,15,-563,-1,-1,-129,-129,-159,1,-288,190,-159
2014-09-30,509,291,3,294,-56,70,32,74,857,-581,0,-354,-354,-35,-970,312,312,-131,-131,-159,-3,19,-94,-159
2014-06-30,529,287,84,371,-14,-80,75,-64,846,-444,0,42,42,-21,-423,-35,-35,-130,-130,-160,0,-325,98,-160
2014-03-31,398.00000,283.00000,-2.00000,281.00000,-46.00000,30.00000,-214.00000,-71.00000,599.00000,-475.00000,,244.00000,244.00000,4.00000,-227.00000,-209.00000,-209.00000,-127.00000,-127.00000,-151.00000,-2.00000,-489.00000,-117.00000,-151.00000
2013-12-31,426,281,69,350,47,-65,113,-26,768,-573,0,-353,-353,-58,-984,499,499,-129,-129,-152,-1,217,1,-152
2013-09-30,455,277,56,333,-60,68,95,124,920,-602,0,284,284,-4,-322,-324,-324,-129,-129,-152,-16,-621,-23,-152
2013-06-30,521,276,53,329,54,-23,67,2,848,-594,0,-30,-30,-32,-656,-42,-42,-92,-92,-153,4,-283,-91,-153
2013-03-31,462.00000,270.00000,52.00000,322.00000,-47.00000,48.00000,-126.00000,4.00000,731.00000,-491.00000,,244.00000,244.00000,-18.00000,-265.00000,-413.00000,-413.00000,6.00000,6.00000,-143.00000,5.00000,-545.00000,-79.00000,-143.00000
