,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,709,504,189,693,500,55,-1029,-150,1252,-643,0,0,-4,-647,-4,-25,-29,-136,-136,-625,287,-503,102,17,-625
2022-09-30,606,471,328,799,29,39,-97,-66,1339,-723,0,0,-4,-727,19,-48,-29,-292,-292,236,-302,-387,225,17,236
2022-06-30,754,391,318,709,113,-74,-24,46,1509,-659,0,0,0,-659,393,-14,379,-37,-37,-467,64,-61,789,16,-467
2022-03-31,505.00000,337.00000,110.00000,447.00000,-642.00000,-20.00000,-128.00000,-1108.00000,-156.00000,-522.00000,,,,-522.00000,-507.00000,1.00000,-506.00000,33.00000,33.00000,-119.00000,-73.00000,-665.00000,-1343.00000,33.00000,-119.00000
2021-12-31,356,398,132,530,-215,38,-51,13,899,-509,0,0,-1,-510,-5,-48,-53,180,180,-741,519,-95,294,16,-741
2021-09-30,185,349,97,446,-218,-40,-74,-16,615,-368,0,0,-2,-370,244,43,287,-70,-70,60,-533,-256,-11,17,60
2021-06-30,13,385,261,646,14,-22,-37,126,785,-58,0,0,-2,-60,-4,-65,-69,63,63,-214,59,-161,564,19,-214
2021-03-31,336.00000,396.00000,83.00000,479.00000,-329.00000,159.00000,-14.00000,-224.00000,591.00000,-385.00000,,,,-385.00000,-5.00000,-10.00000,-15.00000,82.00000,82.00000,-80.00000,-66.00000,-79.00000,127.00000,25.00000,-80.00000
2020-12-31,-27,486,73,559,-272,44,-2,-46,486,108,0,0,-1,107,-1,6,5,0,0,-143,-1,-139,454,16,-143
2020-09-30,-183,518,133,651,-89,-62,-31,-332,136,-426,0,0,0,-426,-3,74,71,0,0,-270,128,-71,-361,16,-270
2020-06-30,-263,509,55,564,370,-130,-18,-35,266,-568,0,0,-2,-570,-2,12,10,15,15,-76,-79,-130,-434,18,-76
2020-03-31,-2366.00000,561.00000,2307.00000,2868.00000,258.00000,31.00000,-20.00000,-57.00000,445.00000,-818.00000,,,,-818.00000,999.00000,60.00000,1059.00000,,,-81.00000,-70.00000,908.00000,535.00000,29.00000,-81.00000
2019-12-31,-183,586,117,703,-254,28,-133,-234,286,-825,0,0,0,-825,758,-144,614,40,40,-428,-5,221,-318,19,-428
2019-09-30,-166,544,144,688,-59,-11,-20,-79,443,-709,-10,-10,-2,-721,-5,16,11,0,0,-77,-1,-67,-345,18,-77
2019-06-30,34,494,32,526,47,-4,-8,115,675,-602,-16,-16,1,-617,-24,-39,-63,0,0,-76,-11,-150,-92,21,-76
2019-03-31,75.00000,498.00000,62.00000,560.00000,-117.00000,-29.00000,-55.00000,-397.00000,238.00000,-671.00000,-7.00000,-7.00000,-2.00000,-680.00000,-26.00000,199.00000,173.00000,-25.00000,-25.00000,-88.00000,-12.00000,48.00000,-394.00000,27.00000,-88.00000
2018-12-31,34,533,21,554,109,23,-56,293,881,-664,0,0,-1,-665,-23,0,-23,-245,-245,-294,36,-526,-310,19,-294
2018-09-30,3,489,189,678,-179,-36,-10,-258,423,34,-26,-26,-3,5,-19,0,-19,-230,-230,-86,3,-332,96,21,-86
2018-06-30,-87,444,106,550,-57,8,-27,-38,425,-466,-17,-17,-1,-484,-157,0,-157,-519,-519,-75,-8,-759,-818,19,-75
