,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,666,62,97,159,50,233,-146,217,1042,-70,-7,-190,27,-163,0,-240,-140,-140,-461,-461,-116,-734,-1451,-119,93,-116
2022-09-30,418,71,36,107,528,153,-159,521,1046,-58,47,-23,-50,-73,0,-84,480,480,-1190,-1190,-118,526,-302,4,93,-118
2022-06-30,514,65,52,117,-130,41,142,37,668,-45,-143,336,-10,326,0,138,142,142,-550,-550,-119,-10,-537,-104,92,-119
2022-03-31,1048.00000,66.00000,76.00000,142.00000,-544.00000,-449.00000,113.00000,-727.00000,463.00000,-23.00000,22.00000,-298.00000,36.00000,-262.00000,,-263.00000,920.00000,920.00000,-944.00000,-944.00000,-110.00000,634.00000,500.00000,650.00000,119.00000,-110.00000
2021-12-31,873,76,-104,-28,-40,242,-269,86,931,-35,199,17,-16,1,0,165,1016,1016,-1823,-1823,-112,-411,-1330,-376,103,-112
2021-09-30,-891,92,97,189,398,317,-71,608,-94,-32,-4,-24,-29,-53,0,-89,1124,1124,-1233,-1233,-116,367,142,-163,130,-116
2021-06-30,393,77,180,257,8,61,124,134,784,-41,9,-116,19,-97,0,-129,13,13,-295,-295,-115,342,-55,663,85,-115
2021-03-31,933.00000,81.00000,150.00000,231.00000,-485.00000,-356.00000,96.00000,-603.00000,561.00000,-29.00000,,138.00000,-7.00000,131.00000,,102.00000,-400.00000,-400.00000,-137.00000,-137.00000,-104.00000,-40.00000,-681.00000,-52.00000,131.00000,-104.00000
2020-12-31,534,84,120,204,966,377,-1270,22,760,-22,0,145,13,158,0,136,-25,-25,-615,-615,-105,119,-626,598,105,-105
2020-09-30,282,92,78,170,1044,132,-672,352,804,-30,0,210,-3,207,0,177,-310,-310,-484,-484,-103,-45,-942,64,67,-103
2020-06-30,411,99,55,154,-551,-48,870,316,881,-30,-34,-484,-6,-490,0,-554,-113,-113,-45,-45,-102,-26,-286,67,64,-102
2020-03-31,791.00000,138.00000,45.00000,183.00000,-1351.00000,-275.00000,849.00000,-636.00000,338.00000,-59.00000,-304.00000,-38.00000,-37.00000,-75.00000,,-438.00000,719.00000,719.00000,-575.00000,-575.00000,-102.00000,40.00000,82.00000,-100.00000,76.00000,-102.00000
2019-12-31,382,145,67,212,-378,357,122,78,672,-58,9,42,9,51,0,2,51,51,-451,-451,-103,1224,721,1476,65,-103
2019-09-30,228,145,53,198,1410,194,-1221,376,802,-61,12,55,-15,40,0,-9,-271,-271,-341,-341,-104,-20,-736,21,72,-104
2019-06-30,287,137,88,225,-336,-125,344,-225,287,-49,1,-103,-44,-147,0,-195,1154,1154,-1101,-1101,-107,-38,-92,-19,91,-107
2019-03-31,676.00000,137.00000,60.00000,197.00000,-1067.00000,-454.00000,604.00000,-799.00000,74.00000,-57.00000,-9.00000,41.00000,-2.00000,39.00000,,-27.00000,177.00000,177.00000,-198.00000,-198.00000,-96.00000,-23.00000,-140.00000,-56.00000,89.00000,-96.00000
2018-12-31,353,151,-40,111,-1561,356,1281,247,711,-61,-10,-8,26,18,0,-53,-125,-125,-208,-208,-97,-14,-444,172,124,-97
2018-09-30,153,140,37,177,2009,164,-1948,232,562,-68,-8,4,-22,-18,-1,-95,-63,-63,-290,-290,-98,-6,-457,-3,67,-98
2018-06-30,58,439,-160,279,-380,-56,546,-64,273,-66,-20,-63,-19,-82,1,-167,421,421,-443,-443,-98,-15,-135,-110,-40,-98
2018-03-31,610.00000,39.00000,208.00000,247.00000,-874.00000,-439.00000,566.00000,-717.00000,140.00000,-45.00000,-30.00000,415.00000,6.00000,421.00000,,346.00000,104.00000,104.00000,-678.00000,-678.00000,-89.00000,,-663.00000,-159.00000,187.00000,-89.00000
2017-12-31,-12,139,339,478,-1213,333,924,-85,381,-58,-805,1112,16,1128,0,265,2,2,-514,-514,-90,-15,-617,7,105,-90
2017-09-30,192,141,88,229,1145,140,-1093,-568,-147,-43,4171,1107,-9,1098,-4193,1033,-8,-8,-767,-767,-92,-11,-878,65,66,-92
2017-06-30,778,557,-1012,-455,-390,13,283,-63,260,-48,-101,-2545,-19,-2564,4189,1476,-381,-381,-1028,-1028,-95,-8,-1512,233,27,-95
