,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,788,-1013,-228,-1241,1129,1226,802,2088,0,0,-1886,-1886,97,-802,-1750,1284,-466,500,810,3,93,93,179,810
2022-09-30,114,328,236,564,-368,-368,345,-797,0,0,10,10,-43,-830,0,-1078,-1078,0,-269,4,-1343,-1828,-59,-269
2022-06-30,131,324,47,371,-303,-616,-116,-605,0,0,-5,-5,-42,-652,0,1637,1637,0,-270,5,1372,604,-60,-270
2022-03-31,-2.00000,361.00000,417.00000,778.00000,-458.00000,-242.00000,472.00000,-686.00000,,,1881.00000,1881.00000,-12.00000,1183.00000,1750.00000,-1843.00000,-93.00000,-500.00000,-271.00000,-12.00000,-876.00000,779.00000,-60.00000,-271.00000
2021-12-31,445,336,-325,11,166,86,558,-673,0,0,-101,-101,113,-661,-154,-186,-340,0,-258,-296,-894,-997,-44,-258
2021-09-30,-1564,366,1972,2338,-528,-661,129,-743,0,0,-4,-4,-43,-790,381,2255,2636,0,-257,-2,2377,1716,-45,-257
2021-06-30,-177,406,262,668,-536,-472,22,-670,0,0,569,569,-68,-169,-1084,785,-299,0,-258,7,-550,-697,-45,-258
2021-03-31,648.00000,433.00000,-12.00000,421.00000,-74.00000,-52.00000,1027.00000,-633.00000,,,2.00000,2.00000,7.00000,-624.00000,600.00000,-398.00000,202.00000,,-258.00000,-78.00000,-134.00000,269.00000,-44.00000,-258.00000
2020-12-31,431,405,-220,185,163,-9,585,-831,94,0,6,6,-90,-821,-709,763,54,0,-248,3,-191,-427,-26,-248
2020-09-30,575,418,-372,46,35,200,853,-678,-44,0,300,300,0,-422,1225,-865,360,0,-248,-11,101,532,-27,-248
