,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-27,346,73,419,-48,115,324,-202,189,617,-403,-1,0,-28,-28,46,-386,90,-70,20,5,5,-236,-8,-219,41,30,-236
2022-09-30,226,358,195,553,106,-201,-184,226,-53,706,-465,3,0,-4,-4,64,-402,9,-6,3,-13,-13,-234,-8,-252,1,52,-234
2022-06-30,606,375,-193,182,48,-277,-29,54,-204,758,-353,0,0,-6,-6,70,-289,28,0,28,-42,-549,-234,-48,-803,-387,51,-234
2022-03-31,581.00000,373.00000,-180.00000,193.00000,7.00000,-159.00000,238.00000,-156.00000,-70.00000,534.00000,-383.00000,74.00000,,,,31.00000,-278.00000,,-11.00000,-11.00000,-131.00000,-131.00000,-228.00000,-5.00000,-375.00000,-132.00000,42.00000,-228.00000
2021-12-31,496,379,-49,330,92,-31,301,-72,290,1023,-606,1,0,-3,-3,-8,-616,3,0,3,-246,-246,-212,-7,-462,-64,73,-212
2021-09-30,384,371,82,453,-97,-90,300,-19,94,895,-418,0,0,2,2,28,-388,-697,316,-381,-12,-12,-217,9,-601,-108,39,-217
2021-06-30,456,369,-113,256,-158,-26,220,20,56,771,-307,78,0,85,85,17,-127,0,-435,-435,30,-477,-234,-53,-1199,-548,44,-234
2021-03-31,599.00000,362.00000,-154.00000,208.00000,109.00000,44.00000,-49.00000,-241.00000,-137.00000,723.00000,-289.00000,24.00000,,,,-23.00000,-288.00000,,-25.00000,-25.00000,51.00000,51.00000,-208.00000,-8.00000,-190.00000,196.00000,34.00000,-208.00000
2020-12-31,263,392,-372,20,7,183,329,52,571,774,-381,0,0,-21,-21,24,-378,-90,-100,-190,75,75,-200,1,-314,158,80,-200
2020-09-30,427,394,-242,152,-308,187,96,-39,-64,608,-153,0,0,-2,-2,7,-148,3,0,3,36,36,-204,22,-143,356,62,-204
2020-06-30,-71,352,66,418,-16,120,-28,54,130,550,-261,0,0,-5,-5,21,-245,9,0,9,6,6,-191,-2,-178,133,65,-191
2020-03-31,-96.00000,382.00000,227.00000,609.00000,43.00000,-67.00000,-207.00000,-34.00000,-265.00000,248.00000,-545.00000,,,,,6.00000,-539.00000,200.00000,,200.00000,-98.00000,-98.00000,-192.00000,-4.00000,-94.00000,-409.00000,,-192.00000
2019-12-31,32,392,29,421,217,40,119,189,565,1018,-360,0,0,-26,-26,29,-357,1182,0,1182,-217,-217,-188,9,786,1463,13,-188
2019-09-30,337,396,-3,393,32,-81,277,-175,53,889,-446,0,0,0,0,-54,-500,-97,0,-97,-294,-294,-192,12,-571,-207,13,-192
2019-06-30,92,380,150,530,-165,-98,-66,-34,-363,153,-570,0,0,0,0,19,-551,446,0,446,-114,-114,-181,-20,131,-278,30,-181
2019-03-31,499.00000,335.00000,-239.00000,96.00000,-36.00000,-159.00000,-299.00000,-130.00000,-624.00000,-29.00000,-524.00000,,,,,41.00000,-483.00000,,,,-257.00000,-257.00000,-181.00000,45.00000,-393.00000,-899.00000,,-181.00000
2018-12-31,292,330,-118,212,43,-111,251,254,437,941,-599,-38,0,0,0,16,-621,889,-254,635,-340,-340,-168,-6,121,452,51,-168
2018-09-30,625,318,-20,298,-156,-42,240,-22,20,943,-515,-10,0,0,0,14,-511,0,0,0,-366,-366,-169,-3,-538,-120,0,-169
2018-06-30,738,322,-58,264,-135,-95,16,-73,-287,715,-522,-794,0,0,0,205,-1111,596,-375,221,-661,-661,-171,-8,-619,-1073,0,-171
2018-03-31,-589.00000,323.00000,812.00000,1135.00000,94.00000,-98.00000,-162.00000,-60.00000,-226.00000,320.00000,-655.00000,,,,,11.00000,-644.00000,,,,-779.00000,-779.00000,-177.00000,-3.00000,-959.00000,-1221.00000,,-177.00000
2017-12-31,-1412,306,1848,2154,-35,-4,292,-107,146,888,-557,0,0,0,0,65,-492,744,-252,492,-354,-354,-158,-9,-29,452,46,-158
2017-09-30,390,294,-79,215,-92,-56,194,-6,40,645,-486,-133,-29,0,-29,64,-584,702,0,702,-996,-996,-160,-3,-457,-324,0,-160
2017-06-30,439,281,-305,-24,-44,-61,-87,57,-135,280,-397,-3,29,0,29,63,-308,-1,0,-1,-575,-575,-165,-9,-750,-655,0,-165
2017-03-31,86.00000,277.00000,204.00000,481.00000,-54.00000,-49.00000,-230.00000,-43.00000,-376.00000,191.00000,-364.00000,-35.00000,,,,73.00000,-326.00000,,,,-218.00000,-218.00000,-168.00000,-2.00000,-388.00000,-447.00000,,-168.00000
2016-12-31,1572,305,-846,-541,78,1,231,87,397,1428,-315,-54,0,0,0,75,-294,1,0,1,-291,-291,-152,-8,-450,470,0,-152
2016-09-30,284,300,16,316,-81,-3,131,7,54,654,-282,0,0,0,0,0,-282,230,-502,-272,-2310,-2310,-153,-2,-2737,-2323,0,-153
2016-06-30,2207,295,-2068,-1773,-124,-24,190,59,101,535,-263,-279,0,4818,4818,38,4314,-230,-19,-249,-794,-794,-167,-9,-1219,3604,-9,-167
2016-03-31,-368.00000,295.00000,426.00000,721.00000,21.00000,-42.00000,-293.00000,-119.00000,-433.00000,-80.00000,-270.00000,,101.00000,,101.00000,93.00000,-76.00000,-1.00000,-45.00000,-46.00000,-694.00000,-694.00000,-173.00000,-3.00000,-916.00000,-960.00000,9.00000,-173.00000
2015-12-31,224,302,-116,186,110,-17,168,268,529,984,-311,-189,473,33,506,131,137,476,-11,465,-1320,-1320,-160,-19,-1034,60,-36,-160
2015-09-30,212,292,390,682,77,-6,-103,-120,-152,697,-298,0,187,-255,-68,167,-199,0,0,0,-811,-811,-169,0,-980,-528,11,-169
2015-06-30,496,299,-200,99,-60,-53,123,-58,-48,547,-308,0,2,222,224,174,90,744,2,746,-607,-607,-173,-1,-35,664,15,-173
2015-03-31,407.00000,291.00000,209.00000,500.00000,35.00000,-1.00000,-314.00000,-26.00000,-306.00000,601.00000,-333.00000,-531.00000,-2.00000,,-2.00000,153.00000,-713.00000,,,,-388.00000,-388.00000,-177.00000,-9.00000,-574.00000,-1005.00000,10.00000,-177.00000
2014-12-31,988,298,-568,-270,47,-25,336,36,394,1112,-336,0,-15,0,-15,142,-209,-5,-419,-424,-165,-165,-152,1,-740,-44,11,-152
2014-09-30,1014,303,-240,63,-52,14,45,33,40,1117,-262,0,13,0,13,79,-170,0,5,5,-210,-210,-152,0,-357,235,19,-152
2014-06-30,169,302,177,479,-32,16,29,82,95,743,-232,0,-122,0,-122,72,-282,-1,-19,-20,-141,-141,-151,0,-312,150,13,-151
2014-03-31,301.00000,297.00000,1532.00000,1829.00000,21.00000,-3.00000,-413.00000,2.00000,-393.00000,1737.00000,-246.00000,66.00000,-107.00000,-109.00000,-216.00000,95.00000,-301.00000,,410.00000,410.00000,-1851.00000,-1451.00000,-136.00000,,-1177.00000,264.00000,15.00000,-136.00000
2013-12-31,421,249,347,596,110,-9,255,-89,267,1284,-337,-2,354,-507,-153,63,-429,243,-2,241,-1044,-1044,-140,227,-716,144,14,-140
2013-09-30,408,248,-14,234,-83,-27,-37,-4,-151,491,-244,0,-17,-4,-21,25,-240,0,-58,-58,-194,-194,-146,44,-354,-41,15,-146
2013-06-30,638,250,-206,44,-73,-73,-129,-18,-293,389,-244,-66,105,-15,90,7,-213,-1,-2,-3,-205,-205,-147,-9,-364,-196,14,-147
2013-03-31,494.00000,255.00000,-56.00000,199.00000,17.00000,-138.00000,-112.00000,163.00000,-70.00000,623.00000,-194.00000,,178.00000,,178.00000,-106.00000,-122.00000,-499.00000,-9.00000,-508.00000,12.00000,12.00000,-133.00000,,-629.00000,-191.00000,11.00000,-133.00000
2012-12-31,155,267,1010,1277,-123,8,231,-308,-192,1240,-526,-723,240,0,240,2,-1007,52,-2,50,-128,-128,-133,2,-209,36,14,-133
2012-09-30,533,248,-126,122,-81,4,3,53,-21,634,-422,0,-62,0,-62,2,-482,144,-11,133,-187,-187,-112,0,-166,-56,16,-112
2012-06-30,474,242,-245,-3,-19,-47,6,159,99,570,-441,0,8,-111,-103,9,-535,95,-3,92,-311,-311,-113,0,-332,-482,16,-113
2012-03-31,474.00000,240.00000,292.00000,532.00000,-49.00000,12.00000,-51.00000,-156.00000,-244.00000,762.00000,-412.00000,,-187.00000,,-187.00000,-5.00000,-604.00000,790.00000,-10.00000,780.00000,-56.00000,-56.00000,-114.00000,-18.00000,592.00000,829.00000,24.00000,-114.00000
2011-12-31,503,247,114,361,98,-31,80,80,227,1157,-766,-65,356,0,356,-1,-476,86,-2,84,-772,-772,-117,0,-805,-240,20,-117
2011-09-30,811,245,-103,142,61,-27,-64,56,26,913,-640,0,226,0,226,-4,-418,34,-10,24,9,9,-79,0,-46,292,21,-79
2011-06-30,755,236,-288,-52,-122,-64,40,-77,-223,546,-494,0,-13,0,-13,2,-505,0,-2,-2,9,9,-79,0,-72,39,22,-79
