,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-45.112,-507.508,-56.6,-564.108,6.582,6.582,-602.638,316.759,340.149,0,199.057,199.057,-17.306,838.659,-204.148,-11.636,-215.784,-434.795,-434.795,388.805,24.276,-237.498,-1.477,-20.458,385.537
2022-09-30,25.145,170.211,10.598,180.809,-1.403,-1.403,204.551,-110.726,2,0,-107.187,-107.187,-47.663,-263.576,99.713,10.255,109.968,84.527,84.527,-133.163,-1.101,60.231,1.206,6.643,-132.062
2022-06-30,5.364,170.6,26.269,196.869,34.834,34.834,237.067,-104.986,-336.149,0,-43.637,-43.637,-3.5,-488.272,44.715,-6.267,38.448,350.367,350.367,-131.325,-4.523,252.967,1.762,7.444,-130.208
2022-03-31,14.60300,166.69700,19.73300,186.43000,-40.01300,-40.01300,161.02000,-101.04700,-6.00000,,-48.23300,-48.23300,68.46900,-86.81100,59.72000,7.64800,67.36800,-0.09900,-0.09900,-124.31700,-18.65200,-75.70000,-1.49100,6.37100,-123.26700
2021-12-31,126.144,168.468,-109.22,59.248,-4.601,-4.601,180.791,-103.211,-330.074,0,80.564,80.564,1.743,-350.978,-95.278,-13.54,-108.818,399.716,399.716,-121.192,-0.334,169.372,-0.815,4.579,-120.127
2021-09-30,19.04,155.905,-5.748,150.157,-16.185,-16.185,153.012,-93.57,-614.033,0,-13.959,-13.959,115.024,-606.538,57.501,15.768,73.269,499.337,499.337,-117.035,-8.882,446.689,-6.837,6.163,-115.984
2021-06-30,12.535,148.771,25.138,173.909,20.108,20.108,206.552,-83.624,-263.887,0,-5.102,-5.102,-3.163,-355.776,259.727,9.504,269.231,0,0,-117.046,-1.491,150.694,1.47,6.398,-115.982
2021-03-31,3.27400,146.68900,-5.02900,141.66000,-21.32900,-21.32900,123.60500,-64.14800,-36.51400,,106.25300,106.25300,35.44800,41.03900,18.50600,-10.21000,8.29600,,,-116.39500,-46.11600,-154.21500,10.42900,4.91200,-115.35000
2020-12-31,28.551,148.209,-7.056,141.1531,-21.98,-21.98,147.724,-90.49,-252.758,0,134.772,134.772,40.365,-168.111,57.676,5.938,63.614,102.234,102.234,-115.216,-30.274,20.358,-0.029,4.53,-114.149
2020-09-30,-27.217,155.836,22.262,178.098,-11.304,-11.304,139.577,-70.412,-14.874,0,-46.852,-46.852,1.301,-130.837,162.135,4.906,167.041,-19.795,-19.795,-115.397,-39.265,-7.416,1.324,4.278,-114.362
2020-06-30,62.096,157.083,-55.631,101.452,18.011,18.011,181.559,-75.902,0,0,130.032,130.032,-1.98,52.15,-58.84,-57.617,-116.457,0,0,-115.429,-1.876,-233.762,-0.053,4,-114.329
2020-03-31,5.54000,157.50100,3.96700,161.46800,-31.55200,-31.55200,135.45600,-58.54900,-141.72700,,-16.13900,-16.13900,2.37100,-214.04400,123.53900,58.21400,181.75300,,,-109.56300,-3.96400,68.22600,-10.36200,6.80800,-108.54800
2019-12-31,105.237,145.177,-80.241,64.936,3.655,3.655,173.828,-65.781,-112.402,0,-20.98,-20.98,-104.722,-303.885,240.2841,-17.864,222.4201,63.306,63.306,-108.233,-37.686,139.807,9.75,11.31,-107.186
2019-09-30,29.422,129.01,-1.472,127.538,13.495,13.495,170.455,-56.247,-534.458,0,-20.205,-20.205,34.101,-576.809,69.679,1.069,70.748,449.137,449.137,-106.26,-7.753,405.872,-0.482,2.704,-105.245
2019-06-30,38.318,119.612,-3.75,115.862,-5.092,-5.092,149.088,-46.873,-322.475,0,7.515,7.515,15.589,-346.244,301.062,-20.932,280.13,20.693,20.693,-105.806,2.008,197.025,-0.131,4.379,-104.764
2019-03-31,26.60200,114.12400,11.77500,125.89900,-15.16800,-15.16800,137.33300,-40.84700,-413.59500,,-21.38900,-21.38900,16.08200,-459.74900,-12.07700,54.29400,42.21700,192.17900,192.17900,-98.42300,1.70600,137.67900,-184.73700,5.93700,-97.46400
2018-12-31,89.615,108.085,-58.093,49.9919,14.345,14.345,153.952,-51.933,0,0,130.632,130.632,10.859,89.558,-210.662,-50.994,-261.656,299.825,299.825,-95.7,-5.168,-62.699,180.811,3.55,-94.718
2018-09-30,20.258,109.563,6.32,115.883,15.482,15.482,151.623,-61.226,0,0,-43.514,-43.514,12.889,-91.851,59.833,1.063,60.896,0,0,-95.443,-28.057,-62.604,-2.832,3.612,-94.483
2018-06-30,22.444,108.204,6.817,115.021,-14.62,-14.62,122.845,-75.372,0,0,-21.809,-21.809,10.512,-86.669,78.867,-7.76,71.107,0,0,-95.435,-1.789,-26.117,10.059,3.578,-94.456
2018-03-31,89.22500,109.82700,-62.69600,47.13100,-4.10000,-4.10000,132.25600,-78.91600,-1.00000,,69.69700,69.69700,-14.36700,-24.58600,-26.17200,35.94000,9.76800,-19.98800,-19.98800,-91.95600,-6.47100,-108.64700,-0.97700,3.50400,-91.04100
2017-12-31,75.627,111.049,-49.943,61.106,-7.094,-7.094,129.639,-89.339,-31.41,0,46.313,46.313,50.401,-24.035,12.669,-18.95,-6.281,0,0,-91.757,-7.937,-105.975,-0.371,2.79,-90.825
2017-09-30,17.57,108.756,5.326,114.082,18.007,18.007,149.659,-103.534,0,0,-34.661,-34.661,37.539,-100.656,43.906,0.659,44.565,0,0,-91.75,-0.63,-47.815,1.188,3.239,-90.832
2017-06-30,11.062,110.017,11.982,121.999,-13.705,-13.705,119.356,-95.575,0,0,-43.316,-43.316,18.999,-119.892,94.637,3.918,98.555,0,0,-91.74,-7.483,-0.668,-1.204,3.454,-90.807
2017-03-31,28.39600,106.64000,-4.28100,102.35900,-10.49400,-10.49400,120.26100,-86.21000,-65.38100,,-20.94300,-20.94300,9.71100,-162.82300,120.53700,14.79000,135.32700,,,-87.34300,-5.31100,42.67300,0.11100,3.37900,-86.41800
2016-12-31,259.746,103.995,-178.084,-74.089,-32.211,-32.211,153.446,-73.727,-140.012,0,269.568,269.568,103.053,158.882,2.506,-225.575,-223.069,-0.027,-0.027,-87.272,-3.953,-314.321,-1.993,2.862,-86.338
2016-09-30,29.466,107.328,7.721,115.049,12.137,12.137,156.652,-83.54,-5.768,0,-9.239,-9.239,-50.6,-149.147,92.685,-12.274,80.411,-0.045,-0.045,-87.062,-2.675,-9.371,-1.866,3.461,-86.137
2016-06-30,19.564,107.423,-0.1,107.323,-13.178,-13.178,113.709,-55.565,-17.235,0,-7.381,-7.381,2.952,-77.229,-129.974,182.851,52.877,-0.017,-0.017,-87.281,-0.56,-34.981,1.499,3.196,-86.347
2016-03-31,11.60400,106.89200,2.49600,109.38800,-8.23100,-8.23100,112.76100,-61.62600,,,8.68900,8.68900,7.71100,-45.22600,-85.57800,-73.65200,-159.23000,173.30000,173.30000,-80.71300,-3.96600,-70.60900,-3.07400,3.87900,-79.78900
2015-12-31,177.163,106.808,-143.005,-36.197,11.859,11.859,152.825,-46.466,-244.769,0,275.072,275.072,-21.106,-37.269,-59.608,40,-19.608,-0.12,-0.12,-76.533,-13.874,-110.135,5.421,3.578,-75.603
2015-09-30,13.695,92.025,1.902,93.927,-18.823,-18.823,88.799,-58.997,0,0,-11.529,-11.529,6.11,-64.416,296.888,-347,-50.112,101.392,101.392,-75.442,-1.89,-26.052,-1.669,5.379,-74.512
2015-06-30,89.884,92.044,-72.2,19.844,11.257,11.257,120.985,-50.76,0,0,-68.072,-68.072,4.594,-114.238,-2.391,68,65.609,-0.051,-0.051,-75.437,-0.152,-10.031,-3.284,4.8,-74.506
2015-03-31,76.41700,90.40000,-52.26400,38.13600,-18.53500,-18.53500,96.01800,-64.43100,,,-25.46300,-25.46300,40.35600,-49.53800,-327.47700,236.50000,-90.97700,108.79000,108.79000,-70.13200,-3.11100,-55.43000,-8.95000,4.26000,-69.20100
2014-12-31,67.752,93.524,-54.731,38.793,8.78,8.78,115.325,-106.417,-29.798,0,94.203,94.203,44.321,2.309,-36.571,-7.5,-44.071,-0.142,-0.142,-69.799,-3.003,-117.015,0.619,13.954,-68.868
2014-09-30,41.992,90.723,-26.03,64.693,-10.92,-10.92,95.765,-70.797,-121.219,0,139.386,139.386,31.292,-21.338,-2.086,-116.5,-118.586,99.991,99.991,-68.845,0.802,-86.638,-12.211,0,-67.914
2014-06-30,31.086,90.069,-22.154,67.915,4.691,4.691,103.692,-88.967,0,0,-99.079,-99.079,45.181,-142.865,131.587,-11,120.587,0,0,-68.866,-1.623,50.098,10.925,0,-67.935
2014-03-31,19.01200,89.61300,-16.86100,72.75200,-9.24300,-9.24300,82.52100,-87.48800,-77.79300,,26.44600,26.44600,2.12600,-136.70900,-181.93300,287.50000,105.56700,,,-62.24300,-3.49400,39.83000,-14.35800,,-61.31200
2013-12-31,38.002,91.932,-40.567,51.365,-10.762,-10.762,78.605,-93.272,0,0,90.544,90.544,8.019,5.291,-2.039,0,-2.039,0,0,-62.216,-0.541,-64.796,19.1,9.531,-61.286
2013-09-30,3.235,85.442,9.378,94.82,-9.147,-9.147,88.908,-89.835,0,0,-6.461,-6.461,3.709,-92.587,297.974,-228.5,69.474,0,0,-62.113,-1.568,5.793,2.114,0,-61.181
2013-06-30,5.354,86.269,3.356,89.625,10.75,10.75,105.729,-146.517,0,0,123.605,123.605,88.016,65.104,-161.857,58.5,-103.357,0,0,-62.336,-3.226,-168.919,1.914,0,-61.405
2013-03-31,-0.30900,84.58800,5.05600,89.64400,-22.67500,-22.67500,66.66000,-112.29400,,,-0.93600,-0.93600,12.21300,-101.01700,-3.19900,94.00000,90.80100,,,-58.22900,-3.20900,29.36300,-4.99400,,-57.29800
2012-12-31,-12.955,84.548,-11.467,73.081,-11.282,17.372,77.498,-118.138,-91.376,0,37.595,37.595,21.793,-150.126,-8.353,76,67.647,-0.098,-0.098,-58.228,-6.955,2.366,-70.262,0,-57.297
2012-09-30,-9.676,89.301,31.662,120.963,15.323,-13.331,97.956,-107.044,-4.051,0,-24.695,-24.695,-1.165,-136.955,-1.318,0,-1.318,-0.205,-0.205,-57.617,-3.596,-62.736,-101.735,0,-57.307
2012-06-30,156.306,85.491,-159.384,-73.893,-0.694,-0.694,81.719,-91.057,-12.788,0,425.483,425.483,-21.786,299.852,-409.199,-197,-606.199,555.818,474.209,-55.759,-13.268,-201.017,180.554,0,-52.354
2012-03-31,86.62800,95.16500,-99.56400,-4.39900,-12.21500,-12.21500,70.01400,-83.50800,,,-128.58500,-128.58500,-12.26000,-224.35300,223.63500,-224.00000,-0.36500,200.62300,200.62300,-51.85300,-3.01100,145.39400,-8.94500,,-49.54500
2011-12-31,48.118,90.788,-56.992,33.796,-13.251,-13.424,68.49,-52.467,-45.984,5.258,187.871,193.129,-62.577,32.101,-109.593,59,-50.593,11.612,11.612,-48.05,-14.539,-101.57,-0.979,-7.65,-45.742
2011-09-30,-13.786,101.225,-11.037,90.188,-7.741,-8.556,67.846,-66.244,-833.897,1.044,33.503,34.547,44.87,-820.724,-103.572,357,253.428,539.204,539.204,-47.094,-0.812,744.726,-8.152,2.545,-44.787
2011-06-30,14.909,93.821,-40.154,53.667,-1.939,-1.454,67.122,-46.839,-109.148,3.021,-1.541,1.48,-54.695,-209.202,146.42,-180.55,-34.13,231.108,227.511,-38.348,-3.011,152.022,9.942,2.449,-36.02
2011-03-31,-28.65600,88.44000,5.41700,93.85700,-17.75100,-17.24800,47.95300,-37.87600,,0.47600,-2.34100,-1.86500,-17.11700,-56.85800,-202.93800,153.80000,-49.13800,97.83000,97.83000,-37.21200,-0.36900,11.11100,2.20600,2.65600,-34.84400
2010-12-31,-29.317,86.915,-5.481,81.434,2.737,4.574,56.691,-34.73,-4.885,39.488,-105.174,-65.686,0.395,-104.906,168.236,-80.85,87.386,0.548,0.548,-37.136,-3.204,47.594,-0.621,2.332,-34.767
2010-09-30,-24.605,79.563,0.947,80.51,2.215,-0.195,55.71,-34.883,-342.697,0,20.672,20.672,0.251,-356.657,-4.947,-21.3,-26.247,364.643,364.643,-32.867,-2.549,302.98,2.033,3.071,-30.499
2010-06-30,-27.64,77.807,5.662,83.469,5.234,4.942,60.269,-59.44,0,0,-5.533,-5.533,0.151,-64.822,-17.148,12.9,-4.248,31.068,30.431,-32.751,-0.725,-7.293,-11.846,3.11,-30.379
2010-03-31,-25.02600,76.49100,4.35000,80.84100,-14.80700,-14.80700,41.51000,-41.40800,,0.00000,-0.14800,-0.14800,-15.81300,-57.36900,54.88500,-68.30000,-13.41500,76.75200,76.75200,-31.77700,-1.76600,29.79400,13.93500,2.89800,-29.39800
2009-12-31,-25.785,75.496,3.123,78.619,-14.109,-11.255,39.733,-62.463,0,0.001,-1.117,-1.116,1.241,-62.338,-139.632,164.3,24.668,35.565,14.06,-31.709,-3.383,3.636,-18.969,1.743,-28.906
2009-09-30,-39.755,73.612,18.753,92.365,12.327,11.2,65.656,-71.236,-28.528,-0.003,-6.53,-6.533,0.5,-105.797,96.111,-36.1,60.011,33.237,33.237,-31.661,-1.475,60.112,19.971,1.666,-28.861
2009-06-30,-12.66,73.762,-0.78,72.982,-8.598,-7.885,52.437,-73.935,0,-0.003,-16.257,-16.26,199.5,109.305,-152.156,10,-142.156,-0.918,-0.918,-50.355,-0.462,-193.891,-32.149,1.857,-47.555
2009-03-31,-13.42300,72.91800,-2.53500,70.38300,14.18300,14.59700,71.55700,-67.19500,,-30.93600,-1.08400,-32.02000,,-99.21500,54.74200,51.10000,105.84200,-1.13300,-1.13300,-49.32900,-3.33000,52.05000,24.39200,2.33900,-46.52900
