,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,6,-652,1123,471,-51,137,313,-197,162,639,0,0,-1617,-1617,-159,-1776,133,0,133,-1,985,-76,1966,3008,1871,-76
2022-09-30,-2574,616,77,693,73,46,-31,3043,2567,686,0,0,-3032,-3032,-86,-3118,-1,0,-1,-51,-51,-77,2466,2337,-95,-77
2022-06-30,237,-19,-312,-331,15,304,-109,1807,2049,1955,0,0,-4464,-4464,-144,-4608,53,0,53,-104,-104,-78,2389,2260,-393,-78
2022-03-31,104.00000,-19.00000,-70.00000,-89.00000,-91.00000,-187.00000,-262.00000,1236.00000,738.00000,753.00000,,,-2239.00000,-2239.00000,98.00000,-2141.00000,-3.00000,,-3.00000,-410.00000,-410.00000,-79.00000,1228.00000,736.00000,-652.00000,-79.00000
2021-12-31,220,-19,130,111,5,-327,143,-125,-288,43,0,0,-797,-797,-334,-1131,109,0,109,-644,-644,-78,1699,1086,-2,-78
2021-09-30,318,-10,135,125,-1,9,204,-365,-104,339,0,0,-646,-646,-272,-918,-8,0,-8,-198,-198,-80,1090,804,225,-80
2021-06-30,642,-8,26,18,70,112,82,-643,-249,411,0,0,-562,-562,-244,-806,50,0,50,-145,-145,-81,1610,1434,1039,-81
2021-03-31,225.00000,-9.00000,19.00000,10.00000,-167.00000,98.00000,-40.00000,-805.00000,-877.00000,-642.00000,,,-118.00000,-118.00000,-594.00000,-712.00000,,,,-98.00000,-98.00000,-80.00000,1174.00000,996.00000,-358.00000,-80.00000
2020-12-31,143,-9,615,606,12,229,183,-882,-556,193,0,0,-2828,-2828,-208,-3036,40,0,40,-46,-46,-78,2040,1956,-887,-78
2020-09-30,398,-10,-659,-669,-8,70,95,-601,-359,-630,0,0,-3176,-3176,95,-3081,0,0,0,-1,-1,-77,2183,2105,-1606,-77
2020-06-30,-94,-11,862,851,72,-268,21,1,-241,516,0,0,-4237,-4237,131,-4106,50,0,50,-1,-1,-77,1617,1589,-2001,-77
2020-03-31,52.00000,-11.00000,-88.00000,-99.00000,-97.00000,235.00000,-317.00000,699.00000,502.00000,455.00000,,,1509.00000,1509.00000,-767.00000,742.00000,199.00000,,199.00000,-234.00000,-234.00000,-79.00000,2556.00000,2442.00000,3639.00000,-79.00000
2019-12-31,432,-8,113,105,-25,29,117,-491,-366,171,0,0,-2746,-2746,-468,-3214,106,0,106,-100,-100,-76,2737,2667,-376,-76
2019-09-30,-162,-8,90,82,113,-424,83,197,-215,-295,0,0,-1344,-1344,-882,-2226,345,0,345,-146,-146,-74,2021,2146,-375,-74
2019-06-30,364,-7,0,-7,54,-906,-37,-636,-1588,-1231,0,0,2140,2140,-1066,1074,50,0,50,-148,-148,-76,2052,1878,1721,-76
2019-03-31,252.00000,-8.00000,423.00000,415.00000,-37.00000,-1209.00000,-56.00000,-712.00000,-1998.00000,-1331.00000,,,-221.00000,-221.00000,-912.00000,-1133.00000,,,,-176.00000,-176.00000,-77.00000,1965.00000,1712.00000,-752.00000,-77.00000
2018-12-31,399,-8,-351,-359,22,-280,-174,1233,869,909,0,0,-858,-858,-717,-1575,0,0,0,-624,-624,-72,2247,1551,885,-72
2018-09-30,490,-1,133,132,-18,29,163,-436,-220,402,0,0,-1423,-1423,-444,-1867,0,0,0,-174,-174,-72,1396,1150,-315,-72
2018-06-30,385,0,18,18,-7,94,-49,75,89,492,-12,0,-1219,-1219,-547,-1778,-50,0,-50,-99,-99,-73,1026,804,-482,-73
