,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,96.193,24.053,26.836,50.889,856.988,-197.773,60.997,608.916,773.382,-10.825,-16.647,0,0,0,0,-27.472,0,-225,-225,-458.066,-458.066,-69.059,26.597,-725.528,29.95,12.331,-69.059
2022-09-30,225.798,22.975,-49.859,-26.884,445.177,-146.7,182.554,424.201,625.46,49.27,-17.313,0,0,0,-63.208,-31.251,0,-70,-70,-493.038,-493.038,-70.99,-2.813,-636.841,-51.393,25.811,-70.99
2022-06-30,348.185,23.262,18.599,41.861,45.384,-106.773,-16.721,-98.391,265.257,-26.735,-16.439,0,0,0,60.958,17.784,0,102,102,-301.212,-301.212,-72.413,-7.322,-278.947,-3.884,27.929,-72.413
2022-03-31,270.34800,22.48600,18.39700,40.88300,-424.02500,143.98000,-64.69700,-325.20100,-13.92800,-10.04600,-16.18300,,,,2.25000,-23.97900,200.00000,47.00000,247.00000,-135.91300,-135.91300,-72.85500,-16.46200,21.77000,-14.60400,24.60600,-72.85500
2021-12-31,230.098,22.638,-58.091,-35.453,-257.06,64.992,-42.301,-119.3211,75.855,-7.694,-10.663,-0.001,0,0,0,-18.358,300,-107,193,-125.469,-125.469,-68.395,-1.474,-2.338,54.764,36.015,-68.395
2021-09-30,247.053,22.406,34.155,56.561,-573.145,188.161,-123.858,-377.563,-73.498,-13.647,-9.081,0,0,0,0,-22.728,-2.048,360.787,358.739,-159.388,-159.388,-69.17,-2.163,128.018,29.846,40.812,-69.17
2021-06-30,193.789,22.937,22.518,45.455,-279.478,200.638,-64.425,-90.399,149.29,-7.421,-8.91,-14.749,0,0,0,-31.08,0,20.962,20.962,-113.735,-113.735,-69.726,-2.371,-164.87,-44.808,29.161,-69.726
2021-03-31,173.30500,23.27800,18.75500,42.03300,-437.86200,206.23700,-69.08800,-272.51800,-56.69200,-5.43500,-8.07100,,,,,-13.50600,,250.00000,250.00000,-112.49500,-112.49500,-70.03000,-20.71200,46.76300,-26.18500,23.98900,-70.03000
2020-12-31,147.807,24.66,-8.522,16.138,-84.607,-6.483,22.835,-3.795,162.142,-0.162,-8.061,0,0,0,-5.525,-13.748,0,-60,-60,-101.836,-101.836,-2.528,-1.319,-165.683,-8.773,10.868,-2.528
2020-09-30,136.529,26.916,0.236,27.152,-318.601,-33.521,-29.128,-333.038,-168.594,-5.825,-9.397,0,0,0,0,-15.222,0,60,60,80.247,80.247,-70.324,-1.569,68.354,-109.667,10.776,-70.324
2020-06-30,143.939,25.758,4.04,29.798,84.205,121.33,-8.503,261.854,447.144,-3.78,-6.556,0.387,0,0,5.525,-4.424,0,-321,-321,9.026,9.026,-67.233,-1.171,-380.378,67.664,10.954,-67.233
2020-03-31,78.14600,24.39300,14.95700,39.35000,-133.14200,98.94600,-1.44100,-59.78500,58.49900,-7.84100,-6.86200,-223.61700,,,,-238.32000,,178.00000,178.00000,-57.29400,-57.29400,-69.87100,-13.79500,37.04000,-153.28600,11.39700,-69.87100
2019-12-31,99.106,25.327,3.006,28.333,104.204,-21.839,11.724,83.481,211.561,-9.629,-9.893,-0.012,0,0,0.011,-19.523,-118,100,-18,-45.491,-45.491,-69.921,-0.763,-134.175,63.434,-1.574,-69.921
2019-09-30,146.894,25.48,6.675,32.155,14.933,-33.507,24.051,-6.285,167.332,-9.887,-9.492,-0.809,0,0,16.617,-3.571,-1,0,-1,-55.191,-55.191,-68.855,-1.672,-126.718,29.117,8.85,-68.855
2019-06-30,169.18,25.082,10.281,35.363,-28.545,48.12,-23.245,-5.333,199.595,-8.155,-9.544,-14.236,0,0,0,-31.935,-88,0,-88,-97.661,-97.661,-69.268,-0.638,-255.567,-90.166,14.684,-69.268
2019-03-31,161.78800,24.56000,14.07500,38.63500,117.72000,-10.74200,-11.99700,55.93200,256.93100,-8.61900,-5.24600,-44.14300,,,0.00800,-58.00000,,-5.00000,-5.00000,-48.00900,-48.00900,-69.74200,-12.04200,-134.79300,66.85800,17.12300,-69.74200
2018-12-31,187.15,24.327,12.053,36.38,78.204,-84.569,42.33,40.018,264.013,-9.206,-5.078,-4,0,0,-2.017,-20.301,0,5,5,-94.036,-94.036,-70.061,-0.661,-159.758,80.814,19.316,-70.061
2018-09-30,175.895,23.923,28.426,52.349,-53.632,18.882,-10.888,-8.513,220.413,-15.225,-4.279,0,0,0,-0.059,-19.563,0,-66,-66,-72.019,-72.019,-64.599,-1.71,-204.328,-12.774,23.771,-64.599
2018-06-30,159.163,24.238,18.729,42.967,-204.564,79.973,-20.07,-94.575,107.9,-8.85,-5.77,-1.315,0,0,-0.82,-16.755,591.012,-585,6.012,-60.448,-60.448,-65.177,-0.802,-120.415,-39.207,26.57,-65.177
2018-03-31,142.29700,24.24100,18.51400,42.75500,-10.05600,21.79700,-5.84400,15.19500,200.57000,-11.71900,-3.74400,,,,-0.72600,-16.18900,,-64.00000,-64.00000,-23.20300,-23.20300,-65.38200,-18.09100,-170.67600,15.89200,18.13400,-65.38200
2017-12-31,152.556,23.637,-3.457,20.18,13.099,-22.111,-26.729,-10.223,165.652,-7.99,-3.537,-0.622,0,0,-0.725,-12.874,0,-4,-4,-40.634,-40.634,-65.457,-0.811,-110.902,36.583,17.296,-65.457
2017-09-30,119.186,23.963,7.522,31.485,-132.598,31.022,9.119,-83.685,68.338,-8.027,-5.421,-46.666,0,0,1.299,-58.815,0,127,127,-56.041,-56.041,-63.959,-1.12,5.88,24.125,7.667,-63.959
2017-06-30,111.071,22.946,4.447,27.393,-149.478,87.929,-3.597,-81.149,57.315,-10.568,-5.682,0,0,0,-1.151,-17.401,250,-148,102,-37.504,-37.504,-64.209,-0.671,-0.384,43.388,4.524,-64.209
2017-03-31,122.08000,22.43100,5.02900,27.46000,-95.20400,47.20100,-7.06500,-56.84400,92.69600,-13.53700,-3.18300,-1.78000,,,0.05600,-18.44400,,,,-13.17600,-13.17600,-64.59700,-18.95500,-96.72800,-17.87200,12.31800,-64.59700
2016-12-31,122.303,21.953,0.693,22.646,-35.398,22.407,4.629,5.724,152.58,-17.327,-2.999,0,0,0,-0.613,-20.939,0,15,15,-60.572,-60.572,-54.301,0.797,-99.076,23.217,6.939,-54.301
2016-09-30,129.028,17.657,8.36,26.017,-43.783,40.667,5.74,-25.478,129.567,-22.642,-4.493,-220.203,0,0,-0.33,-247.668,0,260,260,-59.966,-59.966,-63.609,-0.984,135.441,17.366,4.841,-63.609
2016-06-30,143.09,18.184,13.228,31.412,-136.325,75.626,-13.303,-31.391,143.111,-20.362,-5.789,0,0,0,0.365,-25.786,0,-5,-5,-18.857,-18.857,-63.632,0.414,-87.075,27.677,10.606,-63.632
2016-03-31,118.96300,16.87500,16.96700,33.84200,42.29500,-22.78300,-7.37800,-48.65500,104.15000,-13.12100,-4.70400,,,,-0.77000,-18.59500,,20.00000,20.00000,-14.25900,-14.25900,-63.88800,-18.44300,-76.59000,11.17700,15.17900,-63.88800
